,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
2542,Anthony N.,"San Francisco, CA",97,165,139.0,3.0,2012-01-02,"The only reason why I ate here was because my parents wanted to come. I would never come here myself because I think the wait is ridiculous and the food is not worth the wait. I went on a Thursday night and the wait time was 2 hours...  The food here is what is expected of a Cheesecake Factory. The basically serve everything you can think of and their ""special"" is about 2 pages long. Not a good place for those who are indecisive. The portion is extremely large and can get two average people. The food overall is good but not great and I do not think it is ever worth the wait.",https://www.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1220,2.92,3.24,3.388,2.732,3.1120000000000005
647,Adam F.,"Las Vegas, NV",20,9,,3.0,2012-01-03,"I really like this place a lot and like to meet up with friends here every time I'm in San Francisco. In the warmer months it's nice to sit on the patio which overlooks Union Square, one of my favorite places in San Francisco to kill time or just hang out. The menu is absolutely GINORMOUS; if you're not careful you could easily get caught up for 30 minutes just figuring our what you want to order. In the cooler months I like sitting at their bar, having a few strong cocktails and people watching. No matter who your bartender is they consistently make a pretty mean mojito, one of my go to favorites. So why only three stars? It really is a three star restaurant by Yelp standards; this place is A-OK. The food is decent and they're a fast paced tourist trap. I've never had a dish here that blows my mind, but I've never had a bad plate of food either. The servers are always a little rushed, which is to be expected, but never rude and I almost never have to ask for anything twice or water refills. Bottom line; great place to hang out and have some food and drinks, especially compared to the pricier options in the Union Square area, which offer a far superior product with a price point to match.",https://www.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1460,3.08,3.22,3.392,2.732,3.1640000000000006
625,Sonya T.,"Los Angeles, CA",143,112,20.0,4.0,2012-01-03,"I only came to this location because I wanted to dine on the rooftop patio. It was an hour wait on a Saturday Night, but my bf & I were okay with chilling in Union Square for an hour.  The view was beautiful from our table, and our server provided excellent service. Good and medium-priced food.",https://www.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1700,3.0,3.24,3.392,2.8320000000000003,3.1440000000000006
3617,Nhung T.,"Oakland, CA",208,773,,3.0,2012-01-03,"This place was super crowded, but I was lucky enough to get a seat at the bar. As always, the food was good. I had the Caesar salad with chicken, it was really yummy and the dressing was light (3.5 stars). I also had the chicken salad sandwich; didn't like it too much. Think a tuna sandwich might tasted better but it was decent.. I love their white raspberry truffle cheesecake, my favorite. I can get an entire pie!!",https://www.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1300,3.04,3.23,3.392,2.732,3.154
2305,Monica R.,"Benicia, United States",0,5,,3.0,2012-01-04,"Yum!! but i always feel because i'm a student, i get passed over for good service. And the last time i went, they totally were skimpy on the food :/ service has truly slipped!",https://nz.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1800,3.12,3.21,3.392,2.7,3.174
2521,Jael K.,"La Jolla, United States",0,5,,2.0,2012-01-04,"So I just went to this place with my boyfriend. They told us the wait was gonna be 35 to 40 minutes, but it turned out to be only 20. For a sunny Sunday afternoon, that was pretty good I would think.  We were seated on the outside patio, which is super nice and has a great view. The bf ordered fresh strawberry cheesecake - yummie. I had the chocolate raspberry truffle cheesecake, which I usually get, and which was as good as ever. Unfortunately, that's all the positive things I can say about this place. Service was HORRIBLE. From what I've read on here, maybe it's because we're both students. Anyways, we were treated like two 13-year-olds who had no business being in this place. Only we're both in our twenties. Unlike everyone else, we did not get any complimentary bread and butter. Our waitress did not even bother to say ""there you go"" or ""you're welcome"" or ""enjoy"" anything the like. We had to repeatedly ask for refills - they never once just gave us one (in fact, I never even got a refill on my water; but even my bf, who paid for his coke, had to be really persistent). Then they brought us our check when we hadn't even finished half our cheesecakes, which I thought was pretty rude. And it's not like we were taking our sweet-ass time. It was more like they were trying to get rid of us asap. Meanwhile, everyone else around us was treated friendly. Nah, not going back there. If it weren't for the nice patio and the yummie cheesecake (which of course is the same as in every other CF), I'd have given 1 star.",https://nz.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=2040,3.12,3.19,3.388,2.6000000000000005,3.162
2193,Shea S.,"Milpitas, United States",1,24,4.0,4.0,2012-01-05,Love Love Love....the view is awesome. Its too crowded though we had to wait half an hour which I didnt really enjoyed because I was so hungry..that's why I left out one star!Over all great food and I came home full.,https://nz.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1760,3.2,3.22,3.392,2.6719999999999997,3.2120000000000006
1705,Derek F.,"San Ramon, United States",85,85,46.0,4.0,2012-01-05,"I am going to simplify this for you because if you have eaten at 1 cheesecake factory, you have eaten at them all. -Long wait times -Embarrassing cocktails -Skimpy appetizers +Lunch/Dinner portions +VIEW VIEW VIEW This location is all about the view. Don't expect anything different from this place other than the view of Union Square. Cheesecake Factory in general gets a 3 from me. but the view from this place warrants a 4.",https://nz.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1260,3.36,3.24,3.4,2.6719999999999997,3.2880000000000007
1599,Andrew A.,"San Francisco, United States",113,35,,4.0,2012-01-05,"Awesome food at an even better price. Just make sure you eat before you get on the wait list.  I've literally put my name down on the list just to go back to Union Square for happy hour at a nearby restaurant. After loading up on drinks and appetizers, we proceeded back to Westfield to kill some time. After we finished walking around, we went back to Macys to walk around some more. We were finally seated after a two hour wait. We started off with several appetizers including the Hot Spinach Cheese Dip, Fire-Roasted Artichoke, Thai Lettuce Wraps, and Spicy Ahi Tempura Roll. The Fire-Roasted Artichoke put the Hot Spinach Cheese Dip to shame, but both were pleasant. I don't know why we ordered two sets of chips and dips.The Thai Lettuce wrap was too complex for a brute like me. I refuse to pay for a meal just to make it myself. The Spicy Ahi was winner of the appetizers though. I honestly didn't expect it to be that great, but it was and more. Flipping through the menu, I noticed ""We use premium Certified Angus Beef®or American Style Kobe for all of Our Burgers"". I asked the waiter is it REAL Kobe beef? He told me yes. For $13.95, I absolutely refused to believe it was. After going back and fourth and questioning my waiter's integrity and morals, I decided I had no grounds to judge whether it was real Kobe beef or not seeing how I've never tried it. So I ordered it! My KOBE burger came and the moment of truth was in my fingertips. It wasn't Kobe beef. But don't get me wrong, it was still a solid grade A burger with some of the best fries around. But at the end of the day, it was still just regular beef. We didn't order cheesecake because a total of 7 appetizers, multiple rounds of drinks, salad/soup, and an entree was more than enough to satisfy four people (gluttony will be the death of us). The bill came out to be around 140$ between four people ordering a feast fit for a king. Not bad. Overall a good choice for a meal if you have some time on your hands. Definitely on the Must Do List when going down town for the first time.",https://nz.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1200,3.32,3.21,3.396,2.7039999999999997,3.254
434,Denton S.,"St George, UT",9,36,,3.0,2012-01-05,"Was not the best one we've been to, but it was better than most restaurants still. They were lean on cheesecakes when we went, but the food was still pretty good. They have outdoor seating but not for large groups. We had good staff, and they took great care of us. The wait was not bad, and they took our strollers for us and put them in a secure area so that we would not have to worry about them. Would have been better if we could have connected to wifi while waiting",https://www.yelp.com/biz/the-cheesecake-factory-san-francisco-2?start=1380,3.32,3.22,3.396,2.668,3.2600000000000007
