Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Jim D.,"Queens, NY",356,421,7538,4.0,10/27/2017,"Well Hey there Friends! .. How is Everyone doing on this Beautiful Week ending Friday?   Applebee's is one of those chain joints, like Friday's & Buffalo Wild Wings and Outback. All are a bit similar, but offer different experiences. I do not recommend going with any of these establishments during busy times. At times of lighter traffic, however they can be in ideal choice. I was very pleased with my visit this evening at Farmingdale's Applebee's, went with my friend and we sat at the bar. Thursday Night Football and Hockey were the events of the evening. For dinner, we decided to try the Applebees 2 for $20. This turned out to be a very good choicefor us. This meal can be upgraded for $3 extra to include spare ribs, which I did. All together, with the onion ring appetizer mac and cheese and baked potato/ bacon. I had a heck of a meal for 13 bucks.  Service was very fast. I never go to places like this when it's busy. My beer was cold and crisp and a chilled Pilsner. My spare rib and mac and cheese dinner with baked potato arrived in about 10 minutes. First up however were the onion rings, they came to the table in less than 5 minutes. The beer battered rings hot and crisp, quite good. My friends chicken tenders with fries were the average meal nothing to Crow about, but it's what he liked.   Our barmaid was very friendly and engaging. I like the way that this Applebee's has a HomeTown flavor to it, the decorations and interior appointments were really interesting and fun to look at. The wall scenes were personalized and customized with photos of the local school teams and familiar attractions in the local area. It certainly makes it more like you're at home when you're surrounded with the sites that you grew up with. I found this Applebee's a very nice cozy place to relax and enjoy the game and time with friends I was very pleased before our visit here and certainly will return again. Budget-wise, it was a little less than I spend at some other places. I'll be sure to return. JIM D.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
John D.,"Manhattan, NY",0,24,2,1.0,7/21/2017,"I walked in with a Party of 5. The host and 2 other employees were standing at the front of the restaurant just hanging out and talking. Didn't acknowledge us until a few minutes after.  Very unprofessional At the very least say ""Hi, I'll be right with you""",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
John O.,"Manhattan, NY",209,271,386,3.0,12/17/2017,I'm not sure why people are reading this applebee's very low I will settings places very clean the servers are very polite and quick to flee drinks the food is very fresh and full of flavor and the price points can't be beat.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Andrew C.,"Melville, NY",62,426,1257,3.0,8/27/2017,"This was the second time I have ever gone to an Applebee's. The restaurant was somewhat busy and the service was very attentive. Once again, our young guest dove into corn dogs while we shared a chicken salad. What I found interesting was that the restaurant had local school pictures of either sporting events or general events such as Hofstra, Plainview and Amityville.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Danielle R.,"Massapequa Park, NY",29,7,,1.0,11/8/2017,"I wouldn't advise you to go to here but if you do keep track of your receipts..i came here on Halloween with my family (6 total) it was busy so i can understand long wait for food, or drinks, even the dirty silverware we received..but when 1 of the 6 meals failed to even come out of the kitchen and our waiter; Mannie or Manny however the unbelievable horrific waiter spells it, was no where to be seen, everyone else was almost done eating when we FINALLY flagged him done, the so very rude waiter turns and snaps at us saying well why did you wait so long??! Are you kidding me, he then as flamboyantly as possible turns and throws his hands up we then dealt with the manager Jillian who was  Apologetic and all and almost excused his bad behavior because ""they were slammed that night"". We as a group decided NO tip seemed appropriate since he failed to be our waiter, at best he took the order AND THATS it, and even that he didn't do that correctly my food came out wrong. My sister just received her cc statement and it seems as though the horrific waiter decided to change the receipt and tip himself..The police will be called on this thief. Diners beware!!!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Joe M.,"Brooklyn, NY",184,25,10,2.0,7/22/2017,This has nothing to do with the food because it's Applebees and you know what you are going to get. This is about their dinner and a movie offer for 9 dollars at the movie theater across the road. Apparently you have to eat at Applebee's first to buy the tickets. But if you want to reserve your seats like we did you buy your tickets to get the best seats available. I feel like we got ripped off here because we were trying to save our seats. They need a better system like refunding the difference. Not fair!!!!!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Mike A.,"Hicksville, NY",0,40,1,1.0,6/20/2016,"I ordered the whiskey chicken with mashed potatoes. It didn't come with the advertised gravy. The chicken was dry and bland. The mashed potatoes were okay, but the dish was a big disappointment. Why can't they make their food look reasonably close to the picture in the menu!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Steph P.,"Prospect Lefferts Gardens, Brooklyn, NY",78,33,21,3.0,8/21/2016,"Only good for a quick bite. We ordered finger food and regular drinks on a Sunday afternoon.  Our server was Jen (JLo). She was nice and straight to the point while checking on our table of 3 regularly. Considering that business was slow, it came as no surprise when I saw all of the waiters and waitresses pretty lax. At least they were catering to the customers.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Evelyn I.,"Amityville, NY",47,9,,3.0,12/27/2016,I went here for my little sisters birthday since she loves Applebee's and we just wanted to do something special for her. It was a big party. It was a party of 15. Wait time was pretty long took about an hour to sit us down. But the people who sat us down i don't know what their problem was but they kept giving us nasty attitudes. So we got our table but the good thing was The waitress we had was really nice. She did really well with our kids. And with the older people too. She was and enjoyment and brought us our food pretty quickly. Food tasted really good. It was well made. Bathrooms were ok. Decently cleaned.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
Kori A.,"Deer Park, NY",9,141,15,1.0,11/28/2015,"Went yesterday and half of their menu wasn't in Stock or so to speak. Waitress was clearly irritated and the food was mediocre at best. My french onion soup was burnt. Trash, never again. *Edited to fix grammar",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-e-farmingdale
