Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Kevin C.,"Kingston, NY",1,9,,2.0,4/25/2010,"Food is not the greatest but it does have some good drinks. The always have the 2 for 1 draft mugs which come ice cold. The only problem to that is they give you the 2 mugs at once and not when you finish the first, so then you rush to finish your beer before the other gets warm. They also have a problem with child seats. The straps are always broken and when you tell them they say the won't give it out to anyone anymore but you get it again the next time you come.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3?start=20
Skip S.,"Saugerties, NY",32,16,3,4.0,8/20/2017,I never thought I would ever say much about this place (because its commercial) BUT.......I am a wing connoisseur. Who would have thought a chain restaurant could bring a double crunch bone in wing. Spicy sweet Asian Chile. OMG!! So good. Staff so great!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Barbara R.,"Rhinebeck, NY",0,19,,1.0,6/22/2017,"Almost all my reviews have been positive....this may be my first one star review. My sister and brother in law were in town.  We went to another (fancier) restaurant the evening they arrived but the next day they were to leave Kingston and just wanted a fast food, decent food, restaurant so we could spend a bit more time together.  It was on a Wednesday afternoon and not very crowded. It took forever for the waiter to come over.  Then he plops down three small plates with three servings of silverware.  We are four people!  He comes back to take the drink order and then gets lost...eventually comes back with a another setting. We said we want to order now.   It took one hours and five minutes to get our food.  My friend only wanted a burger and fries with lettuce and tomato ... it came without the tomato and lettuce.  I had to search for him.  My sister's oriental salad was missing the noodles.  I ordered the small steak with 1/2 rack ribs.  The ribs were so overdone, you couldn't eat the burnt parts and yes I asked for medium well on the steak...it was charcoal.  Sorry but we will never go back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Neal E.,"Haymarket, VA",1169,4360,28768,3.0,12/3/2014,"I stopped in for some adult beverages on a Friday evening. I sat at the bar and ordered a Bloody Mary. Much like my experience at the local Courtyard - the Bloody Mary was served in a smaller glass (Bloody Mary's should be served in a tall highball glass or pint glass). I guess the idea is to skimp on amount of ingredients with a smaller glass, while still charging a premium price for the drink. I realized that after that Bloody Mary I was going to need to drink a whole of of them to even get a little buzz, so I switched to a vodka martini. I asked to see the glass size before ordering. Finally! A normal sized glass. I ordered it slightly dirty with three olives. I asked if they had Blue Cheese stuffed olives. Being Applebee's, it was a ridiculous request on my part, they had no such option. Overall, the martini was strong and well made. I would have stayed longer, but being it was Friday night, there was a Karaoke session ongoing, and it was LOUD and annoying. Service was good.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Robert H.,"Levittown, NY",0,24,,1.0,8/7/2017,"This restaurant was terrible. Despite calling ahead and mentioning it when we entered the restaurant that we were here for the half price appetizers, the restaurant did not tell us until the check came that only three of the total number of appetizers was half price. We spoke to both the waiter and the manager and they refused to do anything, to even take a few dollars off of the bill. The waiter was slow, disorganized, and failed to bring us the correct food in any type of semblance of order. This is a restaurant that you should avoid unless you have no other eating options in the city of Kingston. Their customer service is abysmal.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Ellen S.,"Kingston, NY",0,18,4,1.0,12/23/2016,Somebody in my family is a vegetarian and had nothing to choose from. Don;t go there if you're a vegetarian.  Only option is to get a salad without the meat and pay the same price.  How hard is it to have some veggie burgers on hand and substitute them.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
John B.,"Hurley, NY",74,119,,1.0,9/2/2016,"Food is fine.  But the management keeps the place so cold it's like eating in a walk-in refrigerator.  I presume this is by design to ensure high turnover.  We asked two different servers (very politely) to turn down the air.  Their response was exactly the same.  ""I'll try but the management never lets us.""   Both my kids were shivering.  Most patrons were visibly uncomfortable.  I know I was.   We won't be back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Amanda M.,"Long Island, NY",383,796,567,3.0,6/24/2012,"I'm never impressed with Applebee's, so I don't know why I keep trying it. I got that new turkey club with pesto, fried green tomatoes, and bacon, but i took the bacon off. Was salty, but okay. My boyfriend wasn't happy with the service at all, mainly because she was ""shooting the shit"" with all the other waitresses, in my boyfriends words. The calorie intake on their menu made me not want to eat anything.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Ilana G.,"Bronx, NY",0,5,5,1.0,5/17/2015,SO RUDE. we went in on a saturday night for a few drinks and an appetizer. We walked into a worker cleaning we then waited over 5 minutes for a hostess. Noone ever came so we decided too just take a seat and got yelled at by what im assuming was a server behind a wall telling we couldnt just sit ourselves he then disappeared again. So we just walked out. Horrible service.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
Gregory J.,"Edison, NJ",9,8,,3.0,9/2/2013,"Standard fare, nothing great or horrible to remark about. They did have a leaky ceiling though. Service was good, as it always is at an Applebee's. though, more than others, this one felt very local. It had prom pictures up instead of the generic posters and signs.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-kingston-3
