Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Angela P.,"Everett, MA",303,147,957,4.0,1/16/2013,"Ok Applebee's gotta say very very happy with the service we received from greet at the door !! And letting us know the two for deals !!!  I had the Asian chicken salad (crispy chicken) and was great ,,and my friend choose  roasted garlic sirloin /w stuffed mushroom & spinach  .. also we got salsa & chips Free Refills on chips and salsa and on the soda Free Refills AweSome ! And not to mention brownie bite /vanilla ice cream for $1  YUMMY !! Gotta say are waitress was very attentive she came back to check on us and brought our food and many refills without hovering us you get five stars miss Shawna Thanks !! You made our experience great after my check -in and reading reviews was waiting for something to go bad boy oh boy not this time ,, an I'm picky about that !!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Emily F.,"Waltham, MA",4,225,9,2.0,5/14/2010,"Don't go. That's all I can say. We turned back both of our ""healthy"" meals because the green side was totally raw and rotten (I'm trying to post a picture).  The meal was truly awful, I was pretty sick after. the only reason I am giving it 2 stars is because the waiter/manager/chef (seriously???) replaced our orders and gave us a food discount... food was still gross and i still paid too much.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Adam G.,"Malden, MA",89,192,165,2.0,11/12/2012,"Crapplebee's. That's all I have to say. While my new apartment is within a stone's throw from this location I will say I would rather throw stones at this restaraunt than eat here. The service while very friendly was unacceptably slow, especially when you consider this is a chain restaurant. When the food came, I was glad to eat but unimpressed with my burger which was slightly dry as were the onion rings. Not to be political, but since the CEO of this Chain is one of the ""I'm going to lay off people because of Obamacare"" crybabies, I am proud to boycott this restaurant. I'm sure they are laying off people because people hate Applebee's. "" That place was hell, it was like Applebee's with a bar! Oh wait, Applebee's has a bar. It's like Applebee's..."" -Roger Smith, American Dad",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Thomas B.,"Fall River, MA",0,16,,1.0,1/16/2013,"I ate at a different Applebee's before and had a good experience.  However, even though It was not very busy, the service was slow, forgetful, and did not bring the correct order. My wife barely touched her food because it was cold and not very tasty she said, I had the riblets they were okay but nothing to write home about. The waitress kept on coming by and apologize for what ever went wrong. When it came to checking out, she gave me the wrong check it was approximately $50 too much. When I pointed this out to her, she apologized and then brought me the correct check. We are very easy to please, we just asked for hot food and friendly service. However we will not return to this Applebee's.. Maybe we went on the wrong night, or it was just an off night. It was not very busy.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Mei C.,"Sacramento, CA",0,7,,2.0,6/5/2013,"I love Applebee's. But not this one.  The night we were there they were not even busy. yet we've waited forever to see our server for the first time. She was leaning on the table next to us instead of standing close to us to write down our order attentively. I ordered the 2 for $20 with chicken strips, she didn't ask me the sauce and when the food was here she gave me a sauce I normally won't order. I am fine with that but then I never get to see her until we're almost done with our food. My water empty and our waitress was busy chatting with the table behind us, didn't even bother to ask us if everything was okay. The only time we get to see her without waiting forever was when we pay the bill. Oh and the food - We have spinach and artichoke dip for appetizer but the chips are very greasy. The dip is decent though. For my chicken strips with fries, they put so many salt on the fries it's inedible. As we walk out we saw our server chatting with her colleagues at the entrance, I don't know about others but I'd assume she had been busy socializing with her colleagues than taking care of her tables. I would not come back to this one. The only reason for 2 stars is the delicious brownie bite. It was probably warmed with microwave but it's so good with the vanilla ice cream.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Mickey M.,"Jackson Heights, Queens, NY",247,677,43,3.0,3/1/2009,"It's not bad for a random night to meet folks. I've never seen this place packed, but it's busy enough, They have several booths big enough to fit 6-8 people, so that's why I'd go here once in a great while. The bar isn't bad either, if you're on your way somewhere else or just need a quick bite to eat and want some sports to watch in a relatively quiet area.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
David B.,"Medford, MA",39,49,3,4.0,8/15/2013,"Pretty good. Compared to other Applebee's the service was solid, prices were obviously good and the food was pretty ok . The dessert we got was outstanding (chocolate meltdown). Lets face it, not looking for anything special when coming here but I was pleasantly surprised.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Alexis J.,"Medford, MA",65,212,10,4.0,4/9/2013,This Applebee's is MUCH better than it's neighbor in nearby Dorchester. We've been there a couple times and the food and service have always been pretty good. Our last waitress (J'nai I think) was fantastic. Super friendly and attentive. We now always drive to this location because it's not terrible (but not great either).,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Samantha H.,"Malden, MA",1,47,3,1.0,5/12/2011,"Crapplebees!  I rather eat a frozen dinner! (i.e Smart ones, lean cuisine etc...) Only thing that isn't bad are the drinks! But I will not go out of my way to go here even though it is 2 minutes from my house. So many other better restaurants around!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Cayndie C.,"Lakeland, FL",0,49,20,1.0,9/11/2012,Horrible!! Service Is Slow...Food On The Been Sitting There But Waitress NoWhere To Be Found Cold And Old...Ive Been To An AppleBee's Before And Total Opposite Service And Food...Dont Come Here!! Try Another One!!!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Jack M.,"Boston, MA",121,1206,326,1.0,8/7/2009,"Bland city. After eating here with a buddy of mine, he stated ""This place is where you would go if you lost all your tastebuds"".   He's right. I hate Applebees.  It's so bland.  I can cook better than this with my eyes shut. PLEASE don't go here!  Applebees is the epitome of what a crappy chain restaurant is all about!!!!!!!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
Suzi L.,"Burbank, CA",8,173,32,4.0,2/17/2012,I always hit up Applebee's when I am in town because I am destined to see someone from my past here! Food is always good and the drinks are always strong! I have had many good nights here and hope to have many more!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
BonBon H.,"Middlesex, MA",0,36,,2.0,4/3/2011,"First off, the hostess was super friendly. But when we met our watiress, she seemed much more preoccupied with her many other tables that it took her fifteen minutes to order our food and drinks. The food didn't even come out for half an hour! I feel that is so long to wait for a meal. The food was just oke and the portions weren't that great. I've had better elsewhere. The drink that we got from the bar was pretty good though. Overall, this was a meh experience. I feel that for the prices you can get a lot better elsewhere.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-malden
