Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Danielle I.,"Dayton, OH",50,40,2,3.0,9/5/2017,Bring a sweater its chilly inside. Friendly staff but my steak was cooked wrong twice,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Chris P.,"Loveland, OH",0,30,1,2.0,10/12/2017,"Stopped here for lunch.  Staff must be hard of hearing because the music was very loud.  My server had to repeat herself every time because I didn't even hear her speak when she walked up.  It was 80's music with back-to-back David Bowie, so at least I could relive my teenage years.  However, I don't think I used to listen to it at that volume.  If the volume was meant to force the customers to eat fast and get out, then they have solved that challenge.  Food was ok.   Service was fine - it wasn't her fault nobody could hear her.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Gina M.,"Bolivar, OH",1,7,,1.0,10/21/2017,The reason for one stars is because I like Applebee's and have never had a problem with it before until this location. First our waitress took 15 minutes to get to us. She said she did not know she had our table.  She did apologize but here is the problem she never asked what sides I wanted plus she never brought our food. She basically dropped our drinks off and did not come back until after our food was served. She made it to other tables several times and they were people who were seated after us. Very poor service.  Will not come back to this location. Not very good when you have people who are from out of town.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Cassi S.,"Hamilton, OH",11,11,,4.0,9/27/2017,"I had a date here the night before last. The date went well, if you are curious. But, more importantly, the waitress was fantastic. I didn't get her name, because I got there after my dare already had a table and a beer. I got some chips and salsa and an Oktoberfest. The beer was great. The reason for one missing star is that about half of my chips were stale. Otherwise, everything was great. I didn't mention the chips, because it was a date and I just sucked it up. I have no doubt that i would have gotten new one if I had asked for them.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Jenni H.,"Milford, OH",26,250,21,3.0,10/10/2015,"uhh, yeaah, I gave it 3 stars....I mean it's an Applebees.  There's not much more to explain than that.  Service was very slow and I felt we had to keep calling the waitress over for things like.......plates.....forks.........napkins, lol.  Yea, really.   But the food was solid",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Sandy C.,"Fairfield, OH",1,14,1,3.0,11/17/2016,Seated right away and waitress came and took our order. My knife was dirty and I asked for clean one. Waitress was very good. I had oriental salad  which was way to much to eat. My husband had the 6 oz. Top sirloin which he said was tougjh,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Missy S.,"Erwin, TN",4,1,,1.0,6/21/2016,They need to hire people who want to work. Slowest non service ever. Will not be back.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
josh m.,"Middletown, OH",12,31,1,1.0,6/4/2016,Well I'll give the food a 4 star but the waitress I had is awful.  I had to go get my own refills.  As long as I always a drink I'll be happy.  This location was almost empty when we walked in and we still had the slowest service. The entire time I was here all the waitresses hung around the bar and then a table near the bar my entire visit.  Because of poor customer service I have to rate this experience and location a 1.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Jennifer T.,"Colorado Springs, CO",35,10,2,3.0,5/18/2015,Pretty average Applebee's everyone was nice. I ordered the Mushrooms burger with a side salad instead of fries. The burger was good but messy and i had to scrap off some unidentifiable sauce that i don't remember reading in the details.  They brought my salad out first which is wired done I indicated it was to replace my fires but that's just nitpicking i guess over all good experience,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
Valerie M.,"Piqua, OH",75,98,16,5.0,3/23/2015,Friendliest Applebee's I've been in a long time  Food is great and customer service makes this a great stop,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-middletown-12
