Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Sammy S.,"Antioch, CA",0,2,,1.0,3/5/2017,"Cold food, looked nothing like the menu pictures. Salad that was ordered was soggy. Just overall disappointment. No coming back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Richard B.,"Henderson, NV",63,15,3,5.0,12/6/2016,"My first time here,  was just passing through. Was greeted at the door. Got a table quick, Ozzy took my order, got my drink to me fast and kept it full, food came out fast, right after my side salad.  Was full enough to pass on dessert, the Presto made it easy to pay and no sweat. Will definitely be back when I'm in town.  Highly recommended.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Helen M.,"Modesto, CA",22,5,1,2.0,7/23/2017,Ordered the steak southwest salad and the steak was tough and chewy. The worst was the salad greens that were wet with some type of dressing mixed in with shredded yellow cheese and thin tortilla strips. I got old lettuce that was turned dark on the edges and the whole salad part was one mushy pile. I brought it to the attention of my waiter and he just shrugged his shoulders. I'm pretty sure I won't ever be going back.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Aaron F.,"Modesto, CA",0,3,,1.0,12/11/2016,"Wish I could give it no stars...two hosts and ten servers walking around...half empty tables...and then they told us it would be a 45 minute wait because corporate does not allow them to split up the party and then sit them in the same section of the restaurant at the same time..needless to say they didn't want our business, so we left...off to Chili's!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Barbara R.,"Oakdale, CA",0,6,,1.0,12/19/2016,So far just had spinach dip and chips. Chips very stale. Rest of lunch ok. They did give credit for chips and drink.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Paige J.,"Modesto, CA",5,12,4,1.0,1/11/2016,"My husband and I aren't really picky when it comes to restaurants or service, we're pretty relaxed but this place was a dump. When we were seated, our booth (and the surrounding tables and booths) had large food droppings and dirty napkins under them. I had to clean off somebody else's grilled chicken from the bottom of my shoe when we left. Our waiter left half way through our meal, which isn't really a big deal. But he didn't tell us he was leaving. Then when we got our food, our plates were barely half full. The other staff were a bit unprofessional as well. One waiter was telling customers he needed extra cash as he gave them their bill. The other waiters were talking to each other about the football game from across the restaurant. We had to stop our conversations while they were talking because the whole thing was so distracting. The whole visit was a disappointment.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Ana R.,"San Antonio, TX",1,12,,1.0,8/5/2016,"Upon arrival, the first thing you notice is that the place smells dirty. I was unimpressed with the my meal. The mashed potatoes were obviously microwaved and my chicken was over fried. It was almost black. The spinach dip appetizer was also obviously microwaved as well. The ladies restroom smelled awful and had sticky floors. Totally gross here. Save your time, money, and calories. Go someplace else!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
April W.,"Modesto, CA",0,15,7,1.0,9/3/2016,"Wow! We used to come here a lot back in my 20's ( about 10 years ago) so when I stopped in with my kids today I was expecting roughly the same experience. I ordered the Brew Pub Philly sandwich. The meat tasted like it had been microwaved and was almost all gristle. The little cup of blue cheese dressing that goes on the burger was literally congealed into the cup. There was no ketchup on the tables for the fries. No sugar packets for tea. My kids ordered the Mac n cheese, and it came out dry and looked like it had been cooked several hours before. I was disgusted. Applebee's needs to up their game, because this place has gone seriously downhill. :(",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Jimmy S.,"San Jose, CA",7,4,3,1.0,4/19/2017,"Horrible!!! Still waiting at carside after I already placed an order online ,waited in the carside parking spot for over 15 minutes before I called the store to see if they even knows I'm here. Managers even if you guys are busy someone still has to come out and acknowledge that we are here and someone will be with you as soon as possible.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
Oscar P.,"Madison, WI",0,25,5,5.0,7/19/2015,When I first saw the stars on this place I honestly did not want to come but my friend said it was good so I figured why not. We got there and in less than a minute we got seated at a booth which is exactly what we wanted. After that it took less than 30 seconds for a waiter to come to us and give us the menu plus take our drink orders which was pretty great. I also spilled my drink on accident and guess what!!!!!! He popped out of no where ready to clean it up and he even suggested the type of burger I should get and it was amazing.  The food was pretty good I've had better burgers but I am a burger person tho so I have a high standard and this burger was good enough for me to Like plus the fries were pretty good also.  I do have to say that I have been to places where the food is bigger and you get more fries but all in all I could say that I would probably be back and to give this place 5 stars is a big deal to me because I don't do that often.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-modesto-5?start=20
