Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Adam S.,"Vallejo, CA",21,3,,5.0,8/5/2017,As long as Jordan is my bartender everything is great because she makes sure of it. She always checks to see if our food is good and makes sure it comes out in a timely manner. It's service like that is why Iam a return customer here,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Jordan W.,"San Francisco, CA",45,12,6,1.0,9/29/2017,"This was the absolute worst dinner I've ever had here at Applebee's. I'll start off right away by saying that we didn't even get our appetizers, we waited and waited and finally our entrees come out and we're sitting there with a dumbfounded look on our face... So what about our appetizers? Next my wife bit in to her dinner and she deliberately stated that she didn't want any spice, her whole meal was covered in spice, she couldn't even eat it without feeling sick. My food was good enough, but the mashed potatoes were cold and she didn't even bring steak sauce. Finally we told the manager and she did nothing, she was rude and disrespectful, so we asked to talk to the General Manager Clemente... He was far worse! He didn't do anything except stand there and say. ""I don't know what to tell you"" our entire meal should have been compensated for such a blatantly disgusting use of customer service.  Steer clear of Applebees, you can always go just a bit further into American Canyon or Vallejo and find something there. It's not worth it coming here!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Lily W.,"Napa, CA",110,172,34,3.0,11/30/2017,"Often quite busy in the late evenings (when many other local spots are closed or about to close), there's usually at least a moderate wait to be seated.  On weekdays, there seems to be a shortage of servers since there are usually plenty of tables open, but the line by the door is still pretty long.  Food and service is average as expected of a chain restaurant, but the servers are always polite!  Restaurant is clean with an abundant menu available.  I often crave the spinach-artichoke dip, which is admittedly quite salty, but it hits the spot! It's a reliable place to go for a no-frills late night dinner.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Alyssa D.,"Napa, CA",0,1,,5.0,1/13/2018,My friend and I come here at least twice a week. 5 star review for Javi! He's a a fantastic server and very professional. They're lucky to have him. :),https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Skank H.,"Napa, CA",0,12,,1.0,12/11/2017,"Don't buy appetizers if you don't like them to be thawed out and unfrozen prior to eating them . Utensils and plates came with water from the dishwasher still on them . Unaware if they had any cleaning agents on them . Had to wait 30 mins to get one entree dish redone because of that .  If you like real spirits DONT come here they look and are artificially colored . Stick to rum and coke, gin and juice , ETC burgers are done well rare when you ask for well done anougher time we came here . Never coming back again ...",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Cynthia L.,"Mountlake Terrace, WA",21,4,,2.0,11/19/2017,"Food was good. Brownie bite was outstanding. Service was mediocre at best. Food came before or salad and appetizer. Our server seemed distracted and somewhat overwhelmed. If the restaurant had been busy I could understand her inattentiveness. However, it was very quiet for a late afternoon Sunday lunch. Very disappointing.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Mary V.,"Stockton, CA",0,4,,1.0,11/25/2017,Hi my family and friends all enjoy applebees  However tonight we went to Applebee's in Napa CA. and we're disappointed. We took our 17 yr old out so they can si g happy birthday to her. The waitress was kind enough and brought an ice cream Sunday but was sorry to say her manager doesn't  allow time to sing happy birthday anymore. I told her that's why we came here tonight the applebees in other cities still do so. She brought over the ice cream and sang with us. Great waitress poor manager customer service ! Don't go if you want to be sung to too celebrate your bday!!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Douglas B.,"Murrieta, CA",0,65,6,5.0,11/13/2017,Went too this Applebees on veterans day with a group of four. Three of which were veterans. They gave us three free meals from a special menu without any question. The service was great and the food was delicious! I was really impressed and felt appreciated.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Caroline S.,"Napa, CA",1,18,4,1.0,10/21/2017,"Last weekend we were seated a party of 5 asked for drinks, wine and sangrias.  We decided we wanted a shot so got up went to the bar as the manager came to our table we went back to our tables to get our id's the manager informed us we are only allowed three drinks and that if were bothered with our service since we got up to go get our shots.  How is that even a thing.  Paid our check and left.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Connie B.,"Napa, CA",19,19,2,1.0,4/21/2017,Today we had the worse service ever in my memory. Not busy at all. Servers hanging around  Talking. Ordered food and waited for 50 min. Called for the manager. She said it would be out in 15 min.  What? Two other patrons who came in later already had their food. Never going back. Do not recommend. Left without paying for our food that never came. This is the Napa Valley. A service oriented city. Unacceptable.  They don't deserve even 1 star.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
N G.,"Vallejo, CA",2,61,2,1.0,3/7/2017,I'm sitting in the restaurant still as I write this. It's been an hour. Still haven't received our appetizers. Everyone's finished their drinks almost twice over. Don't even seem to see any food going out to anyone anywhere near us. This is beyond sad. Update: appetizers served after 70 minutes followed immediately by our main course. No real time in between. 2 of our dishes had missing items. Final update: I'm now home puking my guts out. It was either caused by the boneless chicken wings or by the French onion soup. Yeah. I'm not coming back.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Ricardo S.,"Newark, CA",0,20,59,5.0,6/15/2017,"We are originally from down south Long beach Ca , we both work in the service Deparment, were very polite since we know how a simple thank you goes a long way. With that being said its our first time here and what can I say but positive things, Peter greed us right away as he maid eye contact with us, he then told us that Danielle will be our server. Danielle was up beat and very energetic made us smile due to her great smile and positive vibe. Every time she pass by our tables she made sure we where taken care-off. Due to her excellent service will be back more often she's a keeper",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Tyler F.,"Fairfield, CA",0,6,,1.0,8/6/2017,Never coming here again. Waited over 30 min in curbside to go. And the employees are literally laughing at the issue.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Jim E.,"Redondo Beach, CA",30,626,,5.0,10/3/2016,"What 5 stars for Applebee's Well yes and no, Applebee's gets 3 stars for the food, the extra 2 stars are because they supported special Olympics on the night we were there with the Tip a Cop fundraiser. We walked in and the place was full of cops, City cops, Highway Patrol, County Sheriff at least one from every jurisdiction in the area. The cops help the staff, serve the customer, some were better at it than others but they took time out of their evening to support special Olympics and give more to the communities they serve and make a difference with a very good cause. So extra stars to the staff for working harder The cops for their time and dedication And this location for helping support a worthy cause Highly recommended even on a non-fund raising night",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Jay D.,"Rohnert Park, CA",222,17,,2.0,8/6/2017,"I did the carside to go online and it took them over 20 minutes AFTER the time quoted for them to get me my food. After 15 minutes of waiting in my car I walked in and told them my situation. ( actually the guy in the car next to me did, he was waiting just as long as me and was frustrated as well) My food wasn't even done yet so I waited a bit longer. One of the managers said that they would do something about my check and give me a discount for waiting. A new manager came back with a $5 off coupon if I spend $25 or more for next time.... I'm not a huge complainer but I feel like that situation wasn't resolved the right way. Why do I want to come back and spend more money when I didn't have a good experience the first time... not only that, I was led on to believe I was getting a discount....the hostess was nice but was poor customer service by the management. :( sorry",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Van H.,"Napa, CA",118,172,602,4.0,5/23/2016,"Applebee's is pretty standard restaurant dining across the United States. Their menu & food offerings are the same. Probably your big difference you could appreciate in Applebee's would be in customer service. You can get good, as in real good - - or you can get bad as soon you sit down in the booth. The Applebee's on Socol, in Napa, has very nice staff and they treat you well.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Stacey S.,"Napa, CA",1,40,2,1.0,7/18/2017,You shouldn't offer curbside pickup if you don't have anyone to work it. Ordered by phone and was told 6 minutes till my order was done. I got there in just under 10 and sat for over 5 minutes in curbside pickup then went in only to wait at least another 5 minutes because the bartender was busy and the other staff said I had to wait for her while you were just standing around when my order had already been done. Napa staff should visit Vacaville and take notes.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Amber L.,"Fairfield, CA",21,34,,1.0,5/1/2017,"Terrible service and food.  We were the first ones in the restaurant, along with a few other patrons.  We were sat immediately and our order was taken.  I told the waitress that we were on a time crunch.   Our food took forever (like 45 mins) to come out.  I ordered the pork chop and it was super dry.   I had to take a drink with each bite.  The waitress Che ked on us once and my companion asked for more napkins.   They never arrived. Nor any refills on drinks.  It's safe to say this will be my last experience at an Applebees",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Cathy W.,"Napa, CA",41,51,96,3.0,12/10/2016,"Yesterday my friends and I had lunch here. The Chicken Tortilla Soup and Fajita Wrap were really good. One of the gals I was with ordered a salad and the French Onion Soup. The soup was disgusting. She made our waitress, Amy G.  aware of the problem, and it was promptly replaced with Tomato Basil which was good. I just wanted the thank Amy for her professional and kind service. She is a very sweet girl. Applebee's should be so honored to have her as an employee.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Sean M.,"Napa, CA",12,2,,1.0,7/27/2017,"The service here is underwhelming at its very best.The food is what you would expect.The prices are good for the quality but the lack of service kills the overall experience.It feels like it would be easier to pick your drinks up at the bar rather than waiting for your waiter or waitress to bring it to you,the same goes for the food service.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2
Marc D.,"Napa, CA",1,2,,5.0,7/16/2017,"Steve our waiter was awesome today. He dealt with difficult patrons, served us well and was on top of everything.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
Shylene L.,"Napa, CA",63,16,,3.0,10/11/2017,"We went in last night at 1045. A full hour and a quarter until close. It was not busy at all. There were probably three servers for ten tables. Our server was disinterested. It took him ten minutes to even greet our table. Drinks took another 15 and two came melted (they were frozen) and the one strawberry ""dolarita"" we ordered cam regular flavor. When we flagged down our server to tell him, he took it to the bar, put a couple pumps of strawberry in it and brought it back to the table without even stirring it. When our dinner came out my daughter and I ordered the Bourbon Street chicken and shrimp. This dish is touted to have crispy potatoes sauteed onions and mushrooms chicken and shrimp. The ""crispy potaoes"" we're stuck together and not seasoned properly. Everything else was over seasoned and super salty, and there were absolutely no mushrooms anywhere on the plate. Now, I could understand this being a possible problem in the middle of a dinner rush. Unfortunately, this was not a dinner rush. The restaurant was nearly empty, and we are in the middle of a natural disaster. We had all had a long drawn-out day number 2 of the Napa fires and just really wanted to relax and have a nice meal. Our host who sat us was amazing. He asked us if we were personally affected by the fires, we had a nice conversation about our experiences, and he wished us well.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
Eric M.,"American Canyon, CA",76,92,29,5.0,5/21/2017,Our Server was Sophia. (pretty sure that was her name) She was very friendly and attentive. The food was delicious. No mistakes and everything was timmed perfect.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
Angelina S.,"Napa, CA",87,14,,4.0,6/17/2017,"Ordered online tonight. Quick, easy and good service. Thank you peter and casey, good job.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
Danny L.,"Porterville, CA",19,1,,1.0,7/13/2017,"Had one of the most horrible dinning experience in a long time, was left waiting for almost 30 min for service.  Then when the waitress did come over she was kind of rude. This spot in Napa gives Applebees a bad name",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
Haley C.,"San Leandro, CA",0,1,,1.0,7/4/2017,"This place is a joke. I ordered carside pick up, they were a little late and all the carside pickup spots were taken and I had to call and tell them I was there. Lo and behold, when I got back to my hotel, there was no dressing for my salad and no utensils, LOL. Yeah, really.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
Emily S.,"Napa, CA",1,5,,1.0,1/7/2017,"Brenda lied to us and said there was a 30 to 40 minute wait to be seated at 11:30pm despite the fact that there were obviously open tables and nobody waiting. She purposefully turned away our service despite the fact that I called beforehand and they told me the kitchen closed at 11:45, which is probably not even true since they close at midnight. Very disappointed. Do not appreciate being given the runaround. I have worked at restaurants and I know when people are just trying to go home, but why work at a late night establishment if you are not willing to stick it out? Went to Denny's instead. Thanks for nothing, Applebee's.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-napa-2?start=20
