Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Emily C.,"Norristown, PA",0,15,2,5.0,11/23/2017,Please note the hours have changed and we are still working to have them updated on google! 11am-12am Sunday-Thursday and 11am-1am Friday & Saturday! Come in & ask for Emily,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
John J.,"Norristown, PA",0,68,24,2.0,12/2/2017,My son loves Applebee's but the service at this location is beyond slow. Plenty of workers I felt for the amount of tables at the time I was there but still took a long time to get refills and the original food order.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Jody H.,"Fort Washington, PA",38,9,1,4.0,11/25/2017,Cool good food good drinks but took waiter like 10 mins to fill our drinks after we had to get another waiter to refill them,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Rummy V.,"Columbia, MD",316,233,990,3.0,2/7/2017,"Norristown is my hometown, I was born in this area but still am discovering things around there. Me and my family went for a late night munchies to Applebees during half off appetizers. We had a great time, the food was delicious and service was nice. The only reason I wouldn't give it 5 stars is because of military discount complications, the discount is 10%...We all shared our appetizers and had a blast but when the bill came it only took off military discount off one of the appetizers (the cheapest one) and only takes off 10% which is .40 cents off of a $63 bill. I don't consider that being military friendly, especially when they pick the cheapest meal of what to take 10% off. Besides that everything was fine.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Brian D.,"Norristown, PA",0,4,,3.0,12/1/2017,For a chain restaurant the food is good and they change up the menu offten,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Katia P.,"Philadelphia, PA",1,17,8,2.0,7/14/2017,"Friday night, place is half empty yet service is hella slow for no reason. Half priced appetizers came to our table but Cassie still hadn't brought us our plates, utensils, or napkins. We wanted shitty Applebees drinks to accompany our food but Cassie was no where to be seen until we were a third of the way into our food. This is what we get for not having gone to Chap's instead. FML.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Dan W.,"Philadelphia, PA",283,120,923,3.0,5/14/2015,"like most other applebee's - average food quality with average service.  applebee's menu gets confusing these days with the numerous offers/combos you can get whether its 2 for $20, appetizer mix and match, lunch special mix and match, daily specials, and special events...woof gets dizzying to decide what to order at times.   I recommend staying on the conservative side and ordering items that you know an average sit down chain restaurant cannot really mess up - bone/boneless chicken wings, chicken tenders and fries, ect.   only recommend restaurants like applebees when you are very limited in your options and looking for a sitdown place to eat.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Heather S.,"Norristown, PA",172,115,4,3.0,2/17/2016,"I've never been a huge fan of Applebee's. I've always thought there were better chain restaurants out there as far as the food quality and service. This past Saturday I went with a friend for their 1/2 price wine. We had already eaten, so this was strictly a drinking trip to Applebee's. We sat at the bar and was immediately greeted by a very friendly male bartender. He was on top of his game. We stayed for about 3 hours and received excellent service throughout. As far as a HH/drinking spot, I highly recommend the bar. You can't beat $12 bottles of Apothic Red on V-Day weekend!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Kimberly O.,"Collegeville, PA",0,4,,2.0,10/22/2016,"Last night we had dinner here and while the waitress was very friendly and attentive, the food was just okay. My husband had a burger and said it was one of the best burgers he's ever had (and he's not a big burger eater so this surprised me). But I had a chicken dinner with mushrooms and onions, and the chicken was pretty gross. It had a bite to it instead of the normal shredding when you chew it, the gravy was lots of onions with just a few glimpses of mushrooms. And the kids meals were overpriced for a small bowl of mac and cheese and pizza made on a roll. Overall, would we go back? Possibly for burgers, but not for any type of chicken. But again, our waitress was amazing and made the meal enjoyable.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
Walter H.,"Newtown, PA",1,28,,4.0,3/15/2017,"Recently had lunch here after the Boat Show in Oaks and had a very good meal.  We started off with Honey BBQ boneless wings that was a perfect starter,  delicious and quick.  I had a house salad with balsamic dressing which was fresh and good.  My wife had the oriental chicken salad which she loved and was a generous serving so much so that she took half home.  My father-in-law had the all american burger with onion rings that were out of this world tasty.  He also raved about the burger.  Our server Donna was very thoughtful (she even warmed the coffee/tea cups for us) and attentive.  A very good experience, and this coming from someone who is normally not a fan of Applebee's...",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-norristown-4
