Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Dave H.,"Highland, CA",20,33,,4.0,1/6/2017,"First time eating here and overall was a good evening. The only bummer of it was the two year old child seated behind/next to us with her two siblings and inattentive mother. Almost ruined the evening. Who brings a toddler to a bar and grill anyways? Anywho, the food was good (but wasn't necessarily as advertised in the menu... and changing potato sides cost extra? ... why?)  However, we still enjoyed ourselves. The place was rather loud but that's to be expected.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Marcia G.,"Las Vegas, NV",99,348,398,5.0,11/24/2016,"Went for a late lunch and I ordered my favorite salad, Oriental Chicken with a side of extra dressing because they don't give you enough. My son ordered a chicken finger basket, these 2 entrees were the best options for the 2 for 20 deal, which comes with an appetizer. Our server was great and checked on us for refills. Then a manager checked on us and they had a notice on the menu holder that if your server doesn't offer one of their gift cards to buy then you get free dessert. We brought that to the managers attention, and she said that he hadn't checked us out just yet with a bill. So basically, give him a chance. So we did. He came by and we did order dessert. After that he brought the bill, in which the manager was with him. Still he didn't say the offer. The server said, he wasn't aware of that, even though the notice is on every table. The manager took him to the register, and she apparently took the dessert charge off. Thanks to my son, who was on it because I didn't even want dessert. I say all this to commend Applebees to sticking to their word.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Joy Beth W.,"San Bernardino, CA",4,128,107,5.0,4/25/2016,This is a good location not crowded and not noisy. Good food too. Marie was our sever very kind and she was always ready to refill the water and tea. This is my favorite location and I've ate at a few in the area,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Ramiro C.,"Anaheim, CA",93,120,5,1.0,2/18/2015,"I use to love the happy hour...the staff are all pretty cool I know 2 of them personally.  What really kills me is not the lack of service but the lack of quality. Bonless wings have come out Luke warm the last 3x But this last time just did it for me I ordered a Long island ice tea and on top of the lemon wedge they put in the drink was some sort of big insect.  The waiter was like ""oooh yeah thats a bug should I call the manager?""  And I was like ueah and call the Orkin Man .... Manager on duty was very apologetic ...she said I wont charge you for the drink.....I never even took a sip, so that was obvious.  I had a quesadilla and she didnt charge me for that $4 on happy hour and I said ok.   What wasnt ok was that the 2 other people were only half way done with the plates they ordered and they didn't want to eat no more.  Nothing was done about that...just sorry and a free quesadilla they didn't charge.  I didn't make a big deal out of it, they got our $75 but we wont be back again",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Keyantta H.,"Redlands, CA",0,11,,1.0,11/6/2016,"Worst experience tonight at Applebee's. I placed an online order and the site said my food would be ready at 7:11pm. The site even asked for my make, model and color of my car. I thought awesome, I will pull up they will bring my food and home I go. Well not so. I arrived, server comes out confirms order and goes back inside, server comes back out brings check and I sign, says they are putting it together and it will be right out. I sit and wait and wait and wait. I go in 35 min later, they get the manager and she said oh we were getting some boxes and we just have the bread left to box up. I am dumb founded like seriously what kind of restaurant are you running, needless to say I went home frustrated.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Scott S.,"Napa, CA",193,118,190,1.0,12/9/2014,"I don't know you well enough to tell you the story of how I ended up at this Applebees, so let's just skip over that part. THE STEAK: My god, the food here sucks. I ordered a sirloin steak that was advertised on the menu as either 8 or 9 ounces (I don't remember exactly which). Part of the problem with picture menus is that the pictures show a BIG beautiful steak shot by a professional food stylist in a studio set up. What I got on my plate instead was the saddest, misshapen piece of low grade beef I think I've ever seen. If you look at the picture I posted, you'll see that the size of this thing barely qualifies as a chicken tender. And it was basically slapped on a plate and previously frozen French fries thrown on the plate. After dinner, I asked my mom if I could pop one of her muscle relaxers because my jaw was so sore from gnawing on this piece of meat that had the texture of rehydrated beef jerky. THE TABLE: As I was praying to God to make me a bird so I could fly away... far, far away... I looked up, and on the wall of our booth was a big collage of pictures of the local police department. Okay, I get that this big corporate giant is trying to fool people into thinking that they're a local community restaurant by posting pictures of local firemen, little league teams, etc. But honestly, this is the most awkward, inhospitable, and unappetizing thing you could put on the wall, just short of pictures of local morticians. You can see from the pictures I posted that I was looking up at pictures of SWAT teams, a militarized police force, and even a picture of some cop in full tactical gear on the side of someone's house with an HK MP5 submachine gun raised and ready to kill someone. Applebee's, thanks for reminding me that the community of Redlands, California isn't much that much different from Fallujah or Kandahar.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Kathryn H.,"Yucaipa, CA",0,10,4,2.0,6/3/2017,The bartender Jade is terrible! Zero interest in her customers and I had to ASK for a menu. She didn't even offer. Was more interested in the males at the bar than females. This place needs to bring back bartenders who get to know their customers and take pride in good service. Two stars because the drink was at least good.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Nicho S.,"Redlands, CA",16,661,411,4.0,2/10/2016,"Not bad for an Applebees, first time to this location and I was pretty impressed with the variety of good, well priced food that they offer. The food is good, great service, great location and very affordable prices!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Gabriella S.,"San Bernardino, CA",5,15,3,1.0,3/30/2017,Won't return here ever. It's been about 7 years since I've been to an Applebee's and now I remember why. Service and cleanliness. Last time I was here I received the dirtiest silverware ever and my artichoke dip was freezing. During my last visit tonight (my friends suggestion) the floors were all disgusting and dirty with food and debris. Seating areas were all dirty and stained with old foods. Nadia the very pleasant and polite hostess seated us and took our drink orders at 8:58pm our waitress (who we understand was overwhelmed) did not see us until 9:14 -I was on my phone once she arrived. I understand it's just a Thursday but perhaps staffing should be amped up when it comes to your happy hour. She was dealing with too many tables and had no problem expressing that to us as we wAited for her to take our orders. I got a 4- cheese mac and cheeses with chicken fingers. IT WAS FREAKING COLD. Even had my friend try it to see if I was being dramatic and she called the waitress to have it reheated. I gave the waitress the plate with 5 chicken stripes and two spirals of macaroni taken out. She returned it with  3 chicken strips and the entire plate in disarray. I let it go for my friends sake. But I will never return and never advise my guests to waste their time/money  on this place. I should've stuck to my seven year strike on this establishment,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
Brianne S.,"Riverside, CA",55,54,,5.0,9/26/2016,"American fare.... good prices. We mostly come foe the 2 for $20 or 2 for $25 deals.  The staff at this Applebees is always super friendly. Tonight....Jerrad made our visit. He was running the show... waiting tables and tending bar; a jack of all trades. He was warm and friendly, and made us laugh. A truly great server makes you feel like you went to dinner and a show. He even brought me and my adult daughter coloring sheets and crayons, simply because he could.  I ordered the 6 oz. Steak, with garlic green beans, and crispy cheese and bacon potatoes.... one word.... yum.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-redlands-3?start=20
