Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Taylor C.,"Mebane, NC",0,4,,1.0,3/1/2015,"Terrible service, and food. The steak was chewy and the chicken tortilla soup had no chicken. They can't even put together a grilled cheese sandwich. Definitely would not recommend eating here.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2?start=20
lars h.,"Orlando, FL",0,204,24,4.0,7/17/2013,"well, we experienced a totally different restaurant  than the other reviewers. first, the food was fine. it is a chain restaurant, so expect less than top of the line.  second, service. very nice waitress and quick service. we will stop again, if in transit through the area. applebees definitely got the job done.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2?start=20
Christoph G.,"Virginia Beach, VA",70,1,,1.0,12/18/2010,"We ate here on a Saturday.  We were rafting that day and we're hungry so this was the ""best"" option ad there are not many places here.  They were backed up.    The waitress said the kitchen was backed up when we sat down which was a nice heads up. It then went down hill.  Our appetizer came out cold.  The waitress said there was nothing she could do about and If we wan we could talk to the manager.   45 minutes later we received our meals and our first refill.  She didn't even take out empty glasses ad another waitress finally grabbed them 15 minutes later.    We had to constantly ask for refills.  Out burgers were not coined even close to how we asked and the fries were cold.   The manager gave us a basket of hot fries and took the appetizer off the check.  It took 2 hours from the time we sat down to getting our checks which also took forever.   We should have went to Wendy's instead or drive to another gown!  Bypass this restaurant while on 19!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2?start=20
Bev D.,"Pittsburgh, PA",0,5,,3.0,10/1/2017,"We stopped for some soup. That's all I could eat today. They were out of Tomato Basil soup. However, they were nice enough to give us our drinks complimentary.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
Brandon S.,"Essex, MD",26,157,153,1.0,7/31/2015,"I'm really giving this place credit for one star. Truthfully, they deserve less. On a weekend trip to West Virginia for a family reunion, we stopped in a familiar restaurant for dinner. Being from Baltimore, Maryland I can assure you I wasn't born with a silver spoon in my mouth. Usually, I don't complain much for poor service and subpar food. But for the first time in a verrryyyyyyy long time, Applebee's pissed me off.  It all started when we pulled into the lot. A red flad was when 8 employees were outside on their phones and smoking next to a side door. I thought it was unprofessional and thought of my teenage years when I was a bus boy and they didn't allow smoking anywhere near customers. When we walked in the front door their was not a hostess. We waited a good 5 minutes but eventually the hostess got off her smoke break to seat us.  I noticed something odd. All the wait staff were wearing beer shirts.... Our waitress came to take a drink order. My mother and father in law ordered a blue moon draft. But they couldn't enjoy it right away. You see, they had to go to the hotel to get their ID. Clearly older then 21. But that's not the biggest issue because law and policy reigns supreme. They came back with their IDs and along came our other drinks as well. I watched my father in law take a sip of his blue moon and make a funny face. ""Taste this,"" he exclaimed. After a quick sip it was clear the draft lines are dirty and the beer tasted the same. But we didn't complain.... They took our order and the wait begun! But when asked for Mac and cheese the waitress said ""it's Kraft so it's the good stuff."" Mind = blown 30 minutes later our salads came. Mine was 40% rotten lettuce. I ate what I could and then couldn't stomach anymore. See pictures. My in law was given his French onion soup and it was halfway filled with a tiny piece of cheese. See picture. After we stated the disappointment, they comped the soup and salad. 20 minutes later come the main course. 3 steaks cooked with with ice cold uncooked carrots. I had a order of honey barbecue wings. I took one bite and noticed it was rotten chicken. But at this point I was so irritated I told myself I wouldn't say anything. But when the the waitress seen the uneaten wings, I couldn't lie.  She told the manager and a young, douche bag manager comes over to tell me that the wings are fresh everyday and that nothing is wrong with them. Again, I'm not a person that ever complains this bad! But wow.... Just wow. He told me that he already comped my salad and he can't comp anymore. Well thank you mr. Douche bag manager with your sears button up shirt. It was so nice of him to give me a free brown salad with complimentary rotten lettuce. I simply told him I'll pay for it and it's a small price to pay compared to getting sick.  This was truly the worst restaurant experience I've ever had. Two other tables around me complained of poor service and long waits for food. I could go on and on with the horrible service, food and atmosphere Applebee's in Summerville, WV provided.  I was so irritated that I gabbed my tired son and waited in the car for the rest to try and finish their horrible meals. When I was out there I snapped a pic of these horrible cooks and wait staff smoking outside. I watched one of them go back in a deliver someone's food Straight from smoking. When the family came back outside they couldn't even finish their meals. Another couple in the parking lot was on the phone filing a complain with their corporate offices. But to end this horrible review with a cherry on top I must share one last thing. When they were walking out and said goodbye to the waitress, she told them she just got out of jail for drugs. Ok... One word to describe this Applebee's. HORRIBLE",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
Keith V.,"Hurricane, WV",60,13,7,5.0,12/17/2016,Great atmosphere and management team! I love the Happy Hour being every day of the week! Can't beat A Brewtus of my favorite beer for under $3 during Happy Hour!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
Dave H.,"Riverside, CA",32,7,3,2.0,12/10/2016,Short haired bartender complaining about co-workers was louder than the Christmas music.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
carla m.,"Mayport, PA",11,23,,5.0,9/8/2017,"visited here this past week sept5th..had a super good meal,and was waited on my waitress,DEBBIE...she was superb! friendly,loved her job, quick to reply when we ask her questions about the area,(we are from pa) and was in w.v. on vacation....she did her job well! loved her accent!!...keep her employeed there,we will be back someday to see her again!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
Amanda S.,"Virginia Beach, VA",146,13,2,1.0,9/28/2016,"Holy crap this place was awful. Not even busy took forever to order, forever to get drinks, and forever to get food. They don't know how to cool steaks for one, salads were grossly watery. Service terrible. Not even worth a shot.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
John P.,"Raleigh, NC",0,48,,1.0,5/4/2017,"Took forever for the bartender - who was chatting interminably with the wait staff - to draw a couple of beers. Only mediocre food, or worse. Terrible service. Never again! Normally Applebees is a go-to place when we are traveling but the Summersville WV location has gone WAY downhill.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-summersville-2
