Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Diana E.,"Pompano Beach, FL",652,268,275,5.0,1/8/2018,"This is my third visit to this restaurant in the Gainesville area, I usually go to the one down in Coral Springs.  I love this location as much as I do my regular one. The beer is always nice and cold, apps and food on point and this time I had Ivana as a waitress who was wonderful. I even ended up getting a free Pozooki with my BJ loyalty points AND buying two movie tickets at a discount price ask your server for details. Score!  I will definitely come back to this location.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Cierra G.,"Fayetteville, NC",196,121,195,3.0,11/29/2017,"I don't have much of a review for this BJ's location.  I've visited only one other BJ's location, in Tallahassee, FL, and I loved it, but I also went there to celebrate and have drinks.   On this particular visit, in Gainesville, FL, on a super long road trip back to NC, my husband and stopped here because we were hungry and tired.  We happened to come during lunch time, but it was early lunch, 11 am maybe, so the lunch crowd wasn't quite out and about yet. The hostess greeted us as soon as we entered the establishment and we were seated right away.  Our server came soon after and told us about the lunch specials.  She brought our drinks, took our orders and went on here way. The food was good, especially because we got a great lunch deal, however, it seems that she forgot to charge us for the special, she charged us regular price, but was quick to fix it after paying attention to our receipt. There was nothing special about this visit, just ok.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Robert R.,"Gainesville, FL",55,55,85,3.0,10/1/2017,"I have eaten at BJ's many time. But, it's exceptionally average. I enjoy the atmosphere and all the sports. It can be a bit loud sometimes.  I tend to enjoy the food but I have had some disappointments as well. The chicken tends to come over cooked and isn't great to begin with. But the fish tends to be good and not over cooked. The deserts are good. Some of their mixed drink are really good. I enjoy a drink like that. It's pricey but delicious.  Overall, I don't turn down an invite to go here.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Pam S.,"Blountstown, FL",1,3,2,2.0,9/30/2017,"This was our 1st time at BJ'S ever at Gainesville...thought we'd give it a try. Kinda wish we'd never gone there. We went there after a game about 3:30 pm & wanted to grab something to eat before traveling back home for 2.5 hours. We were seated immediately, which was great. However, we waited 10-15 minutes before we finally HAD TO ASK for our waiter/waitress. She came within a few minutes & was friendly enough. It was another 10 minutes or so before we got the drinks. I had a vanilla cream soda float & that was very good. We ordered the stuffed spinach mushrooms with garlic pesto aoili sauce as an appetizer. When we saw them, we were disappointed at the size of them...of course, we didn't know what to expect being new. There were only 6 of them but other restaurants at least give medium to large sized mushrooms. They tasted very good. We had to flag down our waitress AGAIN to order our entrées (deep dish pizza)...THAT took another 10 minutes to locate her. She was flittering all around us, when we actually got a glimpse of her, but she was NEVER attentive to us. We ALWAYS had to ask other waiters/waitresses for what we needed. When she brought some refills on our drinks, she said that she'd bring us some parmesan for our pizza. Did she ever bring it?? NO! So, we flagged down yet someone else. She never even commented or asked (or apologized) for not bringing it. We had already eaten 4 pieces of pizza before we got some. When we were finally ready for the check & a to-go box, my husband finally got up & went to the little area where the waiters/waitresses were to ask for the check & a box. Seconds after the box was brought, she happened to bring the check & she saw that someone had already brought a box. We will NOT be going back to the Gainesville BJ'S again...and we are there often during football season. Maybe in another town.... maybe. The vast menu was somewhat overwhelming to go through & pick just 1 thing (besides an appetizer). It would be better to have maybe 4-5 pages, front & back....not 20. To end on a somewhat high note...we loved the ambience & warehouse feel of the place.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Nan T.,"Gainesville, FL",16,316,2441,4.0,7/4/2017,"After a five year absence, I swore I would never return. But I did. (I was strong-armed.) And was I ever surprised! To our benefit, it was a late dinner & there were few patrons on site. Kudos to waiter Erich K; management should clone him after having him train the entire staff on how to serve professionally & w/ 100% accuracy. Kudos also to the chef for the Avocado Egg Rolls appetizer (see pic), which was one of THE best avocado appetizers we've ever eaten; the crispy golden brown wrapper, fresh abundant avocado, red onion, & soy-based dipping sauce were amazing. (Thanks for the recommendation, Erich!) The flavorful, slightly spicy Double Bone-In Pork Chop dinner (see pic) w/ crisp garlic green beans & cheddar mashed potatoes was both huge & superb! (It was another great recommendation.) The Tomato Bisque soup was very good, as was the Golden Beet Arugula salad. Lots of tasty food, decent prices, phenomenal service, & a pleasant decor. Kudos all around! But, unfortunately, there was one downer-- a 20-page menu (23 if you include specials) that is so extensive I lost interest after the turning of the first five. (Robert Irvine would poo poo that sucker:) Within such a vast & varied menu SHOULD at least be a page labeled, ""The Best of the Best that We Offer"" or something that sounds more creative while catching the attention of customers like I who found the monstrous menu most annoying. (FYI: According to our server, the menu will soon grow by 7 new items-- at least two of those items will be new chicken wing flavors.)  Thank you, BJ's, for redeeming yourself! And thank you Erich K. for being great at your job:)",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Kristyn W.,"Gainesville, FL",271,59,89,3.0,1/24/2017,"Bj's Restaurant is mediocre for its entrees and selection - the only reason I go here is for their chocolate chip pizookie to be quite honest! The ambiance on the inside of the restaurant is quite nice, giving you an upper class type feel however the menu just does not cut it for me. I struggled to find something to order because nothing caught my eye. This was my second time coming to Bj's and I've noticed that they changed the menu. I used to order the cajun chicken pasta, but now that's not available anymore. I was a little stumped because the one dish I liked was now gone!! This time, I ordered the parmesan crusted chicken as my entree which came with roasted broccoli and mashed potatoes, but I mistakenly swapped the mashed potatoes out for a broccoli cheddar soup (HUGE mistake)! The soup was extremely cheesy, so I did not finish it. I was told by a friend after my experience that the mashed potatoes are to die for, so if you are going to choose this dish, then I guess stick with the mashed potatoes. We also ordered a couple appetizers - avocado egg rolls, calamari, artichoke dip and a California chicken flatbread. All of these items were pretty good, but nothing special or different than what you can find at a TGIF or Chili's. The ONLY reason I would be willing to go to BJ's would be for their chocolate chip pizookie!! It is basically a cookie that is baked in a deep dish (like a pizza) and has a couple scoops of vanilla piled on top. The cookie is warm and with the ice cream, you achieve that melt in your mouth chocolatey goodness!!! Plus, if it's your birthday, you receive a free mini pizookie with a candle lit in it! Like I said, not my favorite restaurant to come to because it's really average however the pizookie's are amazing!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Kim R.,"Gainesville, FL",213,209,444,2.0,12/4/2016,"The restaurant has a nice high-end vibe to it and a good atmosphere for socializing and good interactions. The food left much to be desired. As a matter of fact it was costly below average appetizers (sampler). I got home with my leftovers to share with my husband to show him what he missed out on. I opened my goody box and he said, with a straight face, ""What's that?"" It was avocado rolls and boneless chicken wings and if I return to BJ's, I will not order it again.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Jen S.,"Streetman, TX",2,55,14,2.0,11/7/2017,Ok I am picky. Came to eat for lunch. Did the bar thinking it would be faster and waited by my table for three mins. Then finally a busboy came to clean the table. Almost walked out. The tomato sauce from the previous guest was smashed into the cleaning rag and the chunks came flying toward my tan shade shoes and the tomatos left streaks on the table . He didn't notice it wasn't clean and left chunks on the seat with the smear on the table.  We have the best waitress running full tilt however when the hostess finally arrived with menus she did not send someone to clean again. So my clean silver is resting on the paper napkins. Don't go here unless u don't care about cleanliness. I did ask the hostess to tell the manager but here I sit. I am ordering the prime rib! Holding my breath !,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Scott R.,"Fort Lauderdale, FL",170,191,1160,2.0,5/17/2017,"Fellow Yelpers, 1.5 stars  BJ's restaurant in itself tries extremely hard to be something it's not. It's begging to be the Cheesecake Factory. It wants to have a little bit of everything. I even think it's to the point where corporate office needs to take a look at the menu and ask themselves what type of restaurant are we?  Nothing on this extensive menu in my opinion is worth ordering to me  pages and pages on items that are all underwhelming. The kitchen staff must have it absolutely insane in there. The menu has 22 chapters. With all area of pizzas. Ordered the flat bread pizza (it was horrible) flat bread was more flat and harder then a saltine cracker. Ok so now we know I clearly am not a fan of the food nor their menu.  The service is hit or miss. Orders are all taken on a mobile device so they are staring at a screen the entire time while placing your order. I can see the menu is too large to remember everything so that's why they must use them.  BJ's brewery?  I never visibly seen anything that shows they are a brewery. No tanks or anything I show the process of making beer. No creativity   Bj's actually has a large space and nice interior and even has potential with a lot of changes  I will not be a customer nor do I recommend this place to anyone.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
Crag F.,"Charlotte, NC",0,7,,5.0,10/23/2017,"Been here twice. And I'll be here a lot more. Menu is huge, not sure how they do it. Pizza, great - both flatbread and deep dish. Steaks, killer. Homemade guacamole, also great. Fish and chips, like from the coast. Seriously, not sure how they do so much so well. And their beers? What? Huge selection, all brewed in state, not far. I live in Charlotte, NC, and visit here to Gainesville often, so I'm not a local. There may be better places, but I doubt there's a lot.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville
