Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Sumeet K.,"Plano, TX",44,71,18,5.0,5/8/2017,Amazing place when it comes to good food (with tons of healthy options) and cheap beer. Their own beers are really good as well. Just tell the server the name of the branded beer that you love and they will tell you their matching or similar beers (typical of brewery) !! I love their enlightened menu options as well. Great service on this location. A minor issue happened where our tables were cleared after we went to the restrooms. We had asked to have the leftovers to-go'ed. But tables got cleared by mistake. Manager was courteous enough to get us the complete new order of our food made and packed to-go (in 5-10 mins) along with an apology. Very polite management and top customer service. :),https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Hannah M.,"Medical Center, Houston, TX",0,15,17,3.0,10/2/2017,"Went to BJs for a date late dinner date. I was craving dessert so I ordered a chocolate chip pazookie. It was delicious, soft warm cookie and two scoops of vanilla ice cream. My boyfriend orders baked zitti. His pasta wasn't fully cooked and it was pretty bland. It came with a garlic knot and the knot was hard as a rock, so we didn't bother eating it, wasn't very appetizing. We had mozzarella sticks for an appetizer, those were cooked to perfection. Very yummy, will order every time I go there!! Service was exceptional, as usual. The energy there is always great too, it's a great place to catch games and drink some beers. I'm giving them 3 stars because of the baked ziti, it definitely fell short of expectations. Will definitely go back, but I won't order the baked ziti again.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Aubrey E.,"Celina, TX",182,42,34,1.0,8/24/2017,"I usually always enjoy my experiences no matter how it turns out but BJs Brewhouse did NOT make a very good 1st impression.  The food wasn't to our liking and I tried my girlfriends and my other buddy's sirloin (he was our 3rd wheel :) ) Please have the owner contact me. We had to check on our alcoholic drinks due to wait time; luckily I ordered water and lime. I never got the lime. The alcoholic drinks got there right before the food arrived (15-25min wait).  Service was terrible despite it not being ""too busy"" but she still earned 35% tip. We didn't even take the food home; sirloin went to our handsome huskies.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Dallas G.,"Dallas, TX",210,21,262,1.0,4/30/2017,"One star for being able to fulfill our 1 hour call ahead reservation. We arrived at 5:50pm and were seated by 6:05pm. I chose this establishment for my sister's birthday to accommodate some picky eaters in our party.  We ordered a couple of appetizers, classic fried mozzarella sticks & spinach artichoke dip. Basic as it gets.  What really bothered me are the plates. They were so filthy, greasy and wet. I had to find another server to switch them out. Only to get another set that were just as disgusting. That really pissed me off. I couldn't help to think how unsanitary the kitchen is, how they prep, handle food and drinks.  They also had no Chimay and Heineken in stock. I ordered the deep dish pizza. Pretty much raw vegetables thrown on top.. the line cook may have hoped it'll finish cooking from the residual heat? The meat, pepperoni, sausage couldn't taste anymore fake than it was. I also ordered a side caesar salad, dressing on the side. It was on the side alright, but recall the dirty plates? My ramekin was most likely was pulled from the dish pit (see pic), crusted with old food and oil, nestled on my salad. Perhaps the dishwasher might not have been working properly tonight?  We brought our own birthday cake and was given to our server before the meal. When it came time, I expected the server to at least get it out of the box and place the candles on it. Nope. We had to open it up and prepare everything in front of my sister. Nice cake surprise presentation huh?  The managers never stopped by to do quality or experience checks. One of them dropped glassware next to our table. Didn't apologize or made sure the other guests were okay. To top it off, he picked up the shards with his bare hands.  Careless in all ways possible. What a pathetic experience.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Josh H.,"The Colony, TX",223,47,21,4.0,4/14/2017,"I have been to BJ's only a few times in my life, but have always had a great experience each time I've been.  This location in particular is close to my work and a great place to come for a quick bite and break from the mundane! The menu has a great range of various items for the health conscious to the eh... fried conscious *shamelessly raises hand*.  I will say, if you are one that gets a bit overwhelmed with a small novella menu of options, stay focused...they have a lot of options :)   The food here is always great and reasonably priced.  This trip I had the California Club Sandwich, which was a grilled chicken breast with cheese, avocado on toasted bread.  It was very good. My work colleagues said that the Ahi Tuna salad was great as well as the BBQ sandwich.  Our server was kind and efficient.  The desserts are definitely worth a look...that pizzokie especially.  (a cookie pizza....um YES!).",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Ray F.,"Dallas, TX",80,414,160,2.0,4/2/2017,"I was with a party of 9 on a Friday evening.  I was with a date and we were there 30 minutes early.  We made our table request for a table and were told 45-50 minutes.   So we went on to the bar to wait. The bar staff were friendly, but no Bushmills.  I settled on something else and waited.  At the 40 minute mark, we were told they were ready for us.  It was a booth and that wouldn't work with our group.  So we waited another 10 minutes and a table was ready.   As we were sitting down, the staff dropped a drink which splattered on my open toes and my cast.  As a couple of wait-staff began cleaning up the liquid, another dropped his tray with a loud bang.  Three times during the meal, one of the waiters knocked into my chair. Of all of those incidents; one apology on a chair bump.   The food was delivered with the expected confusion for a large party's order.  All was quickly sorted out. A couple noted the pizzas were not really well cooked. The rest loved their meals. We ordered desserts and for some reason, one was brought to go (mine).  (I guess they really wanted me to leave?) The billing was also a problem and took a couple of tries.   Other than that, the server was attentive. Another note, the background music was quite loud which required all to have to talk loud.  My ears were actually ring when we left!     Perhaps it was the party size?  The crowded Friday?",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Larry J.,"Dallas, GA",256,44,22,5.0,3/18/2017,"This is an excellent place to meet with friends and family for good mixed drinks, beer, food and watching sports!  Me, my sister and Mother ate here after shopping.   my sister had a Chicken Salad that was huge. My Mother had the California Chicken Club, and I had the Smoked Salmon With Cherry Sauce. All three of us loved our meal! The Smoked Salmon With The Cherry Sauce was so good! I have eaten at many white table cloth fancy restaurants and this dish blow every dish away that I have had at every fancy restaurant.  Totally Delicious!   My Sister and Mother both had margaritas and I had a mixed strawberry drink that tasted like strawberry cheesecake!  That drink was so good.  Also, I guess due to the size, you not only have your waiter, but there is another person floating around making sure every table was alright.   I think that is an awesome business model for any large and very busy restaurant.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Harvey S.,"Frisco, TX",163,217,123,2.0,8/1/2016,Over the years I've been here many times.  Lately the service has become spotty at best.   Today at lunch we had to wait 15 minutes after being seated before we were able to get a servers attention.  The manager came by and gave the perfunctory sorry and promised to speed up our food.   It didn't help.  It still took a long time and my companions chili was just above room temperature.    We will have to find another place.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Joe M.,"Plano, TX",0,2,,1.0,10/14/2017,This restaurant in plano always seems to not meet my expectations. I go to the one in addison quite a bit and it is excellent. I used my app ( member) to reserve a table early. I show up and they say no reservation. I check my app and I have a bill on my app. They gave my seat to someone else who is no using my account number. They manager closes the tab out. Never offers an apology. So calmly I sit at the bar. I go to the desk after 15 minutes and they say we have been texting and calling u for a table. I check my phone ( only number they have) no texts or calls. They top it off with lying after they gave away our reservation with no apologies. Guess I have had enough. Time to move on. The waiters seem r To turn over a lot and the service has gone down hill. Next time another place,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
Stefanie L.,"Dallas, TX",2445,953,1686,4.0,9/23/2016,"My team did a fundraiser here one night. They call them ""spirit nights."" The restaurant is a lot bigger than I expected. They have a bar area and a general dining area. Their menu is a bit overwhelming because there are SO many options. I couldn't figure out what I wanted because everything sounded amazing. They have gluten free options for those with a food allergy. I chose to get the ahi tuna salad. It was great! Light but filling! They actually give you a good amount of tuna.  The food is decently priced and the portions are a good size. I would definitely recommend stopping in here.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-plano
