Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Stephanie S.,"Durham, NC",4,10,,4.0,9/19/2016,"Very pleasant experience in the Durham location.  This location is extremely busy and yet they provide excellent and timely service.  The food is very good considering it is a chain restaurant.  They provide a great ""healthy option"" menu.  Great location - walk across the the ""Streets"" and take in a movie!",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Radhika S.,"Manhattan, New York, NY",0,5,,1.0,2/25/2017,"In the past, I have gone to this Cheesecake Factory and it has been really good. However, the last time I went was two years ago in December and the appetizers, cheesecake and some of the entrees tasted excellent however there was a problem. The problem was I had ordered a chicken and pasta dish (I can't recall the name) and the next day I woke up at 3 am and I was throwing up. I vomited constantly and I did not get any sleep that night. THE WORST PART WAS THIS WAS ON THE DAY OF MY BIRTHDAY! No one wants to spend their birthday with severe food poisoning.  I believe something had gone rank with the chicken and I called the restaurant and they did not even apologize. The lady just said, ""thanks for letting us know"" then she hung up. How rude? I have been to other Cheesecake Factory chains and I have had better.  I am never going to this Cheesecake Factory chain again.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Brenda C.,"Wilmington, DE",138,267,1963,4.0,10/20/2014,"I suggest the cheesecake as your appetizer to make sure you have room for it. Maybe even have a couple of slices and just skip the rest of the meal. The Red velvet cheesecake is heavenly! I've tried a couple of other and they were all good, but red velvet is by far my favorite. As far as food goes, this is the kind of places that has so many options, but yet nothing is particularly appealing to me. The menu is a pretty thick book, I've been here a couple of times the only thing things are favorably memorable are the Chicken Madeira and the Gumbo (I enjoyed, though it wasn't like authentic gumbo). I once had this Asian salad that came with a very greasy wonton and was drenched in dressing, would've been better off eating a burger. Aside from that, the food is okay overall, not great, but not bad either. They bring you warm bread with butter when you sit so, I always look forward to that brown bread. It's a nice place to visit with a group since they have something for everyone on their menu and it's right by the movie theater. That being said, you can expect at least an hour wait on  Friday or Saturday night.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Terry H.,"Euless, TX",43,437,221,4.0,10/15/2015,"Very good salads today.  Jon our server was very good and professional. Thanks Jon.  We were seated very quickly during a busy time because they have tables for two, and that fits us.  Drinks were tasty and quick.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Grace H.,"Fayetteville, NC",367,29,19,3.0,7/24/2015,"Environment: If anything, I come here for the interior and service. The restaurant is huge and somehow always has a minimum of a 30 minute wait on the weekends (during dinner time). There were flies in the restaurant which was distasteful.  Food: Best thing is the bread that comes out for a starter. The last few times that we've been here the food has been a miss. My go-to is the Steak Diane and Shrimp Scampi combination and the first time I'd had it, my mouth was watering for more. Recently, it just hasn't hit the spot. My family reacted in the same manner to their dishes (Tuscan Chicken and Fish Tacos). The Tuscan Chicken was dry and not marinated well, although the balsamic vinaigrette sauce is well-made. The fish tacos were not impressive at all, I'd recommend you don't order it at all. Hardly any fish, you're paying for lettuce and tasteless mini tortillas.  Service: Service is attentive but nothing spectacular. For the price I'm paying for these entrees, I expect a more professional and engaging service. Our table was missing silverware and small plates that all the tables should already have ready.  Overall, I honestly won't come again. I can get better service and food over at other places for a cheaper price. The only time I'll be coming here would be for their cheesecake but only if I'm actually willing to pay $7.95 for a single slice.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Emily L.,"Thomasville, NC",0,11,4,5.0,7/11/2016,"I thought it was super expensive at first, but then when I actually tasted the food, I paid their prices happily. Service was great too. I will note that the restaurant is very loud, but that's not easy to control. I loved this place.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Tori H.,"Charlotte, NC",503,523,290,4.0,7/26/2012,"You know, I know it's a chain, but I like it. I always get the same thing, and it's ALWAYS delicious! The service has always been decent to outstanding. We took my brother last night for his 18th birthday. Our server, Ebony, was fantastic. Always refilling our drinks promptly and she was very friendly (but not in a fake-waitress kind of way).  I got the chicken madeira and the cheesy goodness and the sauce with mushrooms...aaaah so good. The garlic red skin mashed potatoes were great too. So tasty. I can't imagine how much salt is on their food..........but whatev's.  We all got cheesecake and they sang happy birthday to my brother and they draw ""happy birthday"" in syrup on the plate. Nice touch. I always like places that take any extra step for someones birthday- especially when you are paying $$. The only thing that sucks is really the drink prices. I always want to get a few yummy cocktails- but that would be like a meal in itself for the cost. Not worth it. I can make a MUCH better authentic pina colada at home (and stronger ;) ) for a fraction of the $8-$10 you spend on one there.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Adam S.,"Charlotte, NC",15,361,3,3.0,8/31/2015,"I find this Cheesecake Factory to be consistently worse than the one in Charlotte. Our most recent experience was on a Friday night, so naturally Southpoint was a total nightmare with people all over the place. The wait for Cheesecake was 40 minutes, and it took that long, maybe a little less. Once we were seated, our waitress came and took drink orders. I got up to go to the restroom and almost fell down because the floor was so slippery (not in the bathroom--in the restaurant itself!). Understand that I'm pretty in shape and don't usually fall, but I found myself walking very cautiously to avoid a fall. Not cool. Anyway, we got our bread after asking a few waiters, and our appetizers shortly thereafter. The ahi tuna was phenomenal, and the guacamole was good as well. I will say, though, that the heat was not spread in the guac evenly, so one bite was hot and the next wasn't. My meal was the SkinnyLicious steak with some veggies. It was pretty darn good. Not too much food, which was perfect for what I was expecting. I'd get it again. Service was really slow but very kind. Our waitress was so sweet but a little forgetful. The people at the cheesecake counter were great. I got the new Salted Caramel Cheesecake which was pretty good (I think red velvet is still better...). I'd probably still come back to this Cheesecake just because it's an easy thing to get, but it's really below the standard that should be set.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Pam G.,"Winston-Salem, NC",1,22,1,1.0,7/21/2015,Sorry I love the Cheesecake Factory but not this one!!! It is in such a lovely mall to bad it is not living up to it's standards! Service slack and our food inedible !!!! Someone needs to clean that place up and replace some chefs and staff! What a shame!!! Will not be back I this location !!!,https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
Carrie L.,"Raleigh, NC",0,65,9,3.0,5/8/2016,"This place is so overrated. I don't understand why people eat anything other than cheesecake here. I got the roasted vegetable salad, which had about 5 vegetables on a massive bed of iceberg lettuce. It's not worth the price - eat cheesecake here and have a better meal elsewhere, with better service too.",https://www.yelp.com/biz/the-cheesecake-factory-durham?start=80
