Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Judy L.,"Concord, CA",17,17,26,5.0,8/27/2017,"Love our waiter Carlos B . Spoke a little Spanish to us with an edge. Food was delicious. Carlos kept our drinks filled without asking. Even told the manager about this, which I rarely do. A++ Carlos!",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Mike K.,"Fort Lauderdale, FL",0,16,,3.0,10/24/2017,"It's Cheesecake Factory, and the service always sucks haha especially during happy hour...good luck ordering then",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Michele D.,"Wayne, NJ",442,255,1081,3.0,12/6/2016,Nothing special about this Cheesecake Factory. Food was good and service was slow. Gets busy for lunch and dinner with all the tourists in the area(me being one of them). The menu here is huge and so much to choose from. I never have room for desert since their portions are really big. I always say leave room but never do. They have a larger outdoor seating area for when the weather is good.,https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Thomas M.,"Wheat Ridge, CO",61,28,5,1.0,12/9/2017,"Worst Customer Service & Food! I was staying at a local hotel very close to the Cheesecake Factory and decided to call ahead to order a pickup order. Called around 8pm at night and they said it would be 15-20mins till the food would be ready, not a problem. I arrived about 25 mins after calling to find out the food wasn't ready and it would be another 20-30mins till it was. I was informed they are busy with customers who are seated in the restaurant and they would get to my meal when they could. Excuse me? I'm pretty sure the money I have means and works the same as the money of those seated down inside the restaurant. I waited for my $20 Fettuccine Alfredo with chicken that I ordered. I asked if I could get a slice of cheesecake in addition to the meal and the employee's sarcastic response, ""You know you could have ordered the cheesecake when you ordered your meal but I guess we can just add it on?"" Pardon me, I'm sorry if it's such a huge inconvenience for you to do your job and cut me a slice of cheesecake and take my money. About an hour after I called in my order it was finally ready. Once I got back to my hotel I noticed that there was no bread included in the meal, which there always is, and there were 2, 2 whole pieces of chicken on my entire dish that I paid $20 for! Between the horrible customer service, over priced dish, and the food that doesn't come how it should, I'm over this place!",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Diva J.,"Atlantic City, NJ",0,33,69,2.0,9/4/2017,"We decided to stop here for Sunday Brunch. Sadly silverware was dirty. Asked for different and dirty yet again. Spoon was dirty. Mug with water was dirty. I think the issue is the dishwasher. Or the fact that no one checks after it's ""cleaned"". Everyone enjoyed their food. Although, we are not sure if it hit the floor or GOD's know where. Nice size portions for the money. Just make sure you check your silverware before eating here.",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Joe M.,"Boca Raton, FL",128,488,26,4.0,12/29/2016,I generally avoid chain restaurants like the plague. Went because we were armed with gift cards. Twenty minute wait at 8:30 on a Tuesday night during Christmas break. Nice bar area to wait until we were called. My Old Fashioned was a bit on the sweet side but otherwise solid. Server was pleasant and knew the extensive menu. Always concerned about a menu which is too extensive. Had the guacamole dip and chips as well as edaname for apps. Guac was fantastic Decided on a chicken cutlet  entrée for my main and it was outstanding. Three large pieces of lightly breaded chicken with smashed potatoes and asparagus. So much that I gave one cutlet to my son. .,https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Argelia M.,"Hialeah, FL",99,150,419,4.0,6/24/2016,"I'm not a big fan of CF only because everything is so delicious, but crazy high in calories! I have eaten at CF many times and I've never had any issues with their food or service.  Today I decided to try the Mexican Chicken Lettuce Wrap Tacos (3 per order) and they were yummy. At only 250 calories (bonus) the chicken is topped with veggies, avocado, roasted corn salsa and a creamy sauce. They include a side of salsa if you need additional dressing.  I also tried the Fresh Basil, Tomato and Cheese Flatbread (330 calories). This was surprisingly delicious and the bread held up very well. The taste was on point and I was happy to have made a small dent of 580 calories to my day. Side Note:: this order was placed for delivery so I can't review the service at this location.",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Sueheidi G.,"Fort Lauderdale, FL",0,4,,3.0,10/26/2017,"We went there in October 25, 2017 at 6:00pm. The host Jeanette (or Ginette) was terrible. We asked for an outside table and the host, without saying anything and without even smiling. We have two strollers and she didn't even hold the door for us when we were following her to our table. On the other hand, our waitress Kaleigh, was very very nice. She was always asking if everything was ok and even talk with our kids. She was amazing and the food was good. As a suggestion, I will change the host since she is the ""face"" of the restaurant. She was so rude that we even think on going to another restaurant.",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Karen W.,"Royal Oak, MI",124,526,591,4.0,3/13/2016,"Stopped in for dinner with my friend and we grabbed a table outside.  I was pleasantly surprised that the menu indicates which items are gluten free and they have plenty of options!  We decided to share some items, the beet salad, Evelyn's favorite pasta and of course cheesecake! The beet salad was excellent and nice and light. The pasta was also light as it was just an olive oil sauce with gluten free pasta, eggplant, broccoli, peppers and sundried to tomatoes. It was absolutely delicious. We ended with the Godiva cheesecake and holy hell was that divine. Talk about an amazing meal, and from a chain restaurant!  The only thing that could have used some improvement was speed. It took about 15 mins to get out drinks, the salad was out before the drinks  and our server disappeared and took awhile to get us out check. Otherwise, great experience.",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
Ron H.,"FL, FL",109,1,7,1.0,10/10/2017,"The waitress never gave me the bread, my lettuce chicken tacos had a hair and the waitress just take out, never a apologize, never a manager, I paid the bill like normal and also I went to the restroom before leaving and a employee put the apron on the floor while he pee, I feel really bad about this experience",https://www.yelp.com/biz/the-cheesecake-factory-fort-lauderdale?start=20
