Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Liz T.,"San Francisco, CA",1349,527,368,4.0,4/20/2008,"Avoid it like the plague on Friday/Saturday nights unless you eat dinner at 4PM--the long wait can reach ridiculousness (i.e. 2 hours). I come for lunch because my fuse is too short for the line and the lunch specials are perfect in portion and price. The Avocado Eggrolls and the Spicy Ahi Tempura Rolls (make sure to tell the server you don't like your fish overcooked) are just deelish. It's bizarre for me to rave about Asian-inspired food at chain restaurants, but these are rare cases. And I don't care if this place is a chain, I can't afford to eat at Alan Wong's all the time. The dish I order on every visit is the Pasta Da Vinci (sauteed chicken, shittake mushrooms, caramelized onions, Madeira wine, penne pasta). It's FAMAZING! I try to bypass the cheesecake. Like Prince William they're rich and delicious, but they're around 1,000 calories per SLICE! I don't know about you, but I rather have 4 Subway sandwiches. Who needs dessert when the waiters are so sweet-looking anyway? I swear, Abercrombie models moonlight as Cheesecake Factory servers or something.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Monique C.,"Waikapu, HI",23,94,7,2.0,9/14/2010,"Woah...crowded!  Sad, i learned they don't make the cheesecake there.  It's frozen and shipped in...whatever I don't need it anyways.. :)  Their menu is like a book, so many things to order.  I don't know, I think this place def does not live up to the hype or name.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Allen S.,"Honolulu, HI",0,6,,4.0,1/19/2014,"After watching the big bang theory I did not know what to expect.  WOW great big portion and really good. I had pulled pork sandwich, it was huge.  I could not eat everything.  (honestly the pulled pork is better at a resturant called Ilikai bar and Grill check my review for there) but generally was really good.  Yes the cheesecake was $7.50  but it was a big piece and excellent.  The price of the meal,  beer and cheesecake still so reasonable.   loved it.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Angry K.,"San Jose, CA",122,66,,2.0,3/4/2009,"Tips for you - ONLY go to Cheesecake Factory to have the cheesecake, and get take out if you can. That would be the only reason that you could like the place. Why do so many people wait to get into this place, when the average wait is 45-60 minutes? I don't understand it. I know it's a Hawaii thing to hype up places that we didn't have here before but the mainland does, but come on! The food sucks. Sorry to say that. I've had multiple meals there - chicken chops or something? That are supposed to be like pork chops? Dry. Disgusting.  Salads? Overpriced for what you get. Other food I have gotten there is forgettable. And completely overpriced for the quality of food. You can get better food at the food court at Ala Moana, and spend only about 1/3. Service? Meh. Seriously, sometimes the waiters don't even come back to check on you and see ""how things are"". I think that's a pretty standard thing, don't you? I don't care if you're busy, come back and check on me if you want a decent tip! Cheesecake of course is great, but that is the only redeeming quality.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Mari V.,"Honolulu, HI",57,29,4,4.0,2/9/2011,"LOVE LOVE LOVE!!!!! the cheesecake (red velvet, reeses pb) and everything else.  i have eaten here numerous of times and theres just one thing that bothers me...... tooooo crowded! maybe if there was a second restaurant else where, it would help with all the crowd.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Kristen C.,"Waipahu, HI",77,630,197,5.0,3/30/2010,"Came here for the second time to actually dine in, as the only other times i've came were solely to get cheesecake at the counter.  The first time i came was a LONG while back and I got the Cuban sandwich and that was pretty good.  This time I came with a friend and we got there at 11a and the place wasnt crowded and we even got to sit outside.  Going in I already knew what I wanted and so I got the chicken madiera.  Thats supposed to be really popular so i wanted to give it a try.  I decided to share with my friend because we knew the portions would be big.  We also decided to get an appetizers so i suggested the fried mac and cheese since I always wanted to try that ever since I saw Paula Deen making it on the foodnetwork. =P.   After placing our order, our waters and house bread came a little after.  It came with half a loaf of each, sour dough and rye, sort of like the ones from outback.  Anyway, the bread was good as usual and it also came out warm and crispy and soft in the inside.  When our app finally came, I was excited to dig in because it looked really good.  The coating was really crisp and appeared to be panko.  The inside was really gooey and cheesy, mostly cheese and little noodles but it was gooood.  when our entree came It came with 3 huge scoops of mashed potatoes and 3 pieces of chicken topped with mozzarella cheese with 4 asparagus spears and mushrooms all over all sitting on the madiera sauce.  After my first bit it was mmm good.  The sauce was delicious and the potatoes were even better.  It had a good creamy taste with chunks of potatoes and potato skins, it also had black pepper already mixed it.  These potatoes were just so good that I could have eaten it on its own =P.  Finally, for dessert, even though I was so full, I just had to get some cheesecake.  I chose the carrot cake cheesecake because I also in the mood for some cake and thought it would balance out with the richness of the cheesecake.  Boy was I glad we got that because it was really good.  The cake had pieces of walnuts, pineapple, and raisins, ad came topped with a cream cheese frosting that was really good but a bit sweet.  Overall, the price to portion ratio is just right and quite worth it.  you also get free validated parking so you cant beat that either.  The service was pretty good too so cant wait to go back!",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
James L.,"Cupertino, CA",4,52,6,4.0,1/25/2009,"The food is great at affordable restaurant prices. Waiting for the food takes a bit of time, but not too long. Considering how popular and huge this place is, it's amazing how they are able to keep everything coordinated. The only downside is the wait to get into the restaurant. Depending on the time and the day, you could be waiting at least a hour.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Christina P.,"Waikiki, Honolulu, HI",0,2,,4.0,9/24/2013,Service was awesome.. Chris did a great job and knew about all of the drinks that we asked about. The barback was great too. Very friendly. Will definitely go back... Only downfall is no happy hour!,https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Gunjan K.,"Irvine, CA",0,25,3,5.0,9/21/2011,"We were there for 4 days and dined in for three times!  Price/Quantity/Quality : Been to other places in the area but this one was good, when you compare to price and the quality & quantity which is offered. Delicious food, whichever we ordered. Ambiance : The best seats are the one facing the street. No food is good until you eat in the ambiance you prefer. Full of people and lot of things going on, look around and easily accessible place. PS: If you looking for a place to relax and don't want to miss the streets of Honolulu, dine at evenings there. Service : All the three attendants were good, courteous and quick in their service. No complaints whatsoever. We recommend, a must-go place once for the prices in the restaurants in that area are on fire and this one suits your pockets, I can say that.",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
Roxanne H.,"Sydney, Australia",3,44,73,4.0,1/13/2013,"Well Folks over the many years that we have holidayed in Honolulu we have always managed to have at least one meal at this restaurant while we have been there. Yes it is predictable and yes it is very American but that is the thing that makes it a good place when you cannot be bothered going anywhere else, put your name down they give you the buzzer to tell you when your table is ready and you wander off . This was lunch on our first day in Waikiki, sleep deprived from the  long flight from Sydney and waiting for our room to be ready, what better way to fill in the time than to have a bite. But I write this to tell you that yes the food which as I said is predictable but it was the really great service that stood out that day. Natalie our waitress was what you wish every waitress to be,  so much so that my husband asked for the manager to tell him so, OK and yes the food was great especially after a night of airline economy class food.yes the servings are huge,  we always share.. but can I add that we visited three times this trip  and finally tried yes wait for it... cheesecake... the first time... so my all time favorite has to be   lime.... delicious and peanut butter cheesecake  again we all shared (three of us) very rich and no way I could have eaten any one of these by myself. Always reliable..when you are hungry..",https://www.yelp.com/biz/the-cheesecake-factory-honolulu?start=1340
