Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Lakeshia P.,"Antioch, Nashville, TN",0,4,,4.0,10/6/2017,"This place was awesome the triple plate, Southwest eggs rolls is very good and the waiter was excellent",https://www.yelp.com/biz/chilis-brentwood
Samuel E.,"Pleasant View, TN",16,120,1,1.0,10/19/2017,"I've been here a couple of times in past 6 weeks and off and on for years (due to request of clients and friends who aren't familiar with the area and it's close to the office). Always same problem, service is slow and awful, but at least friendly to the patrons but being very loud, trashy and mean to their fellow employees while on the floor...they, should really take that behavior to the back of the kitchen...also, good luck on not having to flag down multiple people to get a drink refill Food always comes out cold. Most recently my burger that I asked for extra rare was so unbelievably overcooked, I could only take two bites because it felt like chewing jerky....also, the amount of mustard they put on it accompsnied with the cheese being literally halfway off the burger made it clear they were screwing it up on purpose. Onion rings were mushy tasted like they had been fried, left out cold, fried again, left out cold again, then finally microwaved. Lastly, I like my food salty and could only have a small bite due to the ridiculous amount of salt that was on them.....awful service and food quality is par for course here.",https://www.yelp.com/biz/chilis-brentwood
Neema C.,"Nashville, TN",4,65,230,5.0,5/6/2017,"Highly recommend: bone in wings, loaded mashed potatoes, fajitas, nachos,  Not recommend: flavored ribs (no meat on it lol), steak (bland).",https://www.yelp.com/biz/chilis-brentwood
Carlin M.,"Nashville, TN",0,5,,2.0,9/12/2017,We went for late lunch on a Monday and we were one of three tables in the restaurant. Our server Lindsey was too busy chatting with her fellow servers beside the cash register to come and see if our table needed anything. I actually had to get up from the table twice in order to ask for more water and more salad dressing. By the time we were ready to leave we could not get Lindsay's attention so we were fortunate enough to get the attention of another server in order to be given our checks. After putting our money out we waited and waited and waited for Lindsay to come and pick up the checks and she never did. So we adjusted our payment so we could pay in cash and left. It took us over an hour and a half to eat a sandwich and a salad. Very disappointing.,https://www.yelp.com/biz/chilis-brentwood
Shaw V.,"Brentwood, TN",0,2,,1.0,12/9/2017,"I would rather try to find road kill or eat out of a trash can than go through that again!!! Worst customer service I've ever experienced!!!! No hostess on duty, loud obnoxious ride bartender that has no respect for people with children and ride to customers, waitresses that do not return to check on their customers!!!! I almost started to head to the kitchen to help mysef!!!! Fajitas came out and were not sizzling and veggies were barely cooked!!!! Do yourself a favor, stay away !!!!",https://www.yelp.com/biz/chilis-brentwood
Oscar H.,"Brentwood, TN",0,66,,3.0,10/19/2016,"My wife and I stopped by this Chili's yesterday for a late lunch. We haven't been to Chili's in years so we gave it a try I got the 10"" classic sirloin, the citrus-chile rice and the steamed broccoli. The steakwas cooked as I ordered is and the vegetables were OK. According to their Nutrition Chart, that only cost 560 calories. I'd rather have that than anything on their lo-cal ""Lighter Choices"" section. Looks like that Chili's will be our new family restaurant..",https://www.yelp.com/biz/chilis-brentwood
Daniel M.,"Bangor, ME",10,72,44,5.0,2/7/2017,Happy hour. Service was fast. The loaded boneless wings were just the type of comfort food needed for happy hour.,https://www.yelp.com/biz/chilis-brentwood
Jeff O.,"Franklin, TN",82,91,30,2.0,2/24/2017,"We went there, tonight, and were quickly reminded why we do not generally go to this location.  While the food was good, the service was not even mediocre.  I believe we sat for at least 10 minutes once we were seated before we finally flagged the host down to let him know our server had not come by for drinks.  That was pretty much how things went.  All three of us were empty for a while before we were able to find our server again and request refills on our drinks.  I am not sure if there is poor management in the front of the house, if our server was spread too thin, or ????  There are too many options for patrons to consider to provide such lackluster service. On the bright side, I did really enjoy the quesadilla explosion salad - the quesadilla, which I usually do not ever get one, had an extra sort of crispy / fried taste feel to it that let me know I was going to like this, but it was likely not even close to healthy, despite being served alongside a salad.  My wife really likes the shrimp tacos, too, which is one of her go-to dishes at Chili's.  I enjoyed the mango flavored tea, too!",https://www.yelp.com/biz/chilis-brentwood
Ginny M.,"Brentwood, TN",12,33,93,2.0,7/31/2017,"I go here often for a late lunch (maybe 1pm?) on my lunch ""hour."" They take way too long and are never staffed properly. Last time I came by myself I had to literally call the restaurant phone to get someone to come to the host stand after ten minutes. Just now I had a water in the bar area and waited 15 minutes for the bartender to take my order - so I left and wasted 30 minutes of my lunch hour. He should have more help for sure but he was making frozen drinks for people as soon as they ordered them and still never came to help me. I always go against my better judgement bc their food is good, but their service is just too poor. I won't be back -- and I work across the street so it's a shame.",https://www.yelp.com/biz/chilis-brentwood
Malynna K.,"Nashville, TN",98,89,223,4.0,12/7/2016,"Oh man, I hate to say this but chilis is my guilty pleasure. I come here for one thing, and one thing only. I rarely stray away from my typical order, which is the triple dipper. I ALWAYS get at least the southwestern egg rolls and boneless wings, and my third choice is sometimes random...usually between the spinach and artichoke dip or sliders. Another favorite of mine is the skillet queso and chips. Idk what it is about the southwestern egg rolls and skillet queso that keeps me coming back, but it's so good. Bottomless chips and salsa in the bar area is always a plus, too! I've never had too much of an issue with service, probably bc I come during slow hours (3pm-ish) and I sit in the bar area. Plus they have the handy pay at the table tablet where we can pay whenever we want. And you can't beat 2-4-1's!!",https://www.yelp.com/biz/chilis-brentwood
