Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Louis S.,"Clark, NJ",14,29,5,4.0,7/31/2016,I gave Chilis in Clark another shot. There seems to be some new management and new staff. The food was good. Ribs steak and salads all came out as ordered and fairly quickly. The condition of the restaurant has improved with tables and floors clean and maintained. A much better dining experience.,https://www.yelp.com/biz/chilis-clark-2?start=20
Bianca A.,"Elizabethport, NJ",50,65,105,5.0,4/17/2015,First time at this location an their was just a 15 min wait but no biggie ...ordered some appetizers which cane out fast and the new Kiosk machine is great for games an u can pay ur bill on it an browse the menue as well ..waiter was very polite,https://www.yelp.com/biz/chilis-clark-2?start=20
Geff Y.,"Toulouse, France",5,38,4,3.0,6/14/2015,"Not bad, I mean it's chili's... prices ok staff very friendly (they brought us different types of beer to try...) food ok",https://www.yelp.com/biz/chilis-clark-2?start=20
Martine V.,"Newark, NJ",54,53,278,3.0,4/17/2015,"I came here to celebrate my friend's birthday. We went for Happy Hour. The location was right next to Barnes N Noble. It wasn't crowded when we got there so it was pretty quiet. We ordered some margaritas which were okay. They could have been stronger for the price they were charging. For appetizers, we ordered wings and sadly i found hair in my food. I had them take it back. The manager came by later to apologize. The rest of the food was good. It was okay, nothing special to rave about. As the evening progressed, it did start to get louder and more crowded. The waiter was okay, a bit hard to find at times but he was helpful, not as attentive as I would have liked. This place is a typical chain restaurant, so its a hit or miss when coming. Everything was overall just about average.",https://www.yelp.com/biz/chilis-clark-2?start=20
Deanna M.,"Clark, NJ",5,13,1,1.0,6/24/2015,"The waiter was either extremely new or socially awkward. He was short and barely let us get a word out and we had to say the order two or three times before he got it. He spoke to us while leaning over another table ! And when we asked for a refill on a drink he told us it would be a whole because he had to drop something off at the kitchen and then make the drink .  Once the chips came they were cold . And when my friend received her steak it was barely cooked. She asked for medium and it was PURPLE ! And my chicken was ice cold! We sent her food back, they brought her back the same steak and it was still purple ! When we complained our waiter asked if we just wanted to eat it anyway.. ABSOLUTELY HORRIBLE SERVICE ! I will not be going back",https://www.yelp.com/biz/chilis-clark-2?start=20
JD H.,"Edison, NJ",0,13,,3.0,5/21/2016,"Went there for dinner to take advantage of a triple reward points offer.  Management was clueless that it was going on.  Server didn't know if I would be credited triple reward point to my account either.  Despite the place being deserted, we were seated in a booth which had a 12"" tear in the seat cushion.  Common sense would be to seat customers in that booth last.  Guess common sense is less common than I thought.  Food was okay.",https://www.yelp.com/biz/chilis-clark-2?start=20
Meghan S.,"Elizabeth, NJ",13,57,34,4.0,11/2/2015,I have never been a fan of Chilis but I've been coming here quite often.. I usually come here to get their chocolate chip cookie skillet which is amazing. And they also have amazing chicken fingers. I really can't say anything about their food because the few times I came here I got chicken fingers. The wings are really good. Their steak taste like a normal steak nothing fancy. And the cookie skillet.. The service is ok. But the only thing I don't like is I went there once around 11 and I ordered fries and they were gross. They were closing in a few so they must of gave me the last of their fries before they change the oil the next day so I wouldn't come here late at night. I would come earlier so the food taste better.,https://www.yelp.com/biz/chilis-clark-2?start=20
Jeff T.,"Cranford, NJ",0,2,,3.0,4/17/2016,This place for me is 50/50. Sometimes I go and its great service and sometimes i go and i get the worlds worst sever. The food is consistent with most franchise restaurants. If you need a quick bite to eat its a OK choice,https://www.yelp.com/biz/chilis-clark-2?start=20
Liz J.,"Caldwell, NJ",220,162,110,3.0,11/27/2014,"I like this Chain. This was my first time at this particular location,  and it was ok.  The interior is definitely nicer than other locations I've been to. This one had more of a Sports Bar look.  I had a specialty magarita that was way too sweet,  but a good amount of alcohol.  I believe it was the pineapple,  and a berry magarita. I hope this isn't the taste of all of them...if so; someone could go into shock. Other than that my service was good, and my appetizer came out promptly.",https://www.yelp.com/biz/chilis-clark-2?start=20
Cathy M.,"Clark, NJ",6,14,3,1.0,7/31/2015,My husband and went here yesterday the girl took our order I told her we would start with spinach and artichoke dip and for lunch we would have flatbread for me husband ordered burger after a while the server brought out everything when I took her we ordered dip as appetizer she said no one told me and she is the one who took our order  I talked to manager told him what happened he did not even give us a free drink or dessert   I have been coming here from day one but will not return after this I feel they just do not care about customers Too bad,https://www.yelp.com/biz/chilis-clark-2?start=20
