Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Edward J.,"Alpharetta, GA",10,3,10,3.0,12/19/2017,Good food and service.  Server forgot my utensils but she was new as I was told. Nothing more to say but a typical Chilis  like most I visited. Only place to eat in town that I like to sit at bar and not be bothered.,https://www.yelp.com/biz/chilis-gainesville-4
Jordan S.,"Gainesville, GA",16,1,,1.0,12/3/2017,"My party waited an hour while there were several tables open that just needed to be cleaned.  My Skillet queso dip was cold and the salsa was hot, Ribs were dry and tasted old, Fried pickles were soggy, rice was cold and undercooked. Service was subpar. I will never eat at this Chili's again.",https://www.yelp.com/biz/chilis-gainesville-4
McKenna A.,"Dawsonville, GA",0,7,,4.0,7/25/2017,"I had a good experience at this restaurant. The service was friendly to us, the entrees came out quickly and were hot and prepared correctly. My only complaint would be that the first set of chips in the chips and salsa they gave us were cold.",https://www.yelp.com/biz/chilis-gainesville-4
Mary M.,"Gainesville, GA",0,29,9,4.0,6/11/2017,The buffalo chicken sandwich is delish paired with my favorite kettle black beans! Never a bad meal here. Dawn in the bar area is so great! Always a pleasure to go there and see her beautiful friendly smile!,https://www.yelp.com/biz/chilis-gainesville-4
Lynn F.,"Flowery Branch, GA",375,20,30,4.0,6/3/2017,Kevin our server was simply amazing. He was attentive and very helpful. Ask for him!.,https://www.yelp.com/biz/chilis-gainesville-4
Laura L.,"Gainesville, GA",19,12,,1.0,3/26/2017,"This is one of the worst service & food. We were there yesterday food was cold, no good, etc.etc.etc.  We have to ask for silverware and napkins and refills.  They brought my husband the wrong order. I don't think we are coming back again.",https://www.yelp.com/biz/chilis-gainesville-4
Melissa R.,"Braselton, GA",6,44,47,1.0,2/25/2017,"Absolutely not! HORRIBLE hostess situation. They DID NOT call our name, and did not text, but they took our name off the wait list stating they did. We were sitting in the waiting area! The LYING pissed me off. Then she sat me before I had a moment to grab husbands attention at the 2 top by the kitchen (where we overheard all kinds of snotty wait staff comments) when there was another 2 top away from the kitchen. The staff was not attentive or kind, didn't even pretend to be kind. They were PISSED to be busy. A waiter CHEWED on a pen he placed on my ticket to use and sign, and did not wipe a sauce bottle after dropping on the very DIRTY floor.",https://www.yelp.com/biz/chilis-gainesville-4
Jessica G.,"Cumming, GA",4,13,52,1.0,2/22/2017,"Worst service I've had in a while. Half way thru meal before drinks arrived. Was told they were out of margarita shakers. Funny bc table who was seated after us got their drinks first and they ordered same drinks. Had to get the host to bring napkins and flatware. After waiting for main meal, got raw chicken. Raw!! Saw server 1 time the entire evening. If I could give 0 stars I would",https://www.yelp.com/biz/chilis-gainesville-4
Natalie W.,"Alto, GA",9,155,160,4.0,5/22/2016,We walked in at 6pm on a Sunday. Were seated right away inside the bar. Quick & efficient service; they were even able to customize my Fresh Bowl for my vegetarian needs. The only reason I'm not giving 5 stars is because I except great service from a chain restaurant with an established reputation.,https://www.yelp.com/biz/chilis-gainesville-4
Jasmine H.,"Gainesville, GA",4,42,52,3.0,12/19/2015,"Only wanted 10 minutes on a Saturday night to be seated. Service was good, my food was so-so. I ordered the buffalo ranch chicken sandwich, which came out dry- almost as if it wasn't cooked to order. I enjoyed the corn on the cob. My boyfriend has the fajita skilled and it was 100x better than mine. It was sizzling with pico, sour cream, guacamole, tortillas and cheese on the side. We basically split his meal. Funny thing is, I was at the Hamilton Mill Chili's last weekend and the food was fabulous! I would come back because the service was good but would choose a different entree.",https://www.yelp.com/biz/chilis-gainesville-4
Peppermint L.,"Shenandoah, VA",17,133,54,4.0,9/23/2015,"I've been in here to eat a few times and have also ordered Chili's To Go. Their food is always very hot and flavorful and the portions are pretty large too. Every time I go here, the servers are always friendly and offer us refills. I usually get the Honey Chipotle Chicken Crispers or the Cajun Pasta. Both are good!",https://www.yelp.com/biz/chilis-gainesville-4
