Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Ann G.,"Wauconda, IL",0,14,,5.0,1/13/2018,"If I could give this place more stars I would, not only because my food was great, but the staff was too. My servers name was Jackie and she was so friendly and helpful when I was looking over the menu. When I first arrived this young girl with brown hair said welcome to chili's with what she calls ""jazz hands"" and it was so nice to see her enjoy her job. I cant remember her name but it was unique. I cant wait to come back!",https://www.yelp.com/biz/chilis-kildeer
Karyn S.,"Barrington, IL",26,146,12,2.0,5/27/2017,"Food is OK, it's Chili's. Didn't get carded this visit, despite being told ""they always card"" (neither of us got carded).  Just heard someone in the kitchen say loudly ""he's half black, so it's fine!"" and then laughter. I'm sitting here in stunned silence and trying to figure out if I want to keep eating or just take my food to go.  My dinner companion just came back from the bathroom and said 'I changed my mind about going to the bathroom', I asked why. He said 'well, it smells like sewer....'  So even though we've come in the past (we are never sure why...), I'm not sure we'll come back to this location. Whatever the comment in the kitchen meant, or was intended to be, it was said loudly by tables, and it feels incredibly inappropriate... I'm actively uncomfortable, and so annoyed that I'm sitting here at my table and writing this in an obvious way.",https://www.yelp.com/biz/chilis-kildeer
Patoots S.,"Mundelein, IL",0,19,,1.0,12/26/2017,"As I went onto Yelp, I noticed that it said the wait time is zero minutes. The wait time is zero minutes to sit down but to actually get somebody to come and acknowledge you or take your order is probably more like 20 minutes. I wouldn't exactly know because we had to go ask the hostess if we could get waited on. We placed our order at least 15 minutes ago and are still waiting for our food. after delivering our drinks I had to go out and get straws and now after getting our food finally delivered,my husband had to go and grab silverware himself, so the service is sub par.They get one star for being friendly and comping is chips and salsa. Wish we would have gone to Red Robin instead.",https://www.yelp.com/biz/chilis-kildeer
Jake M.,"Crystal Lake, IL",0,2,3,1.0,6/8/2017,"We walked to a table, dirty and sauce on it. Names written on the table. Dirty silverware. Food is a 2/5",https://www.yelp.com/biz/chilis-kildeer
Sal D.,"Wauconda, IL",0,6,4,1.0,6/1/2017,"Probably the worst service of any Chili's in 5 states that I've been to. No one at the front of restaurant to seat us at 1:30pm. We sat there and watched staff walk right by. We saw an empty booth and sat ourselves. We sat and waited again. I finally asked a server for drinks and she proceeded to say ""your server will be right there"" this after waiting for 15 min in our booth. Sam our server shows up with an attitude and I just no thank you and left. No way I'll spend money at a place like this. Never go there pls read other reviews regarding food poisoning.",https://www.yelp.com/biz/chilis-kildeer
Leslie J.,"Lake Zurich, IL",60,76,12,2.0,1/23/2017,"Ok, it Chilis, it's not the Ritz, I get it. But, it's a restaurant that has been around for a long time and under the circumstances I don't think it will be around much longer, this location anyway. To begin with, service was aweful! We were there ( 10 of us) at 6pm on a Sunday night, the place was DEAD! Why is a CHILIS dead at 6pm on a Sunday night?  You giys are going to have a very hard time getting the locals to come back when you have so much competition surrounding you. So, I'm going to make this fast/ easy. Ordered pink lemonade,  brought it to the table looked funny, wad told sorry the machine is broken. Never got more iced tea, was told sorry the machine is broken. Ordered a mushroom Swiss burger, brought cheddar, was told sorry, no cheddar oh and sorry, no mushrooms. Sent back 2 burgers TWICE not cooked properly. Oh, they also forgot to serve my moms salad after they delivered it wrong the first time. Water machine must have been broken too because we never got more. I DO NOT blame the server, I blame her lack of training,  that is not on her. I did speak to the manager Jaime and she was GREAT,  Chilis better get their act together because she can go anywhere,  she was that good. She was sent there 2 weeks ago to figure out why this location is such a disaster.  ( my words, not hers) I would have given 1 star but because of her I gave 2. Good luck Chilis, you are drowning quickly and I hope thete is a life raft in your midst.",https://www.yelp.com/biz/chilis-kildeer
D L.,"Arlington Heights, IL",0,4,1,3.0,9/18/2017,"The service was great but the water was not good, tasted funny.  The food okay, not bad but not great.",https://www.yelp.com/biz/chilis-kildeer
Don G.,"Lake Zurich, IL",0,9,,1.0,12/26/2016,"Very deceptive, just to get us in the door. Called ahead to get an estimate of how long the wait for a table would be (they do not take reservations here).  They told us that there is no wait for a table.  Drive over there with the family and upon arrival, am told the wait would be over an hour.  I get that the wait time is an estimate and the situation changes, but an hour? Of course I proceed to tease my wife for calling the wrong restaurant.  So, she pulls out here phone, calls the restaurant to ask how long for a table, and is once again told no wait!!!!!!! She confirms that she called the restaurant we are standing in waiting for a table.  She informs the person on the phone that we are at the restaurant waiting for a table.  The person on the phone had no shame whatsoever. With honesty like that, we then left and decided to wait for a table elsewhere.",https://www.yelp.com/biz/chilis-kildeer
Gina D.,"Palatine, IL",135,187,253,3.0,6/9/2016,"Decent.  I enjoyed the food but maybe overall average. The waitress go better as we ate, but started off rocky. We had the warm spinach Queso with chips and salsa. The shrimp/steak fatitjas and the cajuin chicken pasta. I got the tito punch cocktail and my mom ordered the blueberry margetrita.  I thought overall delicious and okay service. I'm surprised with everyone's bad ratings but it's also not the greatest. Though the closest Chilis to me and I would go again.",https://www.yelp.com/biz/chilis-kildeer
Heidi M.,"Lake Zurich, IL",6,12,,1.0,10/2/2016,Every time we order from here they screw it up.  This time they didnt give us tortillas with our fajitas.  I ordered mine without onions and they added at least a full onion.  I wish we could get fajitas somewhere else but the meat is good (when they put the correct amount in the order),https://www.yelp.com/biz/chilis-kildeer
Danny G.,"Buffalo Grove, IL",0,2,,1.0,10/5/2016,Do not come to this location they give very poor service. My buddy and I stepped away from the table for a few minutes and came back to a table that was half bused with other people's dishes on the table. They filled our beer halfway and said we should be happy with it. Not to mention the bartender practically threw the check at my friend. When we spoke to the manager she didn't care. I guess you will lose my business.,https://www.yelp.com/biz/chilis-kildeer
Mohammed D.,"Kildeer, IL",2,23,5,1.0,5/9/2016,My wife and I went there yesterday for Mother's Day dinner and now we're both sick. I don't know what they fed us and I cannot believe that Chili's has this level of quality of food. I will never go there again.,https://www.yelp.com/biz/chilis-kildeer
S K.,"Schaumburg, IL",0,6,,4.0,3/24/2017,Enjoy going with my family all the time and they have quite a few options to chose from.,https://www.yelp.com/biz/chilis-kildeer
Jennifer L.,"Buffalo Grove, IL",113,564,985,4.0,7/18/2015,"I've been to this location numerous times. It seems fairly consistent both with service as well as food!  It's in the shopping plaza across the street from Deer Park mall, in a stand-alone building. It's usually fairly busy. Seems fairly clean. Food is usually good and the waiters/waitresses are nice. I can't remember ever having a bad experience here.  They also do carry-out! So if you're in the mood for their food, or for something other than drive-thru's, order some carry out from Chili's! They have curb-side parking so you can run right  in the side door to grab your food, and get out quickly.",https://www.yelp.com/biz/chilis-kildeer
Heather K.,"Evanston, IL",0,4,,4.0,12/11/2016,We always enjoy going with our family. They've done super accommodating allergy needs and it is clean. We have had friendly staff.  The two rated stars is not warranted.,https://www.yelp.com/biz/chilis-kildeer
Katie S.,"Rolling Meadows, IL",0,5,,4.0,11/6/2016,"4 stars solely because they made right with not putting my order in when I got food to-go. I got there and they didn't see my order in the system, then it turned out they never started making it. I had to wait about 15-20 mins, but they gave it to me for free, so I'm very happy with their customer service. They messed up two things on my order, but I'm not gonna complain over free food.",https://www.yelp.com/biz/chilis-kildeer
Raul V.,"New Rochelle, NY",0,4,,1.0,10/29/2016,"Terrible service. No HOST the waiters are completely incompetents. We ended up siting ourselves, no service for another 15 minutes",https://www.yelp.com/biz/chilis-kildeer
Akira S.,"Chicago, IL",4,60,213,1.0,8/30/2015,"With every year this place is going down with food quality. Today ribs were old and dry, it taste like 2 days leftovers, you don't do that in restaurant - sorry. The service lady was like on drugs, and when I asked if they have any IPA or ALE beer she said ""I never heard that"" hmmm maybe time to never came back to that place.",https://www.yelp.com/biz/chilis-kildeer
