Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Candice B.,"Wheatland, WY",1,9,,4.0,12/29/2014,"Great staff and great food!  My family went to dinner late, maybe 1 1/2 hours before closing. We were given the same great service had we been there for dinner rush. Our waiter was friendly, helped us with keeping our 1yr. Old happy. The food was wonderful, the kitchen made sure the quality was what they would like to eat. We never felt rushed, enjoyed our meal and drinks with three children. It was nice to see the staff not be in a hurry to get out of there that they would compromise the service!",https://www.yelp.com/biz/chilis-laramie
Connie C.,"Hesperia, CA",19,66,55,1.0,11/11/2017,"Well, great service till my old timer came out with cheese. I just can't catch a break. Not sure this place is worth the trouble. We came here due to long lines in down town. Food came out quick. Wrong but quick.... my Bf got the steak and shrimp fajitas and that is really 9 tiny shrimp and a tiny piece of meat cut into 9 tiny strips with a bunch of onions and bell peppers at best are warmed. Ugh how can you mess this up so bad? Just skip this place. Totally save the money and cook at home!",https://www.yelp.com/biz/chilis-laramie
Amy C.,"Lafayette, CO",114,3,1,1.0,9/22/2017,"Tried this Chilis on a Friday night for some drinks and dinner...table of 8...started out with great service and great drinks..had to send back our second round as it was undrinkable....after 50 minutes or so, our food came out cold...unfortunately there was also a hair in one of the entrees...please step it up Chilis!",https://www.yelp.com/biz/chilis-laramie
Kerry S.,"Laramie, WY",28,1,,1.0,8/10/2017,"We were giving Chilis another chance. Fool me once shame on you, fool me twice shame on me. Won't happen again. We normally spend around $70 anytime the 5 of us go to dinner & that is without tip. The food is good, just like any chain. Just like most of the other posts we have read the service is horrendous. We weren't tucked away in the back, we were at a large 6 top at the front of the restaurant where we watched 7 different waiters/waitresses stand around, talk, look at their phone, anything but come & see what we would like to drink. As we were leaving they meekly apologized. DON'T GO THERE. When you go out to dinner you pay for an experience & good food. Give your money to an establishment that takes care you. And to top it off we drove from outside of Laramie to eat there because the kids love it, very unfortunate this had to happen again!",https://www.yelp.com/biz/chilis-laramie
Susan C.,"Placentia, CA",8,3,,1.0,5/1/2017,"Horrible!  Came for lunch.  Not busy at all. Absolutely NO ONE could take the time to even seat 5 of us!  Very sad situation  hate giving a bad review but after waiting for 30 minutes, we gave up and left!!!",https://www.yelp.com/biz/chilis-laramie
Stephanie S.,"Bend, OR",0,27,9,4.0,5/18/2017,"Great lunch, excellent service, good prices, clean establishment. We came here for lunch during a freak storm (stuck in Laramie for a couple of days until I80 opens again). Our server, Rachel was friendly, courteous and very attentive. Our food came out within 7 minutes which was awesome because we had our hungry lil toddler with us. The food was better than I expected. Also everyone working here seemed super friendly wish I could say that about the customers (the women who was upset she was waiting 20 minutes before anyone came and proceeded to make a nasty remark about the girls working here only having a 2.0 GPA. Btw she and her friend came in after us and was waiting only 9 minutes not 20. Sad my hungry 2 1/2 year old has better manners and patience than most adults these days. Lady learn to calm down and don't put people down...what kind of example are you setting?).",https://www.yelp.com/biz/chilis-laramie
Megan W.,"Laramie, WY",20,3,,1.0,8/24/2017,This is probably the worst restaurant in town. Never have I had a good meal there and the manager Andy is very rude to customers and his employees. I will never be returning to this location again unless something changes with the menu and the management.,https://www.yelp.com/biz/chilis-laramie
J A.,"Casper, WY",0,9,2,2.0,8/9/2017,"I gave Chili's another chance, unfortunately i must have given that 2nd Chance too soon!  No hostess still, waited 5 min to even be acknowledged by any staff, while several walked past. 2 of them were on their phones in the bar area.  Once seated we noticed the floors were not clean and a little sticky right in front of our table, as well as our table had sticky spots. I told the waitress and she seemed a little annoyed having to wipe the table.  When she came back 10min later, she was friendly and attempted to answer my questions about the 3 course meal deal.  The waitress although her attitude was improved she obviously didn't understand the concept of courses, 2 of the courses were served together and then forgot about the 3rd course twice!  We ended up getting the desert course to go because we had been there already close to 2 hours.   The only improvements that seemed to be made was in the bar and kitchen. My cocktail was great and husbands beer was ice cold.  The food was a delight, exactly what you expect from any Chili's location.  I hope that management is able to correct the rest of the issues, however i will not be going back.",https://www.yelp.com/biz/chilis-laramie
Cody W.,"Sheridan, WY",1,10,,2.0,3/11/2016,"Get your happy hour facts straight, please. Signs say 4-7, yet I am told that happy hour only lasts until 6. ??? Okay then. Also, who doesn't have piña coladas? I mean, what is this Canada?? Anyhow, service was splendid, but restaurant chain was not. I will be taking my business to Applebee's from now on. Tata chile P.S. CHILE'S SUCKS MAJOR NUTS",https://www.yelp.com/biz/chilis-laramie
Steve E.,"Fairbanks, AK",0,13,1,5.0,6/7/2016,"My steak looked exactly like the picture on the menu.  The chef delivered it on a ""crackling"" hot pan. He asked me to cut it open to see if it was cooked to my satisfaction. It was perfect. I'm impressed.  Kassidy took good care of me at the bar. Super service and great desert recommendation. I'll be back.",https://www.yelp.com/biz/chilis-laramie
