Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Cathy L.,"Garland, TX",91,3,,5.0,10/22/2017,"For the past year or so, hubby and I have patronized this particular Chili's on Saturday afternoons 3 out of four Saturdays per month.  The food is great and we always sit in Davids section.  He brings our chips, salsa, salads and drinks to us sometimes before we even get seated.  He is an azing waiter.  Ann and Nicole are amazing bartenders and Ira is also amazing.  Great staff, great food and kudos to the cooks for putting out such great food.",https://www.yelp.com/biz/chilis-rowlett
Nhu N.,"Dallas, TX",2,8,9,1.0,1/14/2018,"Bad service. I can't speak for every waiter at this location but the two that ""took our orders"" were very pushy and rude when they took out order. Came in with a group of 5. We sat in the bar area and that's fine. As far as the food, not so good. Steak did not cook as ordered. Couple dishes came with fries but did not bring em to us til the check came and she did no bring sweet tea we asked for.. not again at this location.",https://www.yelp.com/biz/chilis-rowlett
Amy H.,"Garland, TX",11,2,,1.0,11/3/2017,Chicken was raw in appetizer..had to send back...got smokehouse combo ribs chicken sausage... It was cold.sausage was ice cold ... Double charged us for appetizer...no one seemed to know anything...we will not be back..as i sit here typing this in the restaurant while manager tries to fux the check.....,https://www.yelp.com/biz/chilis-rowlett
Emily J.,"Dallas, TX",31,93,2,5.0,4/9/2017,"First time here we were very unhappy with the food. We gave it another try due to wait times in the area.  Very pleasant experience.  Service was quicker.  Waitress was very friendly.  The food was great. So we gave this location another shot a couple weeks ago. Again, we had an attentive waiter with a great personality. Very happy with the food. We will go back.",https://www.yelp.com/biz/chilis-rowlett
Erin F.,"Irving, TX",2,19,5,5.0,3/17/2017,"I mean, it's chili's, but the food is fresh and hot, and the waitstaff is great!! We had Ira and Dakota and are loving them! They made this such a great experience.  Also, my husband just spilled his entire beer on me, and they were all beyond nice about it and even comped another beer!",https://www.yelp.com/biz/chilis-rowlett
Dan A.,"Rowlett, TX",0,3,,4.0,10/8/2017,This is one of the most friendly Chili's around.  TJ our waitress was awesome. She was friendly and fast and kept our tea glass full at all times. We loved the Texas ribs and the chipotle ranch chicken salad that we had. Both of it tastes just right. We'll be back to try more from the new menu that just came out.,https://www.yelp.com/biz/chilis-rowlett
Stefanie L.,"Dallas, TX",2445,953,1686,3.0,2/4/2015,"This is an average Chili's. The place never seems clean, tables are always dirty and service is always very slow. We've made it a habit of sitting in the bar area now as opposed to the regular dining area. The main bartender is very friendly and sometimes gets food out in a decent amount of time. The food is ok here. More often than not the food comes out overly hot or dried out like it's been sitting under a heat lamp too long. It's edible but definitely not great.  We mainly come here because it's close to the softball fields my boyfriends team plays at and it's a place to watch TV and kill time between games. If you're looking for average food, average to poor service and plenty of tv's this is the place for you!",https://www.yelp.com/biz/chilis-rowlett
Lisa S.,"Garland, TX",5,25,2,1.0,3/18/2017,"Manager needs to get a clue!!! We've been here several times in the last 6-8 months, but only because we have been temporarily displaced due to a house fire in August 2016.  We usually frequent the one off of 30 and Broadway/Beltline that's closer to our real home.  This one in Rowlett, where we are staying temporarily, has deplorable service, and I'm being nice.  Employees are not knowledgeable about the menu and have poor customer service skills.  Our waitress had a black eye and was talking to customers about how drunk she was and doesn't remember how she got the black eye the night before.  TMI. I don't care as long as I get good service (which I did not) and decent food, which again, I did not.  The steak was not cooked as ordered and it only came with 5 tiny grilled tomatoes and asparagus was overdone.  The steak itself was more medium to medium well instead of medium rare like I prefer.  I can forgive the steak doneness since I know it's difficult to get it right but poor service and sides are not forgivable.   Our home rebuild will be done in 2 weeks and then we can return to frequenting our regular Chilis at 30/Broadway.   It's interesting how different food quality and service is at same restaurant only 5 miles apart.",https://www.yelp.com/biz/chilis-rowlett
Mike F.,"Rowlett, TX",0,8,,1.0,8/27/2017,"Tonight we arrived with a party of 7. The hostesses told me it would be a 15 minute wait. I needed a table, we had 5 adults with 2 children.  The center section was completely full. It was obvious that the restaurant did not want to open another area. Wait staff was probably at the point of peak services. I understood, we were ok with it.  When we hit the 20 minute mark, the hostess tried to offer us a split booth. I felt they could have opened 1 table to accommodate us, instead of splitting us up.  So, we left. To the management, we went down the road. That tab was $80 dollars plus. We like Chilis, but I am not going back to The Rowlett location again. To your upper management, Rowlett is growing and there are many restaurants competing for our dining dollars. I spent $130 just this weekend on dining out in Rowlett. I am done.",https://www.yelp.com/biz/chilis-rowlett
Gayle J.,"Garland, TX",11,21,2,4.0,1/9/2017,We sat and watched people being served who had sat after us. 10 minutes in a not busy time. The service is horrible. Many tables not bussed and a manager that is clueless. Walked out. No one cared.  Gave them a second try on 1/9/17. Had much better service in the bar area. Matthew E. was fantastic!!  He was personable and had a wonderful sense of humor. Very attentive and just a great server.  We tried to fill out the Survey on the kiosk thingy but it wouldn't let us. The other couple with us couldn't either.,https://www.yelp.com/biz/chilis-rowlett
