Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Jon M.,"Murrieta, CA",0,12,,5.0,9/18/2017,"I'll be honest I'm generally not like oh let's go to chili's but I went for lunch today and the service was great. While we were shooting the breeze with our server she had keyed in our drinks on her tablet and they got delivered before we completed the order. We both had the lunch fajitas, just the right size portion.  Service was great and we didn't need to hit the refill button on the table tablet.",https://www.yelp.com/biz/chilis-temecula?start=20
Rodney Y.,"San Diego, CA",67,4,,3.0,5/4/2017,"The service is superb she is always on top of her game, and ensuring if were okay. The sanitation of the restaurant is excellent, but could use a little cleaning but overall it's a clean restaurant just do a touch up on areas. The bathroom was clean. When it comes to The food the mash potatoes need more butter, the steak was good around the edges, but burnt underneath the middle, and green beans need cut to bite size.",https://www.yelp.com/biz/chilis-temecula?start=20
Angela P.,"Moreno Valley, CA",0,165,117,3.0,7/31/2016,"Great service tonight.  Ivy kept the Drinks coming. Our food was hot, just not too flavorful.  Food: Burger was dry and gritty. Chips were undercooked. Three to eight tortillas deep fried together and not cooked in the middle--- gross. Our sweet server, Ivy brought us a new basket which were much better.  Our flatware was also dirty. Thankfully don't need any for a burger and fries.  Overall service is great; Food is not.",https://www.yelp.com/biz/chilis-temecula?start=20
A G.,"San Diego, CA",0,76,1,5.0,2/16/2017,"This is by far the best brunch for under $20.00  Four of us had brunch there and it was amazing. A large verity of food to chose from. You would think it might be slim for the price but that is further then the truth. Everything from eggs, bacon,sliced beef, eggs to order, chicken sliced, salads, dessert, etc.",https://www.yelp.com/biz/chilis-temecula?start=20
Jennie N.,"Winchester, CA",35,20,26,1.0,12/30/2016,"Highly disappointed.  Hubby got endless soup and salad.  They came back one time, fifteen minutes after my husband finished his plates.  They would not acknowledge our table.  They came back once to give us endless chips and salsa.  Waiting for them to come by after we were done eating, wanting boxes, we waited an additional 15 minutes.  As they kept going to nearby tables and ignoring us.  Finally my husband got up, walked over to the boxes and got his own.  Would have been nice had waitresses done their job.",https://www.yelp.com/biz/chilis-temecula?start=20
Brein B.,"West Bountiful, UT",9,10,1,5.0,2/8/2017,Super easy in and out for pickup orders. The girl who helped me was super nice and helpful. And let's talk about the chicken enchilata soup..... mmmmmmm.,https://www.yelp.com/biz/chilis-temecula?start=20
Z Z.,"Washington, DC",0,4,,1.0,6/21/2017,Came here with party of 8. Waited half an hour even though the place was half empty. Horrendous and lackluster service. It seems the servers here aren't either paid enough or just don't care. Very unorganized.,https://www.yelp.com/biz/chilis-temecula?start=20
Wesley W.,"Temecula, CA",10,27,5,2.0,3/6/2016,"The Atacama Desert in South America is considered to be the driest place on earth. Officially my mouth is now the driest place on earth. The oceans called they want their salt back. Chili's, turn down the volume of salt in the food, please! The menu at chili's is vast but so is the canyon of salt they use to cook with. I can go on and on all day about the level of salt in their food. Why do they need to make everything so salty? A hamburger is delicious on its own merits, is it not? A chicken breast sandwich with all the topics taste great, doesn't it? So why all the salt? I guess it is to mask the quality of the meat they use. I am not sure but what ever the reason please stop.  Let me try and get off the topic of overly salted food and get to something more important. Flimsy nacho chips! Why? Chips and Salsa are one of the best things Mexican culture has ever given us. It is an attack on their culture to create meager chips and watery salsa. Your guacamole should be given a name change and just be called ""Pale Green Stew"". I can't say everything is bad. The servers have always been helpful. Especially now that you can pay with the on table kiosk. The drinks are good, the kind with alcohol of course. If you need a cheap place to drink with some co-workers or a night out with the friends, this is a good spot. I would have given it one star but I do like the appetizer menu. Sometimes it is my entire meal. Unless I want to be an unwanted addition to the Macy's day parade this year, I will be avoiding Chili's. Sorry!",https://www.yelp.com/biz/chilis-temecula?start=20
Stacey B.,"Murrieta, CA",0,9,,2.0,1/12/2017,"I usually love Chili's food and they almost always have great service. This time was the exception. I went for lunch with a coworker on 1/10 at about 12:45. We sat at a 2 top booth in the bar. There were about 4 people sitting at the bar and 2 other 2 tops. Not busy. We were there at least 4 minutes before being greeted by the server. She was also the bartender, I have restaurant bar experience so I get that sometimes you get tied up. She finally said she would be right with us. Which was another 2 or 3 minutes. She finally came over to clean off the table and, instead of getting drink orders, walked away and cleaned another table. I should also mention she needs to learn the scoop and wipe trick on the tables if you have guests sitting at the table already. Luckily the table was clean or we would have crumbs in our laps. She finally took drink orders and, since we had so much time, we also knew our food order. We ordered the big mouth bites and quesadilla from what we thought was the $7 lunch menu. She brought the drinks and set them down without saying anything. When she came back I asked if she had a straw on her. She apparently mumbled something about it being in the little silverware packet, which I did not hear, and walked away. I repeated the question. She turned around and pointed at the packet with some serious snarky attitude. When the food arrived it was the full portion. We checked the bill and sure enough were charged for the regular menu price. We told her we thought we were ordering the lunch option. She says, ""well that comes with soup or salad and since you didn't say you wanted those things I assumed you wanted the regular option"". Listen, I don't work for Chili's. But she does. I don't know the menu without looking at it or without prompted questions. If someone is there during lunch and you have a lunch menu, wouldn't it be common courtesy to ask if they wanted the lunch or regular option? We only ate half of each anyway which is the lunch portion, cause that's all we wanted. So we asked her if it could be adjusted to the $7 price and she kind of just looked at it and said, ""well I can ask"" and stormed off then had someone else deliver the check. When she came back to get the plates I said thank you and she did not respond.  She just seemed annoyed the entire time. I didn't catch her name because she didn't care to offer it. She was kind of plain and had dark hair. I understand that we all have bad days but in the service industry, honey, you don't get to show it. A lot of times, your guests are there to escape their bad day. They don't need yours on top of it. On the plus, the food was good, which is why I gave the 2nd star.",https://www.yelp.com/biz/chilis-temecula?start=20
Patti S.,"Winchester, CA",0,3,1,5.0,3/16/2017,"Good food, fast service. Never had to wait for a table. A friend and I were talking about a sauce we didn't like. Guess someone heard us. The manager came over to see if she could get us something else.",https://www.yelp.com/biz/chilis-temecula?start=20
