Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Brad P.,"Chicago, IL",30,17,2,5.0,10/11/2017,"My truck broke done in Georgia and I stayed in a hotel for a few nights. I went to chili's to watch the Cubs gam, have a few drinks and some food. I had a blast there. The bartender was great and the drinks were awesome. I had the fajitas for dinner and it was really good. I definitely would be back here if I'm in Valdosta again.",https://www.yelp.com/biz/chilis-valdosta
Erik B.,"Valdosta, GA",0,2,,1.0,12/27/2017,"My family and I have gone to this Valdosta location ever since it opened. No longer! This last visit has ended my hopes that it could pull out of the downward spiral that is destroying a once enjoyable restaurant. I've noticed the decline starting two visits ago, but tonight was horrible!  It was prime dinner time, and only half full, so the wait staff/kitchen was not busy, and yet we waited 10 minutes to have our order taken.  When the food arrived, not everything showed. We asked the waitress for our salads, and she apologized and said she'd be right back...so we proceeded to eat chicken that was only breading, and vegetables that were not seasoned, and everything just thrown on a plate with no attempt at presentation! I've ordered basically the same meal at KFC for a third the cost, and it was amazing, and then there's this pitiful show...  As we were trying to make it to a movie, we went ahead and ate, and dealt with it. A non-professional manager walked by as we have a mouthful, taps the table with ""Y'all doing okay here? Good."" And keeps walking without waiting for an answer.  The waitress brings a drink refill, and I ask for our salads, and she acts surprised and goes back to get them.  We don't see her again, until I chase her down for a refill, and remind her that we still haven't gotten our salads. She comes back with drinks, and explains that the ""salad person"" forgot, but that it'd be just a minute... We finish eating ten minutes later, and there's still no sign of our waitress, so I try to find her to let her know to forget the salads, and just bring the check. We get a full cost check, and a non-concerned apology, and left with a set determination to never come back. I could understand/forgive the service, and quality of the food, if they had been swamped, and had made an effort to make things right.  But when you see staff hanging out, talking and joking, you know that it's just a lack of care for the customers.  I'm realistic, and understand that sometimes a member of the staff has a bad night...I don't flip out, and if it's a place I've had good experiences with in the past, I'll give them another chance. But when EVERY aspect of a visit is substandard; inattentive waitress, poor quality food/presentation, unprofessional/insincere manager, and a ""salad person"" who takes half an hour to make two side salads...never again.",https://www.yelp.com/biz/chilis-valdosta
Kevin Y.,"Flowery Branch, GA",207,458,966,4.0,6/4/2017,"First time to this Chilis in Valdosta as it was close to my daughters house and I was craving Chilis. Was pleasantly surprised. Good crowd, the bar wasn't very full so sat at the bar and got a cold beer while deciding what to get. Bartender was Christina who was attentive, great service and made me feel comfortable and welcome.  Decided on the Shrimp and chicken fajitas which came out relatively quick, hot and good flavor. Plenty of tortillas , had everything I needed for the entire meal.  Christina kept me with cold beer and the shrimp was good size an chicken was perfectly cooked. Watched a game while I ate and enjoyed it. For the area, Ill be back or get chilis to go which is often a great choice to get when you want to chill at home with the kids.",https://www.yelp.com/biz/chilis-valdosta
Elijah R.,"Valdosta, GA",80,15,9,4.0,7/28/2017,Excellent service!! Sheldy was very helpful. The food is good too! I got the slider hamburgers and they were delicious.,https://www.yelp.com/biz/chilis-valdosta
Tracy W.,"Greenwich, OH",10,74,42,2.0,5/9/2016,"Been to Chili's numerous times across the country. First time at this location in Valdosta.  Since it was a nice evening I sat outside on the patio. I was the only one out there so I immediately wondered how the service would be. I guess my hunch was correct. Took a while for the server to come just to take my drink order. They had a special on a half rack of ribs with house fries, salad, and chocolate molten desert all for $10.99. Too good to pass this up. I have had Chili's ribs before, and I must say these were not the best but just OK. The fries were good and fresh. Salad was good, but the ranch dressing was definitely water down. The mini chocolate molten cake was also just OK as I could tell it was just microwaved part of it was hot and part of it was cold. Each time the waiter brought out some of my food, he always apologize for the wait. Never did get a drink refill for my water. I travel quite a bit and I must say I usually stay away from chain restaurants just because I like the local places. Usually better food and better service at the local restaurants. Coming back to Chili's I was reminded of that. I'm staying in town for six days, and will not be back here.",https://www.yelp.com/biz/chilis-valdosta
Elle R.,"Tampa, FL",14,9,1,2.0,12/7/2016,Food was good but the service was terrible. Received only part of my order and never saw the waitress again the rest of the visit. Had to flag down another person for help.,https://www.yelp.com/biz/chilis-valdosta
Melissa P.,"Nashville, TN",101,8,,5.0,9/10/2016,"We stopped by on our way home to Nashville, and we enjoyed everything about our visit. Janna is an exceptional waitress! She is so kind, always smiling, and very attentive to our table. Thank you for the amazing customer service!",https://www.yelp.com/biz/chilis-valdosta
Lance B.,"Valdosta, GA",47,33,38,4.0,4/3/2016,Great for Saturday lunch. The southern smokehouse burger is delicious. I would highly recommend it!,https://www.yelp.com/biz/chilis-valdosta
Katy K.,"Wheatland, CA",0,7,,2.0,6/3/2016,"My husband and I travel all over the country, and Chili's is one of those restaurants that we frequently go to since it's usually pretty consistent. This one was below par, and I'll be looking for other ones in the area if I ever get another craving for Chilis. The queso dip is always our go to appetizer- but I'm not sure what it was that they gave us.. not queso, not appetizing. It tasted old and not anything close to what we were used to. My husband even made the comment that the salsa didn't taste right.  As for dinner I decided to try something I hadn't had before, the grilled chicken salad. It had potential to be good, if they weren't so proud of the dressing they put on it. One bite and the dressing was oozing out of my mouth and dripping back onto the plate.. no thank you.  I might as well add, there seemed to be drama among the wait-staff. It just made for an environment that we won't be coming back to.",https://www.yelp.com/biz/chilis-valdosta
Mishay A.,"Valdosta, GA",3,13,,5.0,4/2/2016,"I come to this location all the time. Probably too much but I love Chili's!! Usually, the service is pretty good. Very few mistakes and they always try to make it right. I'm that customer that's always making request and they always put up with me. Sarah was my waitress today and she was excellent and took care of everything. She was very friendly. I hope to get her again. As usual I will be back for my south western egg rolls!!!!!",https://www.yelp.com/biz/chilis-valdosta
