Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Kitty C.,"Brea, CA",0,89,192,4.0,1/3/2018,"Solid 4 stars for their friendly customer services and average food quality. We don't come often to this location  while there are many options within the shopping mall and the area.  For the convenience,  came by Sunday evening for a family dinner. Almost seated right away as they are cleaning up the table.  Again, friendliness customer service is the key! Though we have to flag for refills and food orders. Other than that, great place to go!",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Santos C.,"Monrovia, CA",0,1,,1.0,12/17/2017,We've been coming here for 20 yrs for the Chinese Chicken Salad. Just found out they removed it off their menu to add new ones. Sad to say today is our last time here,https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Eric P.,"South El Monte, CA",6,15,1,2.0,12/13/2017,"Been coming here since forever! Use to really love it here,  but I stopped by recently for dinner and lord have mercy on my soul !! Service was slow ! Had to wait a good while for a drink refill and the check! The food is solid, they got quite a selection of food. If you are looking just for pizza, I'd suggest blaze! It's cheaper + it bombb.  Atmosphere is amazing, but what's atmosphere if service ain't there ¯\_(ツ)_/¯.  2 stars for the Pizza and it's at the mall!",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Evelina C.,"Santa Monica, Los Angeles, CA",388,405,369,4.0,9/9/2017,"Don't think I've been in a California Pizza Kitchen in ages so I was game when my coworker recommended that we give this place a go!  We ordered the cauliflower bites, and the avocado egg rolls. Man were they delicious! So impressed by the cauliflower bites because I had no idea cauliflower could taste that good. Egg rolls were great as well with the dipping sauce.  I ordered the Sicilian pizza with the regular crust. It was our waiters recommendation and it was a solid 3/5 for me. I actually am an easy pizza girl and pizza Hut stuffed crust will do it for me any day!  But I was the most impressed by Jesus's service. He was so accommodating and made us feel great about our dining experience. Hats off to Jesus. We would probably come back just to have him take care of us",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Dunant H.,"San Gabriel, CA",384,133,206,3.0,7/17/2017,"This CPK is located inside of Santa Anita mall. For the most convenient parking, park outside of Macy's. CPK is located on the 2nd floor at the entrance of the ""inside"" mall right next to Macy's. The restaurant has been remodeled in recent years so it is nicer if you haven't been here in many years. I ordered a Thai chicken pizza and the pizza was just okay. Not horrible, but nothing I would want to order again. I have tried their buffalo chicken pizza at another location and would definitely recommend that one over the Thai chicken. I got my order to-go and the service was fine, the wait time was exactly what they said it would be, and they still include bread and olive oil which is nice. I won't be craving this anytime soon but if I were to ever come back, I would definitely give another dish a try.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Lyn N.,"West Covina, CA",231,123,198,2.0,5/12/2017,"Came here for my coworker's birthday lunch and it didn't look too busy.  We requested for a table for three and the hostess informed us that there would be a ten minute wait since they were short waiters and was waiting for one to come in. A ten minute wait didn't seem long until it became a 20 minute wait.  We looked around the restaurant and there were tons of empty tables. They should've scheduled enough waiters for a Friday lunch crowd.  Shortly after following up, the hostess seated us.  We ordered the following entrees: Kung Pao Pasta - Surprisingly tasty! If you like kung pao and pasta, definitely give it a try. You won't be disappointed. Chicken Tequila Fettucine - Never disappoints. I usually request for red pepper flakes and add it to the pasta for some kick. Garlic Fettucine: Love that it's garlicky, but could've worked on the flavor.  The portions were fairly small compared to the large portions they used to provide. I easily finished my pasta plate, whereas I used to be able to share it and still be full. And these weren't lunch portions. Oh, and I just checked my rewards and our server Kevin never inputted my code for points!",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Paul S.,"San Diego, CA",261,26,42,3.0,10/17/2017,"I like this place...their pizza and pasta are good. For dinner we ordered the BBQ chicken pizza, the works, chicken Alfredo and the jambalaya pasta.  The pizzas were good. The crust was crispy. Not Soggy from the sauce. Good amounts of cheese and toppings. Enough in each bite. I like the bbq sauce. Nice combination of sweet and smoky. The onions were a nice touch. And the chicken was nicely cooked. Not dry. As for the works (I apologize if it's not the name of it hehe) the toppings were fresh. The mushrooms weren't off color. The peppers and onions crispy. The pepperoni flavorful.  Pastas were cooked to a nice aldente. The Alfredo sauce was nice and creamy. Good amount of garlic mixed in. The jambalaya pasta had strong flavors. Not to much heat which was good. Sausages and other proteins were delicious.  Overall a good place to eat.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Deborah L.,"Rancho Palos Verdes, CA",3,47,170,3.0,9/16/2017,"Let me be clear. The food here tastes VERY GOOD. Cannot complain. Would give 5 stars if this review was just for the food.  On the other hand service and everything was just terrible. I dont know why maybe this mall has mostly chinese resturants like hai di lao, mei zhou dong po, ding tai fung places with really fast service that this places just seems soooooo slow but it does. I saw coming in there were plently of tables open however it took us 25 mins to get seated.  Our waiter was nice but i think i only saw her 3 times the whole entire time i was there.  The space is also very small and today there were a lot of big parties coming in and they were moving bunch of tables and chairs around and a hostess even hit me with a table she is moving which ruined my mood a bit. All the food was amazing however they forgot to put chicken on our chinese chicken salad which was really weird but they took it off our bill so i am fine with that.  Overall i will just come for the food but will not expect too much of anything else.  For the people coming to this mall i rather reccomend other chinese resturants here like ding tai fung!",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Mary H.,"Altadena, CA",455,160,457,3.0,4/10/2017,"My family and I have been to CPK many times. This one is located near Macy's at the Santa Anita mall. The food is generally pretty good but can be expensive depending on what you order. Also the service is definitely hit-or-miss. I got the shishito peppers to start, a new dish which was super yummy but a little expensive for what you get. I believe it was $8 for a small plate. Then I got the barbecue chicken pizza with bacon. This one is always a solid choice, though I really think it could use more chicken. There were only a few pieces on the whole pizza. It was mostly barbecue sauce. But it's a classic that everyone seems to enjoy. The main issue this time around was my dad ordered the five cheese and tomato pizza and my mom got a bowl of the pea soup. When the food came my dad asked for chili flakes and my mom asked for fresh ground pepper. They waited and waited for their condiments and they never came. I'd say it was about 15 minutes. My mom had to go ask our waitress, Sam, for the condiments because the food had gotten cold. A few minutes later Sam returned with a fresh bowl of soup for my mom and offered to box up the cold one for her. She also offered to heat up my dad's pizza. She was very friendly and kind, so this was a nice redemption to the service, but it still felt a little basic of a mistake to make. Condiments should come when the food comes out.  They have some other new menu items I'd wanna try next time, like a wild mushroom strozzapreti (rolled pasta dish). Overall, a decent experience but nothing to gush over.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Lina D.,"Los Angeles, CA",119,32,15,1.0,12/18/2017,"It's been over an hour and I still haven't receive my food. Worst place ever, plus the waiter never comes back to check on us. It's not that busy today where it is over packed. I don't understand why customers have to wait over an hour to get our food! Don't even bother coming here!",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
S D.,"Covina, CA",0,5,,1.0,12/16/2017,"If there was a lower rating than 1 that is what it would be.  Just went to have lunch. We specified a booth as we always do. We were waiting patiently. There 2 ladies that came in after use. They did not specify a booth as we did. But, seems like they did I know the server. I know this because I was shown the seating list. After asking why they gave them our booth. They were taken to their table, as they were being seated they realized there was a Booth being cleaned and told the servers they wanted that booth instead of the table.  My issue is this. We were next on the list and the server should not has seated them there just because they decided they wanted it. They did not specify a booth or wait extra time for the booth as I did. At this point I told the manager and managing partner Latricia.  I've been eating at this CPK for a long time. Spent hundreds of dollars there. Not anymore!!!!! I'm done",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Leonard A.,"Los Angeles, CA",743,301,3011,4.0,11/8/2016,"This once drab restaurant has been resurrected by an open space concept that has brought life back into the place.Alfresco dining but indoors,semi rustic meets artsy with a variety of new items on the menu one would not think to try.                               Let's start off with the pumpkin cheesecake.Yeah,I was really surprised to see this but I just had to try it.Ginger crumb crust with praline drizzle on the bottom with that nice creamy and smooth cheesecake on top,oh my.Next up I had the Brussels flatbread.Sweet caramelized onions,applewood smoked bacon with sprinkles of goat cheese,now that was a good starter.Now for the kicker,tacos at a pizza joint?,come on man who you foolin? Me cause these bad boys were served with chunks of heavenly avocado,cabbage and flame roasted salsa.Sorry for doubting you CPK. I have been here during the week and weekends and the friendly upbeat attitude didn't change so kudos to you CPK for the positive transformation.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Tammy W.,"Alhambra, CA",843,280,2196,4.0,11/15/2016,"I've come to this CPK so many times! They changed so much! Especially their interior and exterior, but it looks nicer now! Some of my favorites are: - california club pizza - pesto creme penne - chicken tequila fettuccine  Most of their pizzas are satisfying and yummy! CPK is a great place to catch up with friends and family! The ambiance is really casual and the servers are super friendly and nice! :)",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Jennifer W.,"Monrovia, CA",552,762,2384,4.0,11/11/2016,"Woah, California Pizza Kitchen inside the Santa Anita Mall had a major remodel! The open air (inside the mall) kind of helped open the space and make the restaurant feel more spacious. They did a great job to make it clean and modernized.  We haven't been to this CPK in a while, but last night we were celebrating the in-laws wedding anniversary and they wanted to come to CPK.   Sunny Side Up Pizza - 3/5 If you like breakfast foods, this is the pizza for you. They didn't really cut the slices evenly, but it was probably because they didn't want the sunny side eggs to get runny. The bacon and potato skins were crispy and delicious. If there was Tapatio, I think the fish would have been better.  Kung Pao Spaghetti - 3.5/5 We'd had this dish before and it's worth getting. The spaghetti was a little sweet and not too spicy, even had a hint of peanut butter to it. If you like Kung Pao Chicken, you will like this dish.  Spaghettini with Salmon - 3/5 When the dish came it smelled really fishy (total turn off). Once I tried a bit, the fishiness wasn't terrible, but the fish itself was on the oily and bland side.  Quinoa and Arugula Salad - 5/5  I liked this new dish the best, the toppings with the quinoa and arugula made the salad light and appetizing.  Overall the remodel makes CPK more appealing and especially when the restaurant isn't as crowded and loud.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Sarah C.,"Duarte, CA",14,154,346,3.0,7/5/2017,"Their food is ok. It's same as any other cpk. But the service here was slow and unpleasant. I probably won't go back. Even with the reservation, I had to wait 10 mins since our server wasn't there supposedly.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Victoria L.,"Temple City, CA",287,134,181,2.0,10/22/2017,"Came here for lunch and had to wait 10-15 minutes for a booth..even though there were a couple of empty table booths. Our server comes by to take our drink order then is no where to be found for a while when we were ready to order. Ordered the egg rolls, BBQ chicken pizza, chicken tequila fettuccine and strawberry Italian soda. The egg rolls were really good (even though I picked out the avocado), but for almost $12, 6 halves of egg rolls seemed a bit too pricey. It comes with ranch and ranchito dipping sauce, which was great for dipping. I didn't really like that there was lots of cheese and oil though. The BBQ chicken pizza was pretty good, but there was a bit too much BBQ sauce and not much chicken. The chicken tequila fettuccine had a kick of lime to it, which is pretty good if you like a light kick of sourness in your food. What I didn't like was that the portions were small for the fettuccine, but it is enough to make you feel bloated before even finishing it. I didn't like how it tasted really heavy and also disliked the bell peppers they put in there. For beverages, I ordered the strawberry Italian soda. What was weird was that there was a small amount of what seemed to be evaporated milk to pour in. I asked our server if I was supposed to pour it in with the soda and she said yes. The Italian soda tasted pretty good with the milk, but it just didn't feel too right doing that (soda with milk? Hmm..). It was good, but it didn't make me feel so good after. Overall, the food was somewhat decent. The server forgot to bring plates and utensils. She did come back to bring extra napkins and ask if I wanted a refill, but never asked how the food was. Ended up having to take the pizza and fettuccine togo. This place was pretty pricey for the quality of food, portion size and service you get.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
Julia H.,"Monterey Park, CA",208,127,156,4.0,12/10/2016,"I haven't stepped foot into this CPK since it's been remodeled, but came here last night for dinner. The last time I dined at CPK in West Covina (that location is now closed), I did not enjoy the food. However, the newly remodeled interior and updated menus are really good. I really like all of their new decor, and they also serve bread with olive oil now! (I asked for Balsamic Vinegar on the side) I really wanted a pasta and my boyfriend wanted a pizza, so we ordered both: the Jambalaya Fettuccine and Original BBQ Chicken Pizza. Both did not disappoint! They have a decent drink menu (wine, cocktails, and beer) and more pastas I want to try next time.",https://www.yelp.com/biz/california-pizza-kitchen-arcadia-2
