Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Marisa L.,"Arvada, CO",0,42,1,4.0,8/4/2017,I have always liked it here. No matter what location you go to the food is always consistent. It's a nice little place when you don't want fast food. It's quick convenient and it's good. And its great that they sell liqour. The staff is always friendly.,https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Terry G.,"Louisville, CO",363,286,441,2.0,8/19/2017,"I didn't want to join the throngs at the food court so I decided to try the California Pizza Kitchen. I was seated right away and the waitress was great.  I ordered a personal sized pepperoni pizza and a Caesar salad from the lunch menu. I think it was $ 10.95 for that combo which is a little high for what you get. I ordered water because their liquid menu items are way too high, I think a fountain Coke was $ 3.29. The pizza was just okay, the lettuce in the salad was wilted. This experience won't be repeated when I need to go to the mall again I will eat before I go.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Alice Q.,"Denver, CO",2579,1627,6823,2.0,7/15/2017,"The service is was fine and dandy. My boyfriend was craving pizza, but I had gotten full from the bad McDonald's from the early morning that day. Either way, we still intervened into lunch. We liked everyone, we liked our server Tina. The service is not my aim here, but the food (Other than the pizza) was questionable. Holy cow. I wanted something different, pizza was not on my mind. I wasn't interested in their flat breads, small plates, appetizers, but the poke bowls? We hardly even carry poke bowl restaurants in Denver, so I was incredibly shocked that California Pizza Kitchen even had it in its menu. But nonetheless, I was very excited too!!  Bring the Banh Mi Bowl on! Tina, our server, had described that the Banh Mi Poke Bowl was constantly ordered and very popular. I was definitely seeing my guy love his pizza, but my Banh Mi Poke Bowl looked like a very big, tossed salad with cold chicken, veggies, and not really anything else. A bit of ""poke"" (The seeds) but nothing else. I was wondering what was going on. I was trying to work with it, but I kinda gave up. I had a small cup of sauce and that did not even cover anything so I asked for two more little sauce cups. I flagged down Tina and asked for it to be sent back. I even had the manager (nice lady!) and Tina apologized and apologized and nothing could really make it better. I thanked them, I appreciated it. I did not crave it, I wanted something better.  My boyfriend definitely loved his pizza though. Nothing wrong with that!",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Douglas F.,"Tiburon, CA",688,451,294,3.0,1/8/2018,This is a good lunch option if your walking the mall and need a break from the shopping. The food is fine for lunch on the go. The service was friendly and the prices are fair. I'd stop by again at lunch time.,https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Jared M.,"Louisville, CO",0,1,,1.0,6/12/2017,"I have tried to eat here twice and the first time I visited they had horrible service. Me and my family waited about 30 minutes to get served and then we never saw are waited after we ordered our drinks, so we got up and left. The second time I whent here the service was still bad and there food made me sick for two days. I will never eat here again.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Sydney M.,"Burke, VA",7,6,,1.0,9/24/2017,"Terrible service, food took atleast 50 minuites, spilled my water and no one cleaned it up for a good 10 minuites, and even at that point I had to wait another 20 to get a refill on water! Forgot our appetizer, didn't have the soup we wanted and was told 30 minuites after we ordered, didn't give us silverware, felt ignored. Won't be back to this location.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
A Marie J.,"Broomfield, CO",635,228,158,4.0,4/7/2015,"I used to be a regular here until they changed the menu up. It never fails when I get a favorite item at a restaurant, it always gets deleted from the new menu.  Today I tried the Strawberry, Watermelon, and Feta salad. It was delicious. Very fresh and tasty. I also had a dessert for my birthday. The chocolate soufflé cake and it was very rich and delish. For a huge chain restaurant, CPK does very well at providing a great menu and awesome service.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Bella G.,"Broomfield, CO",0,34,1,5.0,5/11/2017,Have ordered most things on the menu here and they are all delicious.  The pizza is awesome and there are a lot of healthy items to choose from compared to years ago.  Eat here every time I am at the mall!,https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Kevin C.,"Indianapolis, IN",0,48,65,5.0,11/6/2015,My first time ever at this restaurant. I read other reviews but it's a shame that the few people that have a bad experience always review. But the many people that have a god or great experience often are too busy to give them 4 or 5 stars.  On a briskly busy Friday night I sat at the counter. I was immediately greeted by Destiny who gave friendly and attentive service.  I got the thin crust sausage and mushroom pizza. It was delivered in less than 10 minutes and was delicious. I asked for a taste of a beer on tap but ordered Coors light in a bottle instead.  Any downside? Just the wimpy parents too afraid to tell their toddler NOT to incessantly bang the fork in the plate like a drum. And scream with their outside voice instead of their inside voice.  I would come back.,https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Curlygirl A.,"Las Cruces, NM",1,5,,5.0,2/12/2017,"California pizza kitchen is our go to pizza place! Not only do they have a wide variety of pizza potions for decent prices their pasta is nearly as good if not better! We enjoy eating their because the service is great, food is amazing, and the atmosphere is very fun. If you have never been there make sure you try it! Personally I have never had an negative experience there!",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Phil G.,"Denver, CO",7,196,1,3.0,12/22/2016,"Way expensive for what you get. Waitress was not friendly, getting water and soda was a inconvenience. Pasta was way dry and pizza crust was burnt. Not good experience!",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Tiffani H.,"Denver, CO",137,264,483,2.0,12/8/2016,"Not super impressed with cpk like I used to be.  Maybe it's just this location but this is the second time in 3 weeks I have been here and both times walked out feeling like I overpaid fir the quality of food received.   Service was great but the pizza was not as good as I remembered it to be.   First it came out room temp and the crust was like eating cardboard.  Very little sauce on the pizza didn't help. We ended up with a $50 tab for two of us and walked out hungry. The good news is we grabbed our leftovers and gave them to some kids who wanted it with the disclaimer that it wasn't that great.  We did order the tortilla soup and I must say it was good. Not amazing but good.  Next time I'll go to P.F. Chang's, spend the same amount and walk out happy.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
kelly g.,"Denver, CO",10,13,7,2.0,7/24/2016,"I won't be back. We used to come in for the roasted veggie salad, it was delicious. It was such a huge disappointment!!! Maybe a quarter off the roasted vegetables that used to be in it and very dry salmon. Neither the manager and server were very much help in this matter.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Alexandria H.,"Milliken, CO",170,16,6,5.0,8/24/2016,Thank you so much Meredith! We appreciate your service. You're a great manager. CPK is our favorite so we appreciate you handling our issue. We'll be back!,https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Demitria M.,"Denver, CO",74,124,147,2.0,12/18/2015,"A friend and I were just recently shopping and wanted to stop in for a drink and bite. It wasn't very busy and we went to sit at a empty bar top. To my dismay the whole bar was covered in dirty plate that hadn't been cleared. We stoppee for a few minutes and waited for one of staff to clear something, but that didn't happen. After a few minutes someone cleared the dirty plates, but didn't whip anything down. When it finally came to order they were out of everything and made it clear they were shutting the oven down (30 mins prior to closing). Sucky experience, no plans on returning!",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Rachel S.,"Broomfield, CO",35,66,43,4.0,5/24/2015,"For chain food, I was impressed. The manager was working the floor, and by working, I mean working! He was charming, engaging, and constantly following up to be certain his guests were well taken care of. I've run restaurants and frankly, I was impressed. He asked how we were doing when we came in and I replied, OK. He responded, ""Just OK?"" I said, ""Yes but hopefully the dining experience with you guys will change all of that."" He took me up on my challenge seating us himself. We had our drink order taken and delivered promptly and help with the menu. Shortly after the drinks arrived, our manager arrived with a sample of the thyme gorgonzola focaccia - excellent btw...  Our pizzas arrived on time. The topping distribution was not bad although, an equal amount of each topping was definitely not available from each slice. On the flip-side, the pizza itself tasted great. We had the meat lovers on the thin crust with mushrooms. Most of the time I bring leftovers home and leave them to the kids. Today, I guarded them zealously! The place was reasonably clean given a lunch rush however, the bathrooms needed some work. There were used paper towels on the floor and the vanity needed to be wiped down. Aside from that though, they were clean - no grease creeping out from the corners.  All and all, good and I'll go back.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Brenda H.,"Bethesda, MD",2,60,3,5.0,5/7/2016,Great service!! We had 9 people and five pizzas and all was great. Loved Thai pizza!!! Great bread!!!!,https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Tryna R.,"Denver, CO",55,156,211,3.0,1/18/2015,"It was good and hit the spot for our group.  My niece was hoping for Chick-Fil-A, but this mall did't have one.  My nephew announced it was his new favorite place. I have always ordered a salad with the 2 soups in the same bowl or the thai chicken pizza. This time I saw the spicy chipolte chicken pizza, gluten free for an upcharge.  I was delicious and had these super thin, sprialized jalapenos in it. It was spicy and tasty and reheated awesome the next day. I kinda forgot how good this place is, the basic pizzas are $14 each which I think is pricey for lunch.  Our server was kind, but very forgetful,  My water glass was refilled only once and my niece's chocolate milk was never refilled after she requested one. We ended up sharing my water.  My nephew was not offered a refill of his shake or a water.  Other than the drinks, our visit was a-ok!  It is perfect when you are at the mall and need a quick bite.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Alex M.,"Louisville, CO",26,2,1,1.0,2/22/2016,"Ordered the four cheese ravioli. Surprise!!! Nothing like biting down on shards of glass! If something broke near the food you're preparing, make a new batch... Will not be eating here again.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
BD P.,"Chicago, IL",459,72,74,2.0,3/11/2014,"Review by B: Came here with my Aunt and Uncle.  They love this place for some reason. Service was good and our server was friendly.  Drinks were delicious. My uncle ordered the ravioli with no mushrooms - When it arrived the ravioli was covered in mushrooms. My aunt and I both ordered a tostada pizza (I requested chicken for mine) -  My aunt enjoyed her pizza but my was awful!  The chicken was undercooked, the pizza was covered in old chopped lettuce and was messiest pizza I have ever tried to eat.   Yuck!",https://www.yelp.com/biz/california-pizza-kitchen-broomfield
Erin J.,"Denver, CO",61,380,20,1.0,1/4/2010,"Everytime I eat at a CPK that's not in California, I'm more disappointed than the last time. Service was slow, the waitress ordered a pizza we didn't, we said we were splitting a salad and we had to plate it up ourselves at the table and on top of that, the portions were ridiculously small. I left the restaurant hungry and $25 lighter in my wallet.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield?start=40
Harry P.,"Boulder, CO",42,94,3,5.0,11/11/2011,"We're pretty much regulars here. Good food & great service. I've tried just about every salad on the menu and def miss the old steakhouse chopped but all in all I really can't complain. Oh, try the jambalaya pasta... it's awesome.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield?start=40
Blake H.,"Highlands Ranch, CO",0,46,24,1.0,12/23/2010,"Over priced and small portions in my opinion. I ordered off of the small plate menu thinking it would not be an over sized lunch like some places I have been. Got the Korean BBQ Steak Tacos because that sounded really good. There were 2 tacos on a small plate that were appetizer size at best, I almost told the waitress to just take them back (They actually make them look pretty big on their website, what a myth!). My wife and daughter got a good laugh out of it which did not make me any more happy. You would think the waitress would have mentioned the portion size since that was the only thing I ordered, but no. $5.99 for 2 tiny tacos. Thank goodness I got to finish off my wife's and daughter's salads. This is only the second time I have gone here, and the last! I did not have a good experience the first time but you know what they say, try try again? NOT!",https://www.yelp.com/biz/california-pizza-kitchen-broomfield?start=40
Keaton W.,"Denver, CO",2,34,16,2.0,5/1/2011,"I've ate at 3 other CPK locations in Colorado, they were great, this was my first time eating at this location, I got the Chipotle Chicken, just to spice things up a little bit, well this was a horrible choice, and it really wasn't that spicy. The pizza, and chicken are nice and hot, but they ad this COLD salsa right before they serve it to you, not very good at all. Next time I will order without if I were to order this pizza again, the service was quick, spinach artichoke dip was delicious as the appetizer, but the blue tortilia chips kind of sucked. But overall, my time here was ok, but maybe next time with a different pizza things will be fine.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield?start=40
Michelle M.,"Arvada, CO",0,3,2,5.0,12/6/2014,This is our second time  here and we had great experiences both time. Great service and great food. The thin crust artichoke spinach pizza is delicious!,https://www.yelp.com/biz/california-pizza-kitchen-broomfield?start=20
Ingrid S.,"Arvada, CO",47,177,69,3.0,5/10/2014,"Jourdan was our server she was very friendly and helpful and when I explained I had had gastric bypass she told me congrats and said I had guts for doing that, someone doesn't hear that everyday for just having a life changing surgery that changes there life forever. She was very helpful made different suggestions on what we should eat and what was good on the menu I would come back to the store but found out that she was moving to Grand Junction. I would have put 5 stars as the service was really good except the bathroom was disgusting and there was trash everything and pee on the seat, I don't know when it was last clean, that was a bit disappointing and when I meantoned it to someone else on California they seemed to not really care.",https://www.yelp.com/biz/california-pizza-kitchen-broomfield?start=20
