Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Steve D.,"Huntington Station, NY",137,35,25,5.0,7/11/2015,"Love this place,   Especially Walt Whitman.  Drew, Karin, Billy and the gang are always welcoming.  Love the plank salmon, tricolore salad pizza with a whole wheat crust and avacado. Avacado egg rolls, Cobb salad are winners too.",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Sandra H.,"Huntington Station, NY",0,6,1,1.0,1/31/2016,"Absolutely horrible service,  was very disappointed this time and will probably not return if Andrew is our server again....",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Claire K.,"San Diego, CA",183,155,120,1.0,1/1/2016,"We were the only ones in the entrance yesterday and every server (busy and not busy) just starred at us like we were suppose to seat ourselves? A busy waitress with a back brace put down her plates, made sure they had everything they needed then came over to us. Following her, finally the hostess (who was one that just starred) came and took over. Beverage from the waitress with the back brace (wish I knew her name) brought us our drinks fast but then we waited 45 mins for our food. Wasn't sure if bread or anything was suppose to come prior but nothing. Jambalaya pasta was far from al dente but pretty hard. Shrimp was cooked well but chicken was really dry. The carnitas pizza isn't something I'd get again. Overall, we won't be coming back here. That waitress with the back brace should go somewhere else and really shine for her awesome customer service.",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Patty G.,"Kendall Park, NJ",13,85,,2.0,12/30/2015,"My boyfriend and I came her for lunch the day after Christmas. Looking at the positive reviews I see many people are happy with this place.   It was just ok, the service was pretty good.  It was a little too noisy for me but that is the way the place is.   Booths are only for parties of 2 or more otherwise you sit at a banquette or table very close to others who can hear your conversation.  Booo.  Bathroom was very small.  Ick. We enjoyed the warm bread with olive oil, that was a nice touch. I ordered the Thai salad without meat/chicken and didn't realize that it had edamame which I can't have. I wasn't sure if I should send it back but I decide not to and remove it carefully. There must have been 20 pieces.  I don't think 20 pieces of edamame would be good for anyone but this is not a nutrition review or article about the Dark Side of Soy.  I see now on the menu it doesn't mention edamame , they should mention it on the menu.  It tasted ok, the peanuts and dressing were tasty.  My boyfriend enjoyed his turkey sandwich.  Coffee was good. Nothing very special, we won't be back anytime soon.",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Travis H.,"Shirley, NY",10,39,304,5.0,9/3/2013,"Waited 30 for my pizza i did not say anything but the manager came over with my food and said the pizza is on us. I got garlic chicken pizza and the bbq chicken salad split  both with gf. Both meals tasted great,the new crust really makes a difference. I will be back",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Logan G.,"Oakland Gardens, NY",2,93,14,5.0,11/21/2015,"Really good place to catch a bite to eat. The pizza is good. To be honest I always order from the Kids Menu, and even that is delicious.",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Richard B.,"Plainview, NY",8,159,57,2.0,11/19/2015,The fact is this.... It is ok if you stick to the basics. More sizzle than steak. Pizza is ok but the restaurant food will never satisfy. Feels like Applebee's quality across the board. I am not discounting the challenge the servers face being overworked but this reflects badly if your hungry. Slowwwwwwww service and the sales pitch about wine or appetizers is uncomfortable to listen to. Stick to selling pizza.,https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Jessica C.,"Huntington, NY",1,62,4,3.0,8/7/2015,"I've been to many California Pizza Kitchen's (CPK) and the food is good.  It's pretty much the same everywhere you go.  If this review were just about the food, I'd give it 5 stars for good taste and consistency of taste.  However, my three star review on CPK is SOLELY about the one in Huntington at Walt Whitman Mall.  If this isn't the location you're concerned about, disregard this review.  I've been to the Huntington CPK a few times now and it's so dirty.  When you walk up to the doors outside, their are hundreds and hundreds of hand prints all over the door.  When you actually walk in, you get hit with this repugnant odor.  I can't really describe it but it is terrible.  Maybe it's the carpet.  Whatever it is IT IS A TERRIBLE SMELL.  The bathrooms are terribly dirty.  I've been there at different times of the day and nothing changes the filthy bathrooms.  The overall feeling I get when I walk in here is that I need to immediately take a shower when I walk out.  This CPK is not welcoming, it's not comfortable.  The staff is not friendly either but I think the overall uncleanliness of this location is a bigger issue than unfriendly staff.  CPK has good food but it is ashamed that this location is so dirty.   Figure it out, CPK Huntington.  You're a gross place to eat.",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Brandon M.,"Plainview, NY",3,136,357,1.0,6/20/2015,"The food is ok, nothing special. The staff is not good but they are not rude. I was asking for an empty cup and they never gave it to me. I just don't understand how come they cant give me a cup and napkins. What's so hard about that I just don't understand. There is so many strange people coming to the place it's really scary. I would not come again. Also they are very stingy with the cups and napkins. Also you should know that lots of babies small and big come here and in my experience A baby threw a fork at me. I never saw so many rude babies in my life before. Do not come here. It's Pricing is also not good at all. This is cozi in form of a pizza. The pizza might be gold. This place and Cozi should team up and make a ""we buy gold"" store. Please do not come here.",https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
Randi G.,"Walnut Creek, CA",42,46,29,4.0,10/1/2015,Another great place by the Walt Whitman Mall.  Same issue as other eateries over there - the wait can be 20-40 minutes depending on the time of day and the crowds.  The food is consistent as well as the service. Love their thin crusted pizza and the artichoke dip as an appetizer.  Really great for kids.,https://www.yelp.com/biz/california-pizza-kitchen-huntington-station?start=40
