Username,location,friend_count,review_count,photo_count,rating,date,review,Url
S R.,"Folsom, CA",3,118,266,4.0,1/11/2018,GOOD AIRPORT FOOD. Unlike others that heat precooked meals -  This place actually cooks their food at the airport.  * Meditteranean omellete breakfast -  excellent. * Vegetarian spinach mushroom pizza - excellent * Caesar salad - excellent LACK OF CUSTOMER SERVICE. One young waitress with a huge  rear serving breakfast just walked off while I was still enquiring about an item on menu..,https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Corey W.,"Honolulu, HI",71,227,46,2.0,1/14/2018,"I generally like the California pizza kitchen they have decent food. The menu here is considerably smaller than a normal location. That was kind of disappointing. The real hit was the wait service. The waitress meant well but she really needs to be fired. Competence was a serious issue. Order was messed up. Of the three entrees we ordered (and the waitress wrote down on a notepad) only one of them made it to our table. The other was forgotten. When we mentioned it to the waitress she looked at her notepad and realized she had not properly put in our order. Additionally, while it was busy she moved very slow, had difficulty keeping up, and at a few points (like when we needed to request our check to get to our gate for our flight) was hard to find.",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Guy Y.,"Las Vegas, NV",1,36,11,1.0,12/19/2017,"Worse customer service ever. I fly a lot and also own a store in the airport.   I ordered a pizza to go, Had an emergency call to make that last almost 40 min. I came  back to the restaurant to pick up the pizza and asked them to heat for me, As I never opened it and never picked it up, And they said no. We are not allowed. Why don't you offer a new one then? Because it's my fault? What a good service you offer ? This restaurant is managed by the Hudson group who manage the restaurant in this airport. Worse bad service, Worse management.",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Trixie N.,"Las Vegas, NV",889,306,3131,3.0,12/2/2017,"I have only done this CPK in the early mornings when I drag myself into McCarran Airport, so breakfasts are all I can review on. I know there are other airport options but I have a thing about carrying my food to a table along with luggage. Something tragic will happen, I know it. So as for a sit down restaurant (besides Ruby's) in this terminal, this is it folks! I have always ordered the egg breakfast with toast, potatoes, sausage but I opt for egg whites instead. I am a Creature of habit. There is not much you can really do to mess up a breakfast like this or make it phenomenal since it is airport food.  Now, they do serve Bloody Mary's so that has been my deciding factor between CPK and Ruby's across the way! Just sayin...",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Gigi A.,"Manhattan, NY",127,821,4836,2.0,11/6/2017,"If you have to eat breakfast in this airport, this is more in the side of more reasonably priced, and I mean that relative to the airport. Three eggs, toast, bacon OR sausage and potatoes OR fruit will run you $9.79. It's not as ridiculously expensive as the airport could be. Same deal can be for two eggs ($9.29) or 1 egg ($8.79). I got three, fruit and I asked for potatoes instead of meat, which they accommodated.  The coffee, which I really needed after 5 days in Vegas, was terrible. It tasted like cigarette ashes. My mother in law got a HUGE bowl of fruit fruit salad as a side. They forgot to bring my fruit so a man, drinking a Red Bull, brought out the smallest bowl of fruit in his hand, no tray. He gripped it with his fingers along the lip, not from the bottom. It was so weird and gross. My mother in law said the fruit was fresh. It looked good - blueberries, cantaloupe, honeydew, a sliced strawberry.  Back to the breakfast special which comes with three  strips of bacon and a large serving of potato wedges. No one needs to eat that much for breakfast. But the portions are large, except for my tiny bowl of touched fruit.",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Patricia C.,"La Mirada, CA",63,357,370,3.0,12/7/2017,"My boyfriend and I were traveling to the other side of the country and we had a layover for a few hours. We wanted to sit down and have something to eat so we went to the newer section of the McCarran Airport in Las Vegas because this CPK seemed reasonable to comfortably take our time and eat lunch because it's the only large dine-in type restaurant in the airport.  It seemed they were understaffed when we went, so the service wasn't great, but I'm not upset about it because it was a holiday weekend and I'm not expecting excellent service at an airport anyways. Their menu is smaller than what you'd find at a typical CPK location but they have most of the popular items. We shared a Caesar salad and the BBQ Chicken Pizza. The portion sizes are also slightly smaller but it filled us up and we were happy with the meal.",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Cal H.,"Fort Belvoir, VA",119,149,142,2.0,11/16/2017,"I stopped in here on 10-28-2017 en route back to Virginia.  I like CPK and was hoping for the same quality of food as I get back home.  I ordered a pepperoni and sausage pizza and iced tea (with Splenda).  The place was pretty busy and there seemed to be only one server.  My expectations were immediately lowered.  My server was Kimberly.  She was polite.  It took a minute or two before she came to my table, which wasn't the worst thing since I was just trying to relax.  My pizza soon came out.  It was pizza, but it was lite on the toppings.  More sauce than pepperoni and sausage.  It was eatable.  I've learned not to send food back.  :)  She kept my drink replenished pretty good.  All I can say is ""this definitely was the airport.""  I might try it again the next time that I'm in Las Vegas, but it's not a ""must"" stopping place.",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Jessica W.,"San Clemente, CA",22,223,11,5.0,11/9/2017,"$5 shot wit a beer That Cesar salad - have no fear  Pepperoni pizza, the choice is clear  CPK is the airport restaurant of the year  ‍",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Howard S.,"The Colony, TX",13,358,440,4.0,11/5/2017,"My wife and I had an excellent breakfast here on a Sunday morning.  Rachel, our server, was truly excellent - an exceptional server.  They have a limited but good menu of omlettes, eggs, and a breakfast pizza.  My Mediterranean omelette was very good, as was my wife's eggs and bacon.  As mentioned service as well as the time to order and receive food was very good.  I'm not a regular to LAS Terminal 1, but I would return here for breakfast.",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
Krysten I.,"Honolulu, HI",624,1458,1938,2.0,9/14/2017,"This is not a real CPK. They have a limited menu, which includes breakfast, and you CANNOT earn pizza dough here! Boo. My BBQ chicken salad also tasted a little off.... Other than that, the service was speedy and the waitress was friendly enough. It's located in the D terminal, but there are plenty of other establishments to grab a bite and kill time.  They do offer the main things: spinach artichoke dip, pizza, BBQ chicken chopped salad. And, you can get all these favorites for breakfast!! There's nothing like gorging yourself on all the amazing food and drink Vegas has to offer and then eating a salad for breakfast at the airport. The only thing you can't get until normal lunch time is pasta. The breakfasts that I've never seen at any other cpk look good too. Prices are similar to what i pay at my local cpks (are they all the same?).",https://www.yelp.com/biz/california-pizza-kitchen-las-vegas-6
