Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Vivian L.,"Long Beach, CA",1,24,7,3.0,3/18/2017,"On Curbside Service NOT the food: So I've ordered multiple times and usually there aren't that many issues; however, today I was on hold for about 4-5 minutes just to order. They then tell me that the order will take 10-15 minutes, which is perfectly normal. I then call to say I'm on curbside 27 mins later and the order is still not ready. When I got the food the one entree was hot and everything else was a little cold.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Glen N.,"San Jose, CA",522,1305,1555,4.0,10/4/2015,"CPK is a dependable place to get a place at the ""bar"" with yummy pizzas (too small for two, gluttonous for one), full and half salads (I like the BBQ chicken without jicama) w/ seasonal menu changes (potato and fried egg pizza?), free hot fresh bread w/ crispy edge and herbed oil, friendly and attentive service (there's even a door opener), and a hella pour from a good wine selection.   They have a free membership so you can earn points: basically you get back $5 for every $100 you spend (or 5% back).  We got a small plate for signing up (a ho-hum asparagus salad: the white corn guacamole is great), and we took advantage of a $10 off $40 special. On the best night, it can be romantic, especially if you're sitting across the pizza oven which is like a fireplace (and a dinner show- these worker bees feel like a bad Circue di Soleil show and tge relentlessly busy pizza chefs are on point). On a bad night, it can be a Chuck E Cheese, especially if you have a distant, inconsiderate mom ignoring her curly-haired, idiotic butterball screaming at the top of his lungs.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Marie G.,"Belmont Shore, CA",28,15,,4.0,3/30/2017,"Without a doubt, CPK, is one of my favorite restaurants for a delicious, healthy salad!   In addition to the salads, my favorite CPK soup is the smashed pea and barley.  I do wish that CPK would bring back my all-time favorite soup.  I think it was an asparagus soup--soooo freakin' delicious.  I miss that soup so much!      This CPK location is my favorite because of one server, Amanda Jay.  Amanda is a very friendly, welcoming, easy-going, attentive, and courteous server.  Moreover, it helps that she is a long-time CPK server so she knows the menu inside and out.  I love that Amanda knows the menu and her job so well that she doesn't need to write down my order (or my husband's).   The only ding for me about CPK is the ""new look"" at all the locations.  I don't like the new seating, the new color combinations, or the ""feel"". I preferred the original seating as it was more comfortable and looked a lot nicer.  If it weren't for the new look, I'd definitely give CPK five stars.   And, oh, yes, the alcoholic drinks at CPK are the bomb!  I just wish that there were FREE refills (as with water and soft drinks) and that they cost a lot less!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Andrew P.,"Long Beach, CA",138,341,761,4.0,6/3/2016,"One of my favorite restaurants since forever - CPK has always been my go-to restaurant for special occasions, birthdays, etc. I've always enjoyed the atmosphere here and they have been constantly changing the looks of it for the better each time.  I always order a salad and pizza, and every time they come out tasting on point no matter when I come in. I have been to this location many, many times and every time we have typically had great service. No complaints there. Although, this last time it did take a while for our salad and soup to come out. Not a problem though.  One of the girls brought us waters and accidentally spilt one of them all over the table and a little bit on another person in the party. Again, no worries. We understand that those things happen and it was totally out of her control. We were assured that it would get cleaned up as soon as possible, and it was. Even the manager came over and made sure everything was ok after that. Kudos to this location for always having great customer service and valuing their customers; it is so key to running a successful business.  I will say though, that they have definitely been raising their prices and it has led us to choose other options lately. Not that we don't enjoy coming here, but it's just become a lot more pricey. For the 3 of us, our total came out to over $110 not including tip. That is with the alcoholic beverages of course, but it still seemed pricey for a casual dinner. Nonetheless, we will still be back of course.  Two notes I may add:  We continue to still really like their complimentary bread and oil that's provided (this time we were provided another plate of bread additionally without asking and of course devoured it). We love bread as you can tell.  Secondly, I'm still very disappointed that the California Club sandwich was taken off the menu. It's been gone from the menu for a while, but I really enjoyed it. They have a pizza version of it, but I'm not a fan of it as much. I wish they could bring it back onto their menu.  Again, a very solid restaurant and the location is great if you're driving along PCH or near the beach area. There is a lot to do around here.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Willyum J.,"Long Beach, CA",2,19,95,5.0,8/3/2017,My friend and I ate here tonight. We haven't been in awhile. We both ordered salads. They were fresh and delicious. Our server James was friendly and attentive. He was also the bartender. He made great drinks. We will definitely return soon.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Katie B.,"Irvine, CA",27,233,,2.0,11/18/2016,"I made the mistake of ordering one of their seasonal dishes. The roasted garlic chicken was served to me burnt, with the skin visibly black. Thinking that the problem might just be on the surface, I took several bites, only to discover that yes, the chicken was rubbery and bitter to the point that it was inedible. Sent it back, 30 minutes later came back with a less burned one, but the chicken was still very tough, so I gave up. The manager did remove it off of the bill, which was appreciated, but obviously that menu item is severely flawed and/or poorly executed.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Nicole D.,"Long Beach, CA",228,107,614,5.0,11/19/2016,I love the staff and the regulars. My go to place when I don't want to cook.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Tom K.,"Lakewood, CA",0,9,,5.0,7/16/2017,"We had a party of 15 last time and our server Tess killed it. The jambalaya pasta is awesome.  Great food, great service, enough said.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Pamela R.,"Temecula, CA",37,68,477,4.0,4/30/2016,"Description:  The one thing that I appreciate about California Pizza Kitchen is that I know that I will get a consistent experience no matter which location that I choose to eat at.  They offer a special twists of flavors on traditional pizza and pastas dishes. Location: Located in the Market Place shopping center it sits on the corner directly behind the Trader Joe's grocery store off of Pacific Coast Highway Décor:  All their restaurants are decorated with light woods and yellows that feature a modern sleek design.    Menu:  The menu has a nice variety of pizza's, sandwiches, pastas, salads, etc.  I particularly enjoy the fresh herbs that help in creating a good dish.  They offer several signature fare that compel you to keep coming back for more such as the Quinoa Arugula Salad, Five Cheese Pizza, and a personal fav is The Original BBQ Chicken Pizza (Yum).  The bread and olive oil dip is good as well.  FYI:  They offer gluten free options as well as vegetarian choices.    Service:  Though nothing extraordinary it is always friendly and attentive.  FYI:  They do not take reservations; it is a first come first serve basis.  I have never had to wait very long for a table. Atmosphere:  The atmosphere is casual mid-level sit down dining experience.  They have take-out services as well Restrooms: Large bathrooms that were well maintained Final Thoughts: What I appreciate about The California Pizza Kitchen is that you can feel confident that you always receive a good experience no matter which location you go to.  The Long Beach location is no exception to this rule.  I personally prefer coming for lunch as the prices are more reasonable and you get pretty much the same selections.  This is a good standard choice for a dining experience at the Market Place in Long Beach.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
Y T.,"Long Beach, CA",0,13,2,1.0,8/9/2016,"Order Butter Cream Cake and it was so DRY.  I called store spoke to mgr April to let her know to possible to come back and get another one or refund and she went into defense mode....we don't make them and I have know control over those.  I'm thinking: Are you freakin kidding me, and I purchased it at your restaurant.  WOW I must call corporate office on this one.  The sad thing is she's the manger.  SMH",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=20
