Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Christian S.,"Pasadena, CA",634,86,296,5.0,1/12/2018,"This has been an excellent experience. NICOLE was our waitress and she was just the best. Polite, helpful, cheerful, listens and most of all its crazy because it's her first day. When you come here ask for service from Nicole.  This aside, I got the CARNE ASADA pizza and I would say it was a 5 out of 5. My wife ordered a shrimp scampi pizza that one is the way to go 5 out of 5. Beer was good, atmosphere was nice.  So to wrap this all up Nichole 6 star review, the food 5 and the environment is a 5.  I'll be back!!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Lauren C.,"Los Angeles, CA",343,117,946,1.0,1/4/2018,"This is honestly the worst California Pizza Kitchen I've EVER been to. My family and I have been loyal customers of CPK for years at various locations. We keep coming back because we really enjoy their food, especially their pizzas. I have no complaints about the food here- it was great and tasted as it usually does. My main issue with this place was their poor customer service (or lack thereof). We walked in for a late lunch and everything was wrong from the very beginning. The host and hostess at the front were very unprofessional, incompetent, and not very friendly. Despite having 50% of the tables empty, they took awhile to seat us. When both of them finally decided to seat our party of 5 (because it is SO hard, right?), the solution they came up with was to put 2-two seater tables together (two chairs and a booth seat), which was clearly small for 5 adults. We didn't complain because we were just hungry. Right when we got seated, we felt rushed by the waitress to have our orders ready and then told her to give us a few minutes. I guess she must've felt annoyed because that's when the service went really downhill. She disappeared until we had to wave her down several times, slammed our dishes on the table when our dishes were ready, and spoke with an attitude. I guess she decided to get her act together later during our time there because she came back to refill our waters throughout the meal with a disingenuous facade of friendliness. I didn't appreciate her attitude, and this location was clearly all over the place, starting with the host and hostess. It is clear on their Yelp page that many Yelpers also experienced their poor customer service. I guess that can only be a reflection of their manager. I'm not tough about customer service; I really appreciate servers that are nice and we usually end up tipping them well. However, I can't stand rude employees, especially when our party has a lunch bill of close to $100. I expect better.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Eriny R.,"Los Angeles, CA",335,147,292,2.0,1/1/2018,I came in with my family after watching Disney On Ice. The restaurant is local to the arena so it's understandable that they would be busy. Now we have experienced a few issues.  1. The host told us that the wait was going to be about 20 minutes. We checked around with other local restaurants and the wait was about the same so we decided to wait. We went to check in after 30 minutes of not being called and they said another 20 minutes to which we were furious because the kids were hungry.  2. We sat with the kids and ordered for them right away. We also ordered the waters for everyone. It seems like we got their pizzas an hour later :/ they were super hungry and started giving us a hard time  3. I ordered the steak which was the most expensive item on their menu. I ordered it medium and got it well. I gave it back and ordered the chicken and season veggies. The chicken was super dry and uneatiable. I was so disappointed. I finally order the classic Caesar which you really can't get wrong and it was good.  Overall I was very disappointed in this location. It seemed like everything that can go wrong did :/,https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Jonathan G.,"San Francisco, CA",0,1,1,1.0,1/2/2018,Been coming here for 10 years never had a bad experience from cpk the company alone but this location it's self was the worse experience ever I love this place I bring my daughter and order a kids pasta and pizza and the server has the nerve and try to tell me I can't order the two items because she thought it was for me and there is supposedly a 10 year and younger age to get the items then she had the worse attitude and rolled her eyes at me ! Managers in this location need to check there servers attitude and how they are supposed to have customer service on how they treat us as customers especially when we have are family here present !!   I can again new year 2018 and I get the worse service again and they took 35 min to give me my child's food and then the waiter just assumed that I didn't want anything and they still charge me for my kids meal,https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Yo A.,"Huntington Beach, CA",706,42,131,5.0,1/1/2018,Love the service and the food. Menu has such a variety and the people makes this place. Fonzie is the coolest,https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Albert S.,"Newport Beach, CA",279,3,,1.0,1/14/2018,I went enter and seat and I waited for 20 or more min no water and no waiter show up for me and there is many waiter but I decide leave and nothing happy about it,https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Kelsey Y.,"San Diego, CA",23,63,229,4.0,10/30/2017,"Came here for their Avocado Club Egg Rolls and ordered their Sedona Tortilla soup. The egg rolls were great! If you love avocados this is definitely a must while you dine here. The soup was okay, kind of on the sweet side because of the corn they have in it. Again, if you love avocados I would recommend asking for a side of it to put in the soup as well! Makes it taste delicious! :)  Overall I'm giving this place four stars for the rolls!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Chelsea W.,"Fountain Valley, CA",0,7,2,1.0,11/15/2017,I love their salads and soup- but DO NOT order a steak here. Waitress recommended the ribeye steak. When it came out I maybe had 3 edible bites since the steak was ALL fat. Not trimmed at all. See picture  No one seemed to care as they took away my full plate of fat.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Kevin B.,"Signal Hill, CA",211,857,4993,4.0,2/22/2017,"After checking into our hotel, we walked a couple blocks to have dinner here. SERVICE: It wasn't very busy around 6 pm on a Sunday and service fine.  Our server (forgot her name) was friendly and came by a number of times to check on us, refill water glasses, etc.  FOOD: After having a late lunch we weren't very hungry, so just ordered a few smaller things to share.  Fried M&C appetizer ($4.99).  Crispy outside, softer inside, they weren't very cheesy, but still  tasty.  Not sure what the sauce was on the plate, it added very little flavor. Petite Wedge salad ($4.99).  Pretty simple but really good, loved the bacon and tomato. Bowl of Sedona Tortilla soup ($6.99).  Except for the tortilla strips on top, it looked pretty bland.  However it had some great ""southwest"" flavors going on.  Not as good as some others I've had, but still pretty tasty. OVERALL: Went on a slow evening for a light meal. Got good service, good food and a reasonable price, even though it wasn't pasta or a pizza.  A nice experience overall.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach
Leanna Q.,"Downey, CA",0,1,1,1.0,1/6/2018,My first time here and was honestly not worth it pizza was like cardboard pizza $5 dominos pizza would have been waaaaay better! Also tried the Mac n cheese and had to give it back it tasted worse then the box Mac n cheese at home. Sorry not sorry. Although the service was ok.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach
