Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Leticia A.,"Los Angeles, CA",126,5,,4.0,10/16/2017,I love this place but if you're on a time limit (lunch hour) make sure you're ready to order.  I recommend you request your check when you order. Some servers are a bit slow or if your seated in a corner they may forget about you.,https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Keilab A.,"Lahaina, HI",9,200,228,4.0,11/27/2016,"Just like any other chain of CPK, this convenient location is great for college students. The waitress I had was very attentive and the ambiance of the restaurant was nice. I ordered the bolognese spaghetti and it was pretty good, but the size is a little small considering how much the dish costs. Overall you can't go wrong with CPK.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Roger B.,"Westwood, Los Angeles, CA",1,6,7,5.0,10/21/2017,We live in the neighborhood & come here often because the food & drinks are good & the service is outstanding. Tonight Susie tried something new & really wasn't enjoying it. The manager insisted on replacing it with something she liked. We really appreciate the extra effort made here. We will be back!,https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Jamie W.,"Los Angeles, CA",235,103,123,4.0,2/14/2017,"Been coming here a lot and still lots of stuffs want to try. The menu is huge with a wide selection pizza flavors, but I actually like those non-pizza items better. They are pretty tasty, with the downside that everything is pretty high in cal. This location is always very popular during lunch/dinner time. I guess the fact their menu is so big and tasty appeals to a very wide demographic.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Celeste P.,"Los Angeles, CA",123,124,7,1.0,4/7/2017,"I want to give this place a chance. But after half a dozen visits over the years, I'm consistently disappointed.  Lunch service today: My friend ordered fish tacos. I ordered soup & salad lunch combo. Took 40+ minutes. Server gave no heads up about that or any acknowledgements to us besides replacing the dirty flatware and plate we requested. No apologies from the server. Because of our bad experience, my friend tried talking to the server for a discount. Server said he couldn't do it. We only have 1 hour for lunch and had to return to work. Hence no time to speak w/a manager. Bad service and late food delivery = poor rating.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Amy C.,"Los Angeles, CA",3598,621,864,4.0,11/28/2015,"Despite its name, I don't come to CPK for their pizza. It's their pasta that keeps me coming back. I always opt for the angel hair with asparagus and spinach. It's sooo good! A simple dish with lots of flavor and pretty healthy to boot. I love how they always put a ton of garlic on top. And, I get it without the cheese. Not a fan of cheese on pasta, but chili flakes are a hell-yeah! The spaghetti bolognese is also a good dish! This one is for the meat lovers.  As far as the pizza goes, I would pass considering there are two pizza joints in the same area that serve way better pizza.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Elan L.,"Los Angeles, CA",65,74,28,5.0,8/20/2017,"I don't care what anyone says I love CPK, always have, always will.  I love the Thai chicken pizza and Sedona tortilla soup, never had better from anywhere else.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Isaac Y.,"Los Angeles, CA",699,7,,4.0,4/24/2017,"I came here with a couple of friends for a birthday dinner. Overall, service was good. The atmosphere is definitely family oriented, with an older crowd despite it being right next to UCLA.  The food was good and portion sizes were amazing. I tend to eat a lot and this definitely filled me up. Only drawback to this place is that it's a bit pricey for the food. I would much rather go somewhere else since the bill tends to be around 20 per person with tip. I ordered the California Club pizza which had: Nueske's applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Ashley E.,"Roseville, CA",1,18,6,5.0,3/28/2017,"The service is always great! They've updated their menu to be more than pizza and the food is very tasty. Decent sized portions for fair prices :) The building is always clean, the bar in the middle is beautiful and the drinks aren't bad. We always have a great experience when we go.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Brian W.,"West Los Angeles, CA",296,1703,5,3.0,1/29/2017,"Quite standard for a CPK. Perhaps a tad nicer, a tad more busy, but what else is there to say?",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Adrienne B.,"Tujunga, CA",149,171,196,4.0,4/15/2016,"I was in the Westwood area at UCLA for my dad, so I decided to treat my parents out to lunch and we stopped here. When we arrived, it wasn't too busy, and not too empty either, we were greeted by two hosts, who took us to our seats without any issues or wait time. When we approached our seating booth, the table and the seats were dirty, seemed like they clean up after the last table and just immediately wanted to seat the next group, so we asked the hostess if they could clean it before we sat, she simply took her hand and brushed everything away as if it was never there (How unsanitary). Anyway, our server was Jake. Super nice! I ordered the Fresh Strawberry Mango Cooler, so delicious! The bar had to make our drinks, so we were given waters in the meantime. Since we came around lunchtime, the lunch menu combo was the best choice for us. I ordered the Original BBQ Sandwich (Full), with a side of Caesar salad. The sandwich was delicious! Everything we ordered was well cooked, tasteful, and fresh.  Overall a good experience. I would have expected the bill to be more expensive because of location wise, but it was well worth the service we were given!",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Robert B.,"Huntington Beach, CA",119,291,394,5.0,3/30/2016,So I come to CPK not infrequently.  Love the pizza but often feel guilty because it is so good I devour it.  Tonight I made a healthier and amazing choice.  Halibut over butternut with asparagus on Farro!   Wow!  It was incredibly good.   One of my recent favorites.  My wife had Kung pao spaghetti and said it too was excellent!   Wonderful service and right down the street from my Bruins and DD Reese cookies!  I resisted that temptation tonight but highly recommend this yummy cookies too!!,https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Guilherme A.,"Los Angeles, CA",457,3,,5.0,2/27/2017,"Great staff, great food, great environment. I don't understand all the hate on here; the food comes out in a timely manner, the servers are young, college-aged students (meaning they're fun and talkative) and the environment is vibrant! Love coming here and will continue to do so.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Hannah N.,"Huntington Beach, CA",196,70,713,4.0,6/22/2016,"It's a chain so my I'm adjusting my expectations.  Positives: They accommodate large parties well. Good for banquets (15-20 people).  Hostesses and waitress were nice. The waitress even split our bill 15 ways-wow! Chicken tequila fettuccine is my favorite thing. Nice and cheesy with a twist of lime. Yes.  Decent prices.  Criticisms: Parking is tough.  Bus boys were not as friendly as the other staff. Nothing special, just what I would expect from a CPK.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Jen C.,"Los Angeles, CA",262,17,20,5.0,6/25/2017,"First time here since the remodel two years ago and we were welcomed kindly at the door and seated at a booth by Brandon, then our server Eric went out of his way to help us with our order (specifically with salad portion sizes), and manager Mo greeted us with a surprise free Gorgonzola flatbread! I saw the prior Yelp reviews about the slow service here but honestly we didn't experience any of that today! Their five stars were well earned and deserved for service.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Linda M.,"Long Beach, CA",12,3,,5.0,7/16/2017,One of the nicest surprises in a while!  Having a small meal with my daughter and the staff surprised me with a birthday cake and song!  Even though my daughter is staff they still went out of their way to make my day a lot more special. CPK has always been a great place to eat but this particular store has super friendly and really nice staff members. Thank you guys for going the extra step!,https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Mylinh S.,"Oxnard, CA",49,133,471,4.0,2/27/2016,"Westwood just isn't as bubbly as it once was. We hadn't been here for a while and wanted to have dinner at a couple places we used to frequent:  they are gone! So CPK it is.  We sat at the pizza bar as we did not want to have to wait 30 mins for a table. Seems like everyone is coming here: young, old, funny looking... All tables are taken.  Ruby came and took our drink orders and our food orders. She brought us bread and olive oil dip to share while we wait for our food.  We sit right where the pizza chefs create their pizzas. Watching them work is a treat! This is where we will sit from now on! Pizza - the works:  3.5 stars. Not as flavorful as expected.  Bolognese spaghetti - 3.5 stars. Sauce is flavorful, but they didn't put enough of it on the noodles so the dish is dry.  Garlic cream fettuccine - nothing spectacular, but it isn't bad.  Kung pao spaghetti -  like! Not a greasy or salty as I remembered.  Quinoa arugula salad - five stars. I seriously am going to go home and try to make this. So good.  Typical CPK quality food. The service here is exceptional. I would come back again for the quinoa salad and the service!",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
Elyse E.,"Los Angeles, CA",6,83,1,3.0,7/8/2017,"This location has a nice fun feel to it.  The servers are great and fun energy.  Well, for the food, pizza is bland, salad was so plain and not a good value for lack of flavor.  We would go back if we have no other place to go and we are with friends.",https://www.yelp.com/biz/california-pizza-kitchen-los-angeles-16?start=20
