Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Pamela A.,"Redondo Beach, CA",0,8,,4.0,12/22/2017,"Jim is a great server.  We had a really lovely early dinner ordering Margarita pizza (which was PERFECT) and Green Pea-Barley soup for me (it's cold outside; this was nice and warming). Normally we love this restuarant, but... first of all the female hostess  welcomed us as 'Hi, Guys!""  We are two women.  She took us to our booth and again called us guys.  Just a little disconcerting. The music was awful and really too loud.  There was quite a din.  We often eat here and have not noticed the music being so loud and not really fit for eating and conversation. I do want to say, that when we thanked anyone for their service, they DID NOT say ""No problem.""  Thank you!!!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Willis W.,"San Gabriel, CA",233,344,31,3.0,12/20/2017,"Parking: Right in front of Macy's. CPK is surrounded by parking. We came here for a celebration for work and reserved the patio area. The only complaint was that they didn't arrange the sun shade to block the light from blinding everybody. The servers were busy helping the people inside so I can't blame them.  But other than putting on some sunglasses, the food was what you expect. It isn't phenomenal but it will fill you up. I got the Kung Pao Spaghetti and it was more salty than spicy. I added chicken to it and there was very little chicken. For 13+ bucks, I do not recommend it.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Maria S.,"Hermosa Beach, CA",0,30,,3.0,1/7/2018,"Always reliable. I ordered flatbread which was delicious but skimpy on ingredients.  Also, why no calorie count on menu? Thought CPK used to include it. Server didn't know about it.  Large restaurant but women's restroom only has two stalls.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Alyse T.,"Torrance, CA",207,158,859,3.0,5/28/2017,"Decent place for lunch! Located just outside of the Manhattan Beach Mall, CPK has reliably adequate food and service and is a nice break from the drag of the office.  I came here recently on a Friday afternoon for lunch with 5 coworkers. Even though we were a large party, the restaurant wasn't nearly full so we were seated quickly. I was happy to learn that they offer a ""Lunch Duo"" option now, where you choose either a smaller personal pizza or sandwich, and a soup or salad. I ordered: Lunch Duo with Shaved Mushroom & Spinach Pizza and Caesar Salad ($11.95): the pizza is 7"" which is a great portion for lunch, especially when you need to return to the office. The spinach was nice and garlicky, but I would have liked more mushroom.  The lunch duos are also one of the more affordable options for lunch. Our servers were also pretty quick, understanding we needed to return to the office fairly quickly. I would definitely come back for another combo!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Ruben B.,"Castaic, CA",6,20,33,4.0,1/12/2018,"One of our favorite places to come too. Have never really been here or at a CPK for lunch before. We always come for dinner. Lunch menu looks good, pizza & a salad and the wife had there potato soup. As usual food was good & service was good. The only reason fir 4 star and not 5 is because choices to pizza & salad were limited but good still.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Robert V.,"Los Angeles, CA",3149,400,225,5.0,3/5/2017,"Wasn't a big fan of CPK after my horrible experience at the Hollywood location; however, after management reached out to me I decided to try it again and come to this location.  Everything was awesome as the service was great and the Italian Chopped Salad was chopped and served to perfection. The manager stopped by and told him everything was great. He mentioned to me that the kitchen staff has been here a long time and they follow the original menus of CPK which is why the food is a higher standard.  Will absolutely be back and check out my photo on the chopped salad as this is as good as it gets!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Alex W.,"Playa Vista, Los Angeles, CA",407,629,1513,3.0,8/24/2017,"Upon this visit to this California chain famous for inventing the BBQ Chicken Pizza I decided to opt for a listed Menu Favorite, the Roasted Garlic Chicken Pizza.  The pizza was decent, but at $15 it's a bit pricey and on the small side if you ask me.  Frankly, I'd say that most of the dishes are overpriced.  My ex's mom though was a big chain restaurant fan and she loves good ole CPK.  As for me, I'll typically go with more local options.  Perfectly fine, but nothing special.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Roger W.,"Manhattan Beach, CA",3,27,,1.0,12/14/2017,"Very disappointed, enjoyed this restaurant for years but recently food has become very subpar. We visited last month and quality of food had seriously deteriorated. I wrote an email to management and received no reply. At that point I should have realized that management couldn't care less, but we made one last visit in hopes that things might have improved. Once again quality of food was terrible. Sad to see a local restaurant deteriorate.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Richard E.,"Los Angeles, CA",48,12,,5.0,10/20/2017,"Another one of my favorite lunch places. I usually have the veggie pizza and quinoa salad lunch special, but there grilled veggie sandwich is delicious. Try the California wine flight with it. TAsty! Another day here, just had the arugula and asparagus salad with the mushroom spinach flat bread, delish. Of course with the wine flight, one white and two red.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Lee F.,"Encino, CA",222,440,1564,4.0,2/26/2017,"A cool location for CPK in Manhattan Beach. The place is pretty busy and it gets noisy during lunch. For an appetizer, I highly recommend the Avacado Rolls. Crunchy rolls filled with avocado, bacon, and cheese. It is super delicious. The pizzas are great and our server Gabby was very nice. I had a good time at this location.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Leslie S.,"Costa Mesa, CA",676,535,470,4.0,7/27/2016,"A safe choice. And an even better choice for picky eaters who are afraid to try new and different foods. This only happens to me when travelling with big groups where it is hard to decide on a place for everyone to enjoy. For some reason it was very crowded when we arrived but they gave us an option to be seated immediately outside on one of their patios. They were even nice enough to inform us that one of the patios was about to be used by a graduation party so we definitely went with the other patio. Not that it made much difference because right as we sat down another graduation party sat next to us but still, it was nice of them to offer. My mom and I split a veggie pizza and salad. It was plenty of food and we still had a couple slices left over. We didn't have any dessert this time but they do have a very good tiramisu!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Alan B.,"Redondo Beach, CA",5,145,153,5.0,4/1/2017,"This review is not just about the food & service but the senior staff as well! Our meal, Caesar Salad, Cheese & tomato pizza & the salmon were delicious & prepared to our specific order. Our waiter, a 16 year vet, was terrific.  Here's we're our next category comes in to play! After dinner our bill was presented, needing to leave I put our gift certificate & CC out to take care of the bill. Well our waiter came back & said there's nothing on the gift card? Say again, well needing to leave & of course not being his fault, I said run the CC & we left.  The next day I called & spoke with Brain the assistant GM who was not only understanding but after listing to my tale, simply said how much was on the gift card, I told him then he said I'm terribly sorry for the inconvenience, please come in at your convenience and ask for me, I'll have a replacement card ready and activated waiting for you!!  Talking about great customer service, Brian, your sir are what great CS is all about!! A solid 5 out of 5 stars! And customers that will bring friends & family in for lunch or dinner when they're visiting! Thanks again Brian & CPK.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Stephanie R.,"Los Angeles, CA",213,4,1,2.0,10/26/2017,"Sorry guys - I love your food, but today was not so great. To start, I ordered a catering package for curbside pickup and there was no place to park, so I had to park in the lot and walk in. I had specified curbside delivery at 11:00 and I waited in the restaurant until 11:40 to receive my order. I hate to complain, but when I'm spending lots of $$$ for a business lunch I'm responsible for hosting, I need to be assured I won't be left hanging. Again, so sorry to leave a poor review, but I want to keep using you and need the timing to be better! :) That said, on the plus side, everyone was very nice!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
S F.,"Torrance, CA",25,197,10,3.0,11/6/2017,"Sent an email to corporate to mention the issue, and the manager of the restaurant called to apologize and make things right.  I give him credit.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Ayumi S.,"Pasadena, CA",3947,984,1478,4.0,6/13/2017,"Nice little outdoor patio area, which we got it all to ourselves, and I got to bring two pups with me to hang out.  Glad to see that the waiters and waitresses didn't pay too much attention the pups (to overexcite them), but our waiter was very nice enough to provide them each waters! We got their spinach artichoke dip to share and I got myself their chicken garlic pizza. Our waiter was super attentive and very nice and funny. Good little location!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Jazmin H.,"Manhattan Beach, CA",0,7,,3.0,11/24/2017,"First visit and the food was great except for the service. I expected a slight delay due to lunch hour, but they got my order wrong and I ended up waiting a bit longer to get my food.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
David W.,"Houston, TX",0,24,1,5.0,11/10/2017,Nisha the manager took the time to help me out on a busy Friday. Her customer service is awesome. The pizza was delicious and delivered on time for my event and a huge success! I will definitely use California Pizza Kitchen again.,https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Marjorie D.,"Manhattan Beach, Los Angeles, CA",0,14,,1.0,12/14/2017,"Terrible food. Like a cheap diner. Went there twice, hoping the food would be better. Bad mistake. I could detail what was wrong, but I'll just summarize by saying ""Don't go there. Go somewhere else!""",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Soli H.,"Long Beach, CA",72,22,23,3.0,11/3/2017,"Not a fan of this place, but their butter cake OMG! Sooo good. Cake was so lost and warm and their ice cream was good.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Vanessa B.,"Westchester / LAX, Los Angeles, CA",2,22,11,5.0,7/2/2017,"Everything is delicious, great service, my favorite waiter is Jacky! She's so polite and quick with request... I've been coming for years and will continue to do so.  Try the California Pizza Club with no basil!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach
Colt B.,"Manhattan Beach, CA",0,7,,5.0,10/30/2017,Great place for lunch or dinner. Friendly staff and tasty foid. Ample parking with handicap spots near front door.,https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=20
Melissa R.,"Carson, CA",18,27,100,4.0,12/24/2016,"I loooooove CPK, and I've never had a bad experience at this location. The servers are always attentive, the food is always great, and there's plenty of seating so there's never a wait either.  Dropped in on Christmas Eve expecting a ton of hangry Christmas shoppers but was pleasantly surprised. We got seated right away, and I tried a Blood Orange Sangria and an order of hummus to start. The sangria was good, a little sweeter than expected though. The hummus was delicious, and the bread it was served with was warm and fresh.  I ordered a bowl of the tortilla soup and a BBQ chopped chicken salad, and my friend ordered a carne asada pizza (seasonal option). Everything was amaaaazing. I'm never disappointed by anything with avocado, chicken, tomato, etc. My friend's carne asada pizza was great too. It came with a delicious green salsa to top the pizza with, great addition to the pizza.  Overall a great location serving quality food!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=20
