Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Christopher J.,"Pembroke Pines, FL",120,26,56,4.0,1/14/2018,"Now we had just finished a run and were in need of some protein and carbs to replenish what we had just used up. Pizza came into mind because it was a great way of getting our carbs and protein in but the problem is finding a healthy pizza. That's when my friend decided on California Pizza Kitchen. I was skeptic at first but quickly my mind was changed after we had our meal.  For the pizza we had gone with wild mushroom with the truffle oil of course because truffle. We had shared it and it was more than enough for a light meal. The truffle oil with the mushroom combination definitely made this one a go to choice for me.  Then for a salad we went with a half size of Thai crunch and goodness did this pack a punch(call of duty reference). I'm slightly biased when it comes to anything Thai related just because of the peanut dressing and combination of veggies. The half of it was more than enough and we did share it. I couldn't imagine eating the full size but it would seem like a great size if you really want a salad and have more people with you to eat.  We didn't wait at all we were shown to a table very quickly and the service was great, our waiter was kind. We did get our food before the bread, not a big deal but we were kind of hoping to get something before our food to snack on. Overall I will have to come again to try more of the pizzas and other food options they offer.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Ivan B.,"Weston, FL",376,53,72,1.0,9/30/2017,"Went to CPK for a quick dinner last night. It took almost two hours.  We each had soup-- arrived in ten minutes My wife ordered flatbread  I ordered fish tacos  After 40 minutes her flat bread arrived, since it was warm(not hot) I asked her to go ahead and start  As she finished, I asked for the manager who arrived ten minutes later after stopping and sitting with a friend at another table. She finally arrived as my main tacos did. She gave the normal so sorry she offered a free key lime pie which took another ten minutes  I wanted out before I started to scream at the server. As the pie arrive I asked for the check and that took another ten minutes as did waiting to sign the check   Never again.  This experience re-enforcers my dislike for chain restaurant.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Dorothea P.,"Pembroke Pines, FL",269,104,331,4.0,8/22/2017,"If you are at the mall and you don't want to eat at the food court this is a perfect alternative. Even though I come here all the time without even entering the mall. This specific location is actually attached to the mall so it might be confusing to someone that doesn't know the area.  Anyways I really like the pizza from here I usually get the margarita or the mushroom with truffle oil is soooo good! They bring the truffle oil out in a little container so you can add it yourself as you please. (Perfect for parents who have picky eaters as kids). But what I really love about this place is the Thai crunch salad! It's my absolute favorite salad ever!!!! I love how it has peanuts and they put two different types of dressing that's fresh but tangy at the same time. They also have two sizes which is perfect because you can either get a portion for yourself or a portion for the whole table. And I recommend that if you order the Thai crunch add the avocado,(Thank me later).The hummus is great as well they bring it out with warm pita perfect to share right before the salad.  I haven't actually gotten any of the desserts because I'm usually stuffed after all the hummus and salad and pizza but hopefully one day soon I'll try it.  Inside tip: it's really cold inside, they have a balcony outside where you can usually get a table but the waiters sometimes forget about you.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Gary F.,"Fort Lauderdale, FL",64,247,1546,3.0,3/12/2017,"Average service and average food.  We started out with the bread, its wss sour doue with olive oil and herbs. Good combined together.  My daughter had a kids pizza with cheese and mushrooms, she seemed to like it. My wife had pizza too, it had broccoli, mushrooms, Eggplant and roasted corn with no cheese.  My said it was very good except it wasn't very hot. I had  the jumbleia  with fettuccine, except it had linguini. I guess the kitchen doesn't know the difference. It was good. It had a nice amount of shrimp and chicken and a good amount of spice.   We did have one small problem, its not worth saying what it was, but I will say the manager was quick to handle it.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
My-Oanh N.,"Davie, FL",363,156,772,3.0,11/22/2016,"This california pizza kitchen is located within the Pembroke Lakes mall. Its a great spot for a girls day out lunch (just like my last visit) but I would say its a little pricey for a pit stop lunch on a shopping mall kind of day.  The service was quick and friendly on the afternoon that I came and the server was also very attentive and patient. The atmosphere is nice yet casual. I order the chicken piccata, which was nothing out of this world, however it did hit the spot. The portion is enough for lunch and even to have some leftovers later as a snack. My friend ordered the brussel sprout and bacon flatbread to share. Beware, this is not healthy! It is yummy and salty, but definitely not for the health conscious.  I dont not have anything bad to say about this restaurant but because of the price, this would not be my go to lunch spot.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Steve W.,"Southwest Ranches, FL",76,63,33,2.0,4/29/2017,"Been coming to CPK since they opened here and generally solid food and service. Had a nice seasonal martini to start and then it was downhill from there. My wife orders salmon, they bring halibut and claim it's a white salmon...uhh no, I know what salmon is, also  my flatbread was cold too. Usually you have a manager come out, this time the chef from the kitchen who explained some salmon from the atlantic is white! Only thing  that's white is maybe salmon trout but this was halibut ...but we waited around for the remake,  they did and of course it was pink... but overcooked. You'd think they'd admit mistake or comp error but nope. Sticking w pizzas and basic fare here. Service was great, waitress was pleasant.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Charles B.,"Miami, FL",0,1,,4.0,1/7/2018,"Great pizza, great food and good service. Second time in the restaurant it has not disappointed. I recommend this restaurant when in the mall and even if you are not going shopping.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Elizabeth B.,"Gainesville, FL",177,83,185,5.0,7/30/2017,"This is a great restaurant for fast, casual dine-in! I've been coming here since with friends and family for about 7 years now and I've never had a bad experience. Never bothered to review it until today, but decided to because of our extremely nice server, Lily. It's been a while since I've been impressed by the service in a restaurant, but Lily was so nice and attentive with everything. Upon ordering, I was about to go with my usual, which is the half Chinese chicken salad, but she convinced me to try something new and go with the Thai crunch. It's actually become my new favorite and I'll definitely go again to try it. I know CPK is a pizza place, but I really like their salads there. Not sure how healthy they are, but I justify it with all the veggies that are in it, ha! Over the years, the menu has generally stayed the same but my favorites are still there, and some new yummy food items as well! My dad got the banh mi bowl, and I was pretty impressed by how colorful and yummy looking it was. It's definitely on my list of things to try. My mom wasn't that hungry and ordered a bianco flatbread, which was alright. Overall a great experience, especially for lunch!",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Cata L.,"Fort Lauderdale, FL",411,20,28,5.0,7/13/2017,"5 stars for what it is: a fast casual dine-in restaurant. The wait was short, the waiter Mike was very pleasant and engaging.  Our meals came out in great time and were delicious! We had the spicy buffalo cauliflower (although a bit overpriced for the size of the plate), the mushroom pizza, and two types of salad (bbq chopped without chicken, and quinoa + arugula).  First time there and I'd definitely return.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
Julie F.,"Pompano Beach, FL",1609,477,1695,4.0,9/9/2016,"This is a 4 star for my husband's lunch. He really liked his turkey, Brie, and shaved pear sandwich which he ordered with a Mediterranean salad. My small pizza was quite good although I didn't expect the sausage to be as spicy (it had big red pepper flakes in the chunks) and came with my ordered Caesar salad. I didn't eat the salad -- not a fan of wilted dark greens. The way to go for lunch is this mix and match of soups, salads plus pizza and sandwiches. Think next time I'll go with one of the soups and the pizza without the sausage or a different salad.",https://www.yelp.com/biz/california-pizza-kitchen-pembroke-pines
