Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Regina H.,"Essington, PA",0,4,,2.0,1/24/2017,Me and my girlfriend came in to eat around 5pm... no server came to our table to greet us or anything we literally sat there until my friend said something to 1 of the servers.. she then finally came over with a bit of an attitude told us this wasn't her section and she pointed to were her section was... she then asked for our order.. was very pleasant after that..,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Vivienne L.,"Philadelphia, PA",258,210,207,3.0,12/17/2015,"We came her for the lunch duo specials. I got the Caesar salad with farmers market soup. The Caesar was really good, the chicken had a lot of flavor. The soup was alright, it wasn't really my taste. It has a squash base with vegetables. We also got the hummus appetizer. The pita bread had the consistency of a soft leather handbag and the hummus has tomato blended into it. The pita bread was alright but I didn't like the sweetness of the hummus. My dad also got the duo with mushroom, pepperoni and sausage pizza and the farmers market soup. The pizza needed more sauce and didn't have much flavor. He liked the soup, however but it was not spectacular. The portion size was reasonable. I would take this lunch duo over Panera bread's. The atmosphere is classy but also casual. I would probably come here for their pastas for dinner but not so much for lunch. The service was alright, the waiter wasn't as attentive as we would have liked.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Mark R.,"Philadelphia, PA",0,36,,4.0,12/27/2015,"Good pizza.  Great butter cake dessert. Everything else is ok.  The location is super convenient since it's in the same parking lot as Target,  Starbucks and several other retailers. The staff is very friendly.  Will be back!",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Nunu M.,"Brooklyn, NY",2,2,,1.0,3/25/2017,Horrible experience! Came at 915 pm sat night and it was completely empty. The two ladies in the front said it would be a 20 minute wait. All the tables were EMPTY!! Definitely wouldn't come back to a place who didn't seem to care or have any urgency to take care of customers but just encourage everyone to sit at the bar.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Matt R.,"Philadelphia, PA",60,330,266,3.0,6/23/2013,"The co-workers and I usually joke that we don't go to this place for lunch because we don't have 90 minutes to waste, but that's on par with most of the chains on City ave.   Other than a little slow for the food at lunch it's the typical CPK food menu, expensive  fancy pizza.  I will give them kudos though for stepping up their craft beer game recently.  Service is always polite.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Mia B.,"Philadelphia, PA",1,13,7,2.0,3/5/2016,"I have to say, each time I visit CPK I'm more underwhelmed than the last. For some reason I really want to like this place; It gives me great memories of my college years of nearly 10 years ago. Let's face it though, the food is average, some dishes are overpriced and the ambiance is subpar. I went last night with a friend. I will note our server was awesome. Anyway, I got the jerk chicken thin crust pizza and my friend got the jambalaya pasta. The pizza was oddly sweet, like I could taste the sugar. Now maybe it was because I didn't get bacon. Perhaps the salt would've cut the sweetness. I'm not sure that's how it works but I am sure I'll never order it again. My friend picked at her pasta noting it was dry and not so flavorful. I should just really give up on this place. I wish we wouldve went somewhere else.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Katie N.,"East Brunswick, NJ",0,6,,1.0,2/14/2017,"Waited forever to get our entrees, and I asked for a water THREE times and I couldn't get one. And we had TWO waiters.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Matthew A.,"Philadelphia, PA",0,2,,2.0,2/4/2017,Extremely slow service. This location (City Ave) seems to be struggling with staff training. We waited over 15 minutes to have a waiter come over. The location was well staffed and only was 75% full. Noticed several tables also frustrated with lack of attentive service. People even brought their checks to the bar to pay more quickly. Food was subpar for CPK. Drive the extra and go to the King of Prussia location.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Leah Y.,"Philadelphia, PA",167,253,221,2.0,8/21/2014,"The Food is always good but I must say the last visit was very disappointing, we had a server named Ashton, we sat there for over 30 min just to get our drink then another 20 for our meals after all was said and done we all took our food to go we could not even enjoy it overall we were there 2.5 hours and seen people come in eat, and enjoy dessert and leave meanwhile we were still there waiting",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
Colette W.,"Venice, CA",41,119,22,4.0,8/12/2014,"California Pizza Kitchen : Philly Edition I was a little apprehensive about coming here because my friend said the location was a disaster but all I wanted in life was a BBQ Chopped Chicken Salad.  The host was kind she led us to a table that wasn't ready so we went back to the lobby for a couple of minutes.  Salad was the usual FANTASTIC and the server Rere was great. Mojito was good and topped off so I was a happy camper.  CPK has never failed me. EVA !!!!! There was no wait, the place was super clean, food came quick, and generally a happy experience on a rainy day.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=20
