Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Victor E.,"New Braunfels, TX",0,2,,5.0,12/9/2017,A great place to bring the family. The bread is amazing!  There pizza is absolutely amazing and would recommend the Hawaiian pizza or the cheese pizza. The waiters and waitresses are super nice and there salads are truly amazing! Would recommend 10/10,https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Yiv G.,"San Antonio, TX",0,12,,2.0,7/29/2017,I'm having such a hard time with this location. I try to suggest other places to family and friends but sometimes people insist on CPK. I had a big long hair in my Chinese chicken salad today and it wasn't mine. The salad in general didn't look that great even before the hair - the lettuce was full of black pieces. Is it impossible to get fresh lettuce at restaurants in San Antonio? And I hate ice water with one melted cube of ice.  There are better places. I'm sure of it.,https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Adam W.,"San Antonio, TX",0,81,24,1.0,12/15/2017,"So I wanted pizza yesterday and happen to be close to this place so my gf and I said sure why not . Big what a mistake, we started with the artichoke dip which we found to be inedible, it was seriously the worst artichoke dip we'd ever had . Next we had the bbq pizza and a pepperoni pizza, the pizza seemed to be tolerable at least the pepperoni one was the bbq one was terrible, the bbq sauce just doesn't work on a pizza , it's like do want be a pizza or do you want to be bbq pick one . At this point we are two slices in a we both said to each other, I think their frozen store bought pizza is better and yeah it is ! This is not the place if you want good pizza , should have went to Grimaldis across the street. Now here's what really brought me to my one star rating , who am I kidding I would have been one star regardless but here it is , minutes after taking our order my waiter walks over with a broom and dust pan , does not use it ! Sets it down literally across from where we are eat nasty artichoke dip and walks away ! It's stayed there the entire meal ! Several employees walked by it but none touch it ! It was so close to use that it conveyed a feeling of eating in a BROOM CLOSET! This place is garbage and as far as I'm concerned this place doesn't exist anymore. CHECK OUT THE BROOM PIC BELOW.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Pinkey P.,"San Antonio, TX",273,49,56,2.0,8/6/2017,"If you've never been to CPK, and are wondering if you should try it I would say skip it. The pizza is sub-par and service is slow at this location. I love pizza and truly try out so many places to find my favorites pie, but this place was just off on taste. I also tried the pasta and while the sauce was fine, I felt like it was undercooked. But overall what completely surprised me was how they sent out our food, at a six person table they brought out 5 peoples food at once. My other friend had to wait about 10 minutes after we received ours, which was just awkward.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Lesley S.,"San Antonio, TX",941,1200,1299,5.0,9/27/2016,"CPK is one of my favorite places to go. The pizzas are great, even the apps, however the Chicken Milanese is  . It is a breaded chicken, arugula, tomatoes, olive oil, and shaved Parmesan. So delicious. Use the lemon give because it makes an explosion in yo mouth. I had Brian at the bar is who I used because I was dining solo. He was an amazing bartender and attentive. I will go to him back time and time. Found out he was a veteran and a really hard worker. Enjoyable experience.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Jennifer D.,"San Antonio, TX",42,151,447,5.0,2/25/2016,"I haven't had CPK in YEARS! Last time was in 97 in Houston......  How on earth did I forget about this place. Lunch here today was really good. Next time here i'll be wearing my ""stretchy pants.""  Such a very friendly staff and great environment for families, couples, or a big group.  I had the thin crust Jamaican Jerk Pizza.  It was really good. I'll have to go back really soon and have another.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Jacqueline J.,"San Antonio, TX",439,168,935,4.0,11/17/2015,"The Family and I enjoyed CPK as part of the Annual Parade of Veterans that flocked to neighboring eateries as they honored our Valor and Service. Last year I heard there was over a 2 hour wait so after the family and I polished off our Free pancakes at IHOP, we rolled on over to the Quarry to walk off the bacon and eggs. Luckily the rain that was threatening to ruin our Veteran's Meal held off and we pulled up to an empty CPK around 1015.  We peeped in and saw workers scurrying by as I'm sure they knew the Veteran's and Active Duty Crowd would be pouring in as the doors were unlocked.  After walking around window shopping for 30 or so minutes, the family and I returned to roughly a 3 person line that was starting to grow by the second.  We hopped in line and within ten minutes were seated by a gracious host and an attentive waiter. The Sister and I shared a BBQ Pizza and donated her Hawaiian Pizza to the nieces who happily gobbled up and pulled apart their ham and pineapples meal.. The brother n law ate a rather large salad, which I'm surprised he was able to finish after all the pancakes we had consumed that morning.  The waiter was quick and within minutes every seat in the establishment was full.  I can't say it's worth waiting 2 hours in line but this AF Veteran and Army Soldier along with her family enjoyed yet another Free Meal on Veteran's day. I appreciate the frozen entrees in the store but was elated to share this Day and  freshly baked meal with the family. Side Note ~ The restaurant was awesome in honoring our service but did not check our IDs.  I hope that scrupulous people who like to impose as military members do not take advantage of this day and ruin for those serving. It is used to honor the thousands across the nation that have served and are currently serving.  Thank you Again CPK. The Pizza was Great and made for an awesome midnight snack. See Ya Next year.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Sarah J.,"San Antonio, TX",96,247,213,4.0,12/29/2016,"CPK has long been a favorite dinner spot for me, and one of the few chains I have on my frequent-customer list. I just love their small plates and I always order a thin crust Hawaiian pizza with extra pineapples. The pizza is fresh made and wood fired in their open kitchen for you to watch. Dessert menu is worth a look too! My husband isn't really a big fan, so it's not something we do as often as I'd like. I swear it's because it had California in the name, and it drives him crazy when I sit there and talk about ""when I used to live in California..."" He ate up half that pizza though! (He's not usually a big eater.) On that note, if you don't have a large appetite, order one pizza to share. It's enough for 2 people of you aren't overly hungry or if you're adding an appetizer as well.  I miss going to the Quarry location because there was a server there I loved, an older gentleman I think of Polish decent. He was always the perfect customer service rep and should be the face of that company! Maybe I'll stop back in and see if he's still there one day! My Yelp rating system: 5 stars= Add this to your bucket list! 4 stars= I would recommend visiting. 3 stars= Average, acceptable, positive. 2 stars= You might be able to drag me in.  1 star= I will definitely not be returning.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Palmira L.,"San Antonio, TX",0,18,22,5.0,4/2/2017,"I've visited CPK several times and this is my first review. I've never had a bad experience here and particularly, I'm not a fan of chain restaurants. But today was worthy of a review. My Observation today: The server/bartender did his best to accommodate all guests at the bar. The manager was all action in the kitchen ensuring that the tickets matched the food being prepared. The kitchen chefs and cooks communicated to the staff if a ticket order was questionable. Sadly, others had a few complaints about the hostess whom I didn't meet or greet because I skipped right to the bar area. However, I did notice she was hustling to the tables, to ensure they were guest ""ready."" It was a busy Sunday unfolding to an easy night. Staff, food, drinks and overall service was on point.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
Aaron M.,"San Antonio, TX",38,270,139,4.0,11/20/2016,"Was meeting my son's mother here so they could attend a film. Our waitress, Jen, was right on point with everything from food recommendations, drinks, timeliness and courtesy. Needless to say, will be coming back quite frequently now.",https://www.yelp.com/biz/california-pizza-kitchen-san-antonio-2
