Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Chad H.,"Arlington, VA",139,304,601,4.0,11/26/2017,"I usually enjoy my meal at California Pizza Kitchen, and this time was no different. This particular location is inside Wellington Mall. To start out, we shared the Bianco Flatbread which was very good. The combination of gorgonzola and mozzarella cheese went very well together. We first ordered the smashed pea barley soup, but it was a little watery, so we returned it for the sedona tortilla soup. The tortilla soup was thick and delicious, and not too spicy which I appreciate. I ordered the Bahn Mi Bowl for my main dish. Very flavorful with quinoa, chicken, avocado, cucumbers, and more. I liked that they put the chili-lime vinaigrette dressing on the side. The bowl could have has a bit more chicken in it, but nevertheless, I still enjoyed it. If you are super hungry, I recommend something else, but it was good for a lighter dinner.  Service was good for the most part. Took sometime for one of the beverages to come out, but otherwise was fine. When we needed to exchange the barley soup for the sedona tortilla, that was no issue. Waiter was friendly. Overall, I enjoy California Pizza Kitchen and will certainly return to the one by where I live. Nice atmosphere, good food, and positive vibes.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Valerie R.,"West Palm Beach, FL",0,6,,5.0,1/2/2018,"This place is absolutely amazing ! No complaints whatsoever. The wait time is almost non existent, the atmosphere is very nice and relaxing. The staff is incredibly kind and very fast. I can not vouch for the pizza as I have not tried it but my favorite dish is the Waldorf Salad. It is unbelievably delicious and I order it every time I go. Very pleased with this restaurant",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Mark M.,"West Palm Beach, FL",72,45,186,5.0,3/18/2017,"California Pizza Kitchen, Wellington: This restaurant went FAR above my expectations that I had for it, going in. I ate by myself at the bar and chatted with a couple individuals I had just met. Ambiance: Dimly lit, except for in certain areas of seating. At the bar, you get dinner and a show! You can see the two ""pizza chefs"" making the pizzas and putting them into the oven. Food: Being my first time here in awhile, I tried two ""spicy"" menu items. Both of which were amazing. 1st, I ordered the Spicy Cauliflower dish, & 2nd, I ordered the Chipotle Spicy Chicken pizza. The bartender/my server was amazing and her name was Carly. She was attentive and courteous to all her guests(including me). She was on top of whenever I needed a refill on my sweet tea and even gave me one to-go. As an ex-Chick-fil-A employee and hospitality manager after working there for 5 years, I can recognize a reputable and great operation when I see one. California Pizza Kitchen is running on all ""cylinders,"" and looks like they have many pleased guests like myself, as well. I will definitely be returning in the near future to sample some of the other menu items and update this review. I would place this establishment in my top-10 of favorite places to eat, in West Palm Beach/Wellington. Keep up the great work, CPK!",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Emily T.,"Boynton Beach, FL",525,229,853,4.0,12/1/2016,"Coming to this location of California Pizza Kitchen is always a positive experience! Inexpensive price points, fast service and delicious food is what they strive for. The longest wait I've had for this location is probably 15 mins on a busy night. A few favorites of mine are their baked potato soup and garlic cream fettuccine pasta! Their pastas are portioned perfectly and has the perfect hint of garlic. Pair it with mushrooms and shrimp and it's a hit!",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Pamela F.,"Los Angeles, CA",61,441,624,2.0,12/28/2016,"We love CPK so this was a big disappointment after an hour drive from our Lake Worth Airbnb. Service started out great (and why not? we sat at the counter) chatted up the sangria choices until we ordered the sampler and our thai chicken pizza and then, evaporated. It took 30 minutes to get the drink -- and another 45 minutes to get the pizza. We finally broke down and asked if our order had been lost after we burned through the entire sangria sampler and it was nearing 3 p.m. (we arrived at 1:40). Probably the worst service experience at any CPK ever.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Susan B.,"Wellington, FL",19,113,,3.0,6/23/2017,The food and service continue to be excellent but the restaurants is way too loud for any kind of conversation. All fabric has been removed and chairs and booths are mostly hard surfaces with nothing to muffle the noise. The decor is current but not comfortable or suitable for this sized restaurant but the food and service still attract a steady stream of guests.  We will go at 11:00am in the future to avoid the amazingly high noise decibels...noon on Friday was almost unbearable between screaming babies (understandable) and the acoustics or lack thereof.,https://www.yelp.com/biz/california-pizza-kitchen-wellington
Natalie C.,"Lake Worth, FL",68,94,292,5.0,4/28/2017,"I'm embarrassed to say it but this was a first for me. I had heard of California Pizza for years but had never given them a try. I was at the mall doing some retail therapy when I decided to try it for lunch. It was a weekday and the place was packed like Friday night happy hour. While I contemplated why so many people were not at work, I decided to sit at the bar and browse the menu. To start I had a glass of their delicious orchid sangria. I don't remember what was in it but it sure tasted good. I went with the margherita pizza and was glad I did. The margherita is my test. If you mess up this pizza you shouldn't be in the business. A nice crispy crust, a robust red sauce and real good cheese and fresh basil. California hit the nail on the head. It was really good. Good pizza from a chain restaurant not a mom and pop kinda surprised me... pleasantly.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Jackie A.,"Tamarac, FL",22,25,1,5.0,10/14/2017,This was great!  Had the Tai salad with avocado... out of this world.. also we had Avocado egg rolls... the best.. recommend these for sure! Also had a Cobb Salad which was delicious... To top it off.. Gin on the rocks with lime and a side of club soda .. that was a nice refreshing drink...,https://www.yelp.com/biz/california-pizza-kitchen-wellington
Harish B.,"West Palm Beach, FL",0,14,2,4.0,6/4/2017,"Regular diner at this place with attest once a week with family and never disappointing with dining and takeout, if there is any issue with take out they fix it.  Service is 5 stars, my 6 old loves their bread, and their desserts.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
K C.,"Wellington, FL",22,115,581,4.0,7/21/2016,"Service has improved significantly at this location. That's nice. And it's been remodeled so it's beautiful inside.  Chicken Cobb was served with blue cheese --- not really the right dressing.  Fresh lettuce and veggies to be sure, but the taste was just average.  Chicken Milanese was good, but needed a drizzle of something --- an aoili maybe? Other than that, the arugula was fresh and Parmesan cheese chunks were perfect. Still love CPK, but not thrilled with this visit. Gotta give them 4 stars though cuz there are lots of dishes on the menu we love!",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Linda M.,"Lake Worth, FL",0,6,2,1.0,7/29/2017,"Had dinner here last night.  The meat lovers pizza was the worse I have ever eaten!    It was dry with burnt edges and the pepperoni was extremely spicy. Nothing was done after telling the waitress..   I thought  the manager should have been alerted to the problem, but if he/she was, they never came to the table.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Jennifer K.,"Lake Worth, FL",72,156,44,4.0,5/20/2017,We recently started going back here! We were on hiatus for a little while but they've updated and change the menu and all their new selections have been good so far. The staff is always attentive. They redesigned the Decour is well. The bathrooms are always clean and it's great for a quick meal while you're shopping and you don't want to go to the food court. The avocado corn salsa with blue chips is my favorite thing.,https://www.yelp.com/biz/california-pizza-kitchen-wellington
James V.,"Indiantown, FL",0,3,1,4.0,9/30/2017,"Pizza was awesome, a bit small, but tasted great! Buffalo cauliflower was also great! I'd come back!",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Jennifer F.,"Lake Worth, FL",19,10,,3.0,6/14/2017,Food is overpriced and portions are small. Both my kids wanted to stop at the food court after for more food.,https://www.yelp.com/biz/california-pizza-kitchen-wellington
Cee S.,"Las Vegas, NV",96,90,105,5.0,12/29/2015,Insanely good! Our waitress Hillary is amazing and the food is breathtakingly good! Customer service hands down is the best by far. The team works together to make the dining experience spectacular. Hillary if you read this we love you and indeed this is California Butter Cake Kitchen!,https://www.yelp.com/biz/california-pizza-kitchen-wellington
T W.,"Boynton Beach, FL",0,18,,3.0,5/28/2017,"My wife likes this place for some reason... but after joining her here for a half dozen times... I still don't see the attraction. To me, the food is VERY average, typical chain restaurant fare. The pricing seems to be way high compared to the quality of the meals. I do not mind paying a premium price for genuinely good food... but I hate it when I get a mediocre meal... and then have the bill to be twice what you would expect for that meal. My wife says she likes the place because she can get salad.. or sometimes a decent pasta. Well, maybe there is a small bit of truth to that.... but $40 for a lunch, when the food is average, is way out of bounds for me. Save your money.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Mitch R.,"Wellington, FL",0,39,1,5.0,6/3/2017,Just ordered takeout from the app and a computer glitch sent my order to the store in Mass.  The manager immediately apologized and let me know they'll make my Cobb salad asap.  It wasn't even her fault but she took the blame and got my salad out to me.  Oh and they comped the meal.   Bravo CPK!!!  Oh and the Cobb salad was good too.  I'll be back.,https://www.yelp.com/biz/california-pizza-kitchen-wellington
Olivia M.,"St. Augustine, FL",19,24,4,5.0,10/26/2016,"Ian our host was very helpful and accommodating with my annoying family, he was the beginning of the great service.  Hailey our waitress was also good.  I enjoyed the pizza and blood orange sangria! Thank you!",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Ella M.,"Paris, France",96,26,8,5.0,3/10/2016,"Ordered curb side take out and also used a $10.00 off coupon. Service was great, girl came out to the car and brought my food and took credit card back inside. Process took less than 5 minutes. I ordered 3 dishes and all were great. CPK is a little expensive compared to cooking at home but I had a great coupon and used my pizza dough rewards card to earn points. I needed a nice hot prepared meal for dinner because I'm sick and knew CPK would be a great treat. Will order from here again and recommend to others. Almost all dishes can be modified to vegetarian and lighter versions. Their desserts are also amazing!",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Kathy P.,"FL, FL",13,5,,4.0,7/26/2017,"Love their gluten free pizza and they have some very creative sangria's to choose from.  The updated atmosphere is much nicer than it used to be, if just a little bit loud, but overall my family and I always enjoy our visits.",https://www.yelp.com/biz/california-pizza-kitchen-wellington
Andrew D.,"Wellington, FL",0,16,5,5.0,12/4/2013,"Food was very good, but the manger was awesome she was very attentive checking on us getting refills, and dressing for the salad just very polite, my wife and I will be back definitely!!! Try the California club pizza, and lettuce wraps awesome!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Jason B.,"DeLand, FL",46,2,3,5.0,11/27/2013,I guess that I like the fact that the food is cooked fresh. The pizza was good. The chicken dumplings are my favorite. That's not saying much because I rarely eat dumplings. We received good service as well.,https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Annie P.,"Boca Raton, FL",0,11,,2.0,12/9/2015,"No drink specials? What the heck? Anyhow, yes fine we like the food, but this place seriously has no specials what so ever.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
