Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Karla-Lenina C.,"Newport Beach, CA",95,43,25,3.0,4/30/2012,"It was more of a 2.5, but I'll be nice today.  This location switched to the new menu once the new year started; my family and I have been avoiding this location for that very reason (Hello?!!!  This girl needs her Pan-Sauteed Salmon with Spaghettini in Lemon Caper Sauce.).  Yet today, for reasons unknown, my mom and I found ourselves in the very location that took away our one true fishy-and-lemon-zesty love. The food was okay.  Half-sized portions of the salads were very generous, and the pasta was decent.  However, my little gripe about today's visit was our waiter--Luis.  He was not very attentive.  He didn't offer us any refills until the end... when he handed us our bill.  -___- Didn't ask us if we wanted dessert.  I asked for Parmesan cheese right when he brought out our food, but somehow I didn't get it until 10 minutes late... He was nice when we he first greeted and seated us, but that quickly dissipated.  He just seemed to be off in his own lala-land.  It wasn't awful service, but it was enough to annoy me to want to Yelp about it. More than likely, I'll be hitting up my regular CPK in Brea before going back to the West Co. location.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Vi V.,"Orange County, CA",281,760,3358,4.0,2/8/2011,"I came here with my bf and his little sister for her birthday. She has never gone to CPK and she really wanted to try it so I persuaded my bf to let us go. Once we walked in we were greeted and seated right away. It was a rainy day so there wasn't many people there.  What we got: Chipotle Chicken Pizza($12): I was deciding between the thai chicken pizza and the chiptole chicken pizza, but I've already tried the thai chicken so I decided to go with the chipotle chicken this time. I was glad I got it! It was delicious, but I wish it didn't have beans in the salsa...But anyways...I gave a slice to my bf and to his little sister and they both thought it was pretty good as well.  Pesto Chicken Pizza($13): it was good, but I didn't think it was as good as the chipotle chicken.  Kung Pao Spaghetti($13): his little sister let the both of us try some and I was surprised that it tasted pretty good. It had that kung pao taste. Our server was very attentive as well. My bf and his sister drank a lot of water and there cup was never empty. So yay for the good service and food!",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Jimmy H.,"Buena Park, CA",937,444,757,4.0,12/24/2013,I love CPK. They have great salads and pizzas. Pretty much had all of their salads and I have to say I am impressed how good they are. Both presentation and flavors are always spot on. The pizzas are very good too for a chain place. The wild mushroom one is on the top of my list (make sure to add truffle oil). Overall I love going to CPK.,https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Mimi V.,"Whittier, CA",110,20,84,4.0,4/21/2014,best customer service & great bartending skills ..... love the citrus adobo margarita  ask for will he is great.,https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Patricio F.,"Glendora, CA",14,61,23,4.0,7/31/2014,This place is sweet but come sunday they close their doors. Building being knocked down for additional roads for buses. This is grade A crap. Just when I find a bad a$$ place to eat they want to knock it down.,https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Alicia M.,"Rancho Cucamonga, CA",816,64,7,3.0,6/17/2014,"I came during father's day (forgot it was fathers day) my party was a party of 15 and we waited about 1 hr to be accommodated. Not only that but by the time we were seated there were not many customers, so the waiter took time to get our drinks. The food and drinks are great, service is a little slow. If they pick it up this will be a 4 star.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Aimee B.,"Austin, TX",226,185,49,4.0,1/30/2012,"I got the BBQ chicken pizza and tried their fettucini alfredo. Both were absolutely delicious. Our server was prompt, filled up my friend's drink quickly as he had a spicy dish, and was accommodating to a small child we had with us as well. (Thanks, Gio!) BOTTOM LINE: It was a nice, casual dinner. Definitely one of the best CPKs I've been to.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Sara M.,"Covina, CA",34,11,,5.0,2/22/2012,"this is my place to go on a Friday night. Me and my best friend have been going for a couple months now. its so bad they know us by name and have our seats saved. We didn't even have to order, they already knew! food is delicious. when i fist was going it was peperoni pizza and these macaroni things that are BOMB...but also extremely against my diet hahaha! so then i tried the grilled chick Caesar sandwich is even better! and one night i was confused on what to order and my favorite waiter suggested the avacado egg rolls ( and i looked confused like i had never had them before my friend said you have had them at Bj's ) so i ordered them.......and wow just wow! so now i am hooked!  & when i was drinking, their drink were delicious and strong. Great friendly staff! one of the managers is the best! especially on my birthday :D",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Kelly V.,"Pico Rivera, CA",108,48,9,5.0,6/21/2014,"Came in on a Saturday, it was kinda busy, but our server was so great!! His name was Gabe and he was sooooo helpful. We had the tequila fettuccine and the BBQ chicken pizza, both great, but our service was the best. Honestly the best service I've had in a while. He was so helpful and brought out refills without us having to ask. He was so nice too, it was refreshing!!! I love this CPK!",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
Ria P.,"Corona, CA",363,125,3,2.0,8/19/2011,"50 % of the time that I come here I receive really horrible service and the other half of the time, I receive OK service.  We all know that the food here is great, but it's just a matter of how your treated that will make you want to come back or not. I'm almost tempted to put 1 star because of the last time I was here, but I 'll add another for the times that I did receive good service. It was a Wednesday night, not busy at all, and our server paid little to no attention to us. And whenever she DID some, she had a fake smile that she tried so hard to keep up whenever she came to our table. Granted I did come here for a business meeting and we had papers on our table, but that does not mean we do not want to be served. It took forever to get our order in and it took forever to get our food. We ordered a pizza and a salad. Shouldn't be too difficult right? I noticed the manager going around to other tables to ask how they were doing but not once did he stop by ours. Did we really look that busy? Anyways, I could've done without this horrible experience here, but with that in mind, I'll be a little more cautious of my choice in restaurant before I decide I'd like a good salad again.",https://www.yelp.com/biz/california-pizza-kitchen-west-covina?start=20
