Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Nea S.,"Pikesville, MD",66,72,200,4.0,7/22/2017,"We stopped here for a late night meal before going to our hotel room. The food was DELICIOUS. My entire family loved it. The broccoli was cooked just right. All our food was hot. Next stop in PA, we will definitely stop by here for dinner!",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
K S.,"Norwalk, CT",0,8,,5.0,12/28/2017,"This is based on only being here once mind you but I had a good experience. The restaurant was clean, waitress was friendly and attentive, and we didn't have to wait long even though the place was packed. Even the bathrooms were really clean. The food was good and they didn't forget small things like garlic slices that came with my salad. No complaints here.",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Sherry M.,"Emmaus, PA",75,15,9,1.0,8/5/2017,Worst service ever! Only five seated at the bar and he couldn't check on us. Fries were under cooked burgers over cooked. Didn't get a check back until we were completely done. I guess tge two minute two bite rule doesn't apply at RR?! Ordered sauce on side sauce was on the burger. Needed dipping sauce for the onion straws. NOPE! NEVER EVER again will I spend my money there.,https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Kelsey M.,"Emmaus, PA",68,86,93,2.0,6/19/2016,"tl;dr: food was eh/alright; service was just *so* slow Normally, I'm a fan of the chain. There's one in my hometown that's amazing and certainly a solid 4 stars because of the service and quality of food.  This Red Robin, not so much. The food was alright. I ordered the bruschetta chicken sandwich, a dish that I've had elsewhere at other Red Robins. It alright but not as much flavor as it normally has and a little saltier than normal. The fries had kind of an off taste to them from what I am used to. The ice tea I ordered was a little watery. Overall, it wasn't terrible but not great either. But the food isn't what's killing the review (it's actually what kept it from a 1-star-review). The service was definitely sub-par. The hostess was nice and we were seated at our table quickly, but things went downhill once our waiter came to the table. The service by the waiter was just so slow and I don't get why because it wasn't packed and with the amount of people on shift, the place hardly looked short-staffed.  Now you might think I am exaggerating how slow he was (time can move slowly when you're waiting) but I had the Cavalier/Warriors playoffs game blaring at me from three different a TVs in the background serving as my meter of time (and this game just really stuck with me). It went something like: 7:55ish (before the game is on ESPN): seated at table, waiter takes drink orders. 8:15ish (tip-off already happened; game underway): waiter comes back with the ice tea and water we ordered (20 minutes for that?); takes food order.  8:20ish (warriors just came back from a timeout to score a 3): appetizer comes. The food actually comes out pretty quick.  8:26ish (warriors and Cavs tied): food comes out. Again, food came quickly.  8:27ish (taken maybe two or three bites of food): server checks in to see if the food is good.  And here's where the waiter basically forgets about us.  8:40ish (first quarter has ended): I'd been hoping to get a refill for about 5 minutes. Don't see waiter anywhere.  8:46ish (warriors score a bunch in a row because the table next to us is happy): give up on getting a refill because I'm done with my food but hoping to get a box.  8:55ish (warriors were behind and just got back in the lead): waiting for the check and just want a box. My friend and I remember we can pay on the computers on the tables but doesn't solve box dilemma. Still no waiter (or really any waiter who's attention we can call.)  8:56ish: notice ""call server"" button on computer. Press. 9:05ish (Cavs are starting to close the gap on the warriors lead): I was just about ready to get up and rifle through the waiters' supply stand when the waiter comes back. He apologized half-heartedly for not checking back sooner because he was making drinks.  Perhaps he was having a bad day? I don't know. Service jobs are hard and often thankless jobs, but tonight was not his night for service. Nearly 40 minutes between check-ins is just way too long.  I'm so bummed to give Red Robin a bad review because I really do like the chain. But this location just wasn't good.  Maybe 2 stars is too generous?",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Donita C.,"Northampton, PA",115,79,16,3.0,12/12/2016,"Went on a Sunday night around 7pm, not very busy, so I was seated and attended to immediately. Started with a bowl of New England chowder and ordered a plain cheeseburger, prepared medium a.k.a. With some pink according to their menu, with bottomless steak fries. The soup was meh, very liquidy and the potatoes were just shy of being tender. Like it wasn't stirred from the bottom before serving.  I did use some of the cracked pepper from the grinder on the table, that grinder is amazing! Nicely coarse black pepper!  That was the highlight of that soup. It was served with two slices of crusty bread that I think we're supposed to be garlic toast. Two bites of that was enough for me. The burger came before I had finished my soup (I really hate that).  I tasted a fry immediately before they got cold. It was hot, yes. Finished soup, started in on the burger.  It had no pink, but it was not dry at least. Server did offer to have it remade but I just wanted to eat.  (Applebees does this all the time too, no pink when you ask.) The burger was average, nothing to rave about. I liked they were generous with the cheese and it was seasoned properly. Pretty large patty, I only ate a little more than half of it. The fries tasted better with the seasoning they have on the table, but even though the fries were not burned and had crunch, they were very dry on inside. I suspect they were sitting under a heat lamp. I think I ate only 8 of them and when I was asked if I needed more, I declined.  Their fries have potential to be kick butt if their fresh, I bet, especially with that seasoning (they also have salt grinder on the table). All in all, typical chain food, always meets my average expectations.  My bill was about $24 with tip. Dang. Won't get a burger there anymore.",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Amy C.,"Whitehall, PA",1,23,8,1.0,12/27/2016,"Awful. First time going there, will never go back. Ordered medium rare burger, waitress said ok. Food comes out, it's way over done. She doesn't come back for 20 minutes, and I tell her it's over cooked. She just says they don't do medium rare there, only ""some pink"" ...Why would you not tell me that when I ordered it? I wouldn't have gotten a burger then. No apology, no fixing it. Fries were cold, too. So it was basically like throwing $30 away.",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Zachary P.,"Bethlehem, PA",6,15,1,5.0,6/15/2017,"Me and my family went to this Red Robin yesterday and had a great experience! Our food was out in a reasonable amount of time and everything we ordered was great! I got a Bacon Cheeseburger, which I would highly recommend to anybody. We visited while the restaurant was being remodeled, but that did not affect our experience in any way. I was a bit disappointed however to find out that the TVs that used to be built into the floor for customers to watch while waiting to be seated, had been taken out, but that's alright since we came for food and not TVs! Parking is great, so there is no need to worry about that! Signs will direct you to exit and enter the property using Airport Road since Airport Road can be a bit difficult to get across in certain areas.",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Dee L.,"Lehigh Valley, PA",1,30,,1.0,5/7/2017,"This restaurant has steadily been going downhill over the past six months and after today's visit,  we are through after being customers for more than 5 years. The restaurant is simply too cheap to hire the help it needs to respond to customers and one bartender today had to cover more than half a dozen tables. We were served warm ""iced"" tea because Red Robin obviously couldn't have any kitchen staff come in 30 minutes prior to opening to ensure the iced tea was ready to serve. We waited 15 minutes for the check and spent almost 80 minutes for a lunch in which only entrees were ordered. The fried clams were overcooked and inedible and our order was missing the promised cole slaw which we had to ask for. The restaurant has been ""redecorating"" for over a month and it looks like crap. Spend your money elsewhere!",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Haley G.,"Bethlehem, PA",1,208,141,4.0,3/10/2016,"Like other chain locations, this place will look familiar.  Service can iffy depending on who you receive.  Not much to say about this location for this review, other than that the accessibility can be confusing, but on a popular part of airport road",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
Tony R.,"Bath, PA",66,94,33,2.0,4/30/2016,"Fast on deliveries to our Hotel!! Red Robin within a short distance from our hotel. Red Robin, if we wanted, we could walk from our hotel to Red Robin. If not for the Hotels we would choose to stay at Red Robin would have not, heavy on never, entered our world. In our world, 5 Guys Burgers.....wasn't in the picture, yet. Those computer Doo Hickies were not on the Tables. Another bright, garish(?), wide open and to be filled in accordingly food service venue came to a land of  strip malls, airport roads and wasn't there a drive in here. After a short time the fascination wore off; at my age, there was nothing to hold my interest. What more can you do to a burger? Bar Service? Fountain Drinks? Cold Side? You may be satisfied for awhile and then what? Hope your not at the Hotels and this is a choice you make. Go to A Taste of Italy, you will be glad you did!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-allentown
