Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Laura O.,"Anchorage, AK",215,6,37,4.0,8/19/2017,"We went for birthday lunches and were not sure what to expect after reading reviews of this and other locations.  The food was good, just what we expected from other Red Robin locations. I had a gluten free bun for mine which is drier than regular bread. It costs a little more, but is easier to eat than with a lettuce wrap. Our server, Chelsea, was attentive and checked on us at regular intervals. The manager, Angel, came through as well to check on things. He saw my boys had demolished the fries and personally went to get refills for them.  Overall, we had a good experience with little wait time to be seated for a late lunch.",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Jennie H.,"Northeast, Denver, CO",17,3,2,2.0,12/30/2017,"The food was great, the service however was unacceptable. I went here with my boyfriend for a date and we had to ask for silverware, which they brought. We also has to ask for napkins which didn't come the entire meal so we had to wipe our hands on our pants or lick our fingers off. Then while we were seat the tables next to us left and while the busser got the plates and drinks off, he didn't clean the table off at all before the next group was brought to the table. I was just disappointed in the service overall.",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Richard F.,"Wheat Ridge, CO",3,56,7,4.0,8/18/2017,Once again I have to say that this national chain is quite good! The burgers are delicious and come with fries or you can get a salad instead. I took two grandkids and the kids meals look decent and for a little more you can get an unlimited root beer float. The tavern burger is just $6.99 so not bad at all! The service was good though I can see where the place can get quite crowded. These places deserve recognition and just because they are national does not mean they are crummy. Inside is attractive though it can get noisy.  Just pick a good time and you'll be fine. The menu is large so much to choose from. I see no reason to bypass this place whatsoever! The food is good and it worth stopping in for a meal.,https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Geoff B.,"Las Vegas, NV",1,37,10,1.0,9/28/2016,I have been waiting for my food for over an hour still nothing. No silver wear no food. This place is a dump I will post a picture of what I'm sitting next to. I would avoid this red robin at all cost drive to the next closest one.,https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Chris W.,"Arvada, CO",3,49,14,5.0,10/3/2017,"I've loved Red Robin since the late 80's and they've stayed consistently great over the decades to remain a favorite spot for my kids, family, and friends. While their burgers are among the best anywhere, it's the endless friend (with ranch!) that really keep us coming back. Glad they haven't spoiled this feature and realize it's a valuable signature feature. Most locations also have very friendly and efficient wait staff (though I've had a few stinkers over the years, to be sure). In short: for kids (with their own huge menu) and adults alike, Red Robin never disappoints.",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Allie Mae W.,"Ralston Valley, CO",168,4,1,5.0,9/23/2017,"Had a fantastic experience here this evening, Brendan was our server and he and his manager were both great, he had our good remade because he was not satisfied with the freshness of our bun and had great attention to details of our order. All was made right above and beyond what was expected. Will definitely return! Thanks Brendan!",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Sarah D.,"Arvada, CO",0,73,2,1.0,12/20/2017,"We used to come to this Red Robin all the time when I was younger.  It was fun, clean, the food was good...it was the place to go for weekend family dinners and seemed like everyone in town went there.  Went here for the first time in a few years last week and was really disappointed.  We got there at 4:45 on a Saturday and were told there was a 30 minute wait for 3 people.  When we were finally seated, there were tons of empty tables.  It seemed like the wait was due to short staffing, which shouldn't happen at dinner on a Saturday night.  My menu had food all over its pages and the floor in the area we were seated in was absolutely disgusting.  It looked like they hadn't swept in days.  We ordered a single order of mozz sticks, which the people we were with had done just a few months ago, but where told they don't do that anymore, you have to get a double order...seems like they could have easily made the single order and priced it anyway but just wouldn't take the time or effort to do so.  The food was fine, nothing outstanding and nowhere near as good as I remember it.  Luckily the service was pretty good.  I just feel like this restaurant has gone down the drain.  It used to be really really good and fun but I left this time feeling sad and kind of gross.",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Christian B.,"Broomfield, CO",292,695,1702,3.0,6/27/2016,"I happened upon this place for lunch while in the area. This place was really busy but there was only one waiter for the whole dining area so service was really slow. I ordered the Bonzai Burger which came with a grilled pineapple and a tangy sauce. The burger was an interesting flavor combination, the sweet of the pineapple mixed well with the tangy sauce and while I usually put ketchup on my burgers, this one did well with out it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Salochin R.,"Denver, CO",0,42,,4.0,5/4/2017,"Every time we went has been a better experience. Dan was our server. He was observant, knowledgeable and attentive. Appears there's a bit of trouble within this restaurant, but there always employees that handle it better than others. Dan is one of the employees.  The person for the reason of my last review is a person that seems to be a bit of an a hole. (would love to say more) Kyle, bad service last time we had him and I can see he's not the best with his Co workers.",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
Tobie T.,"Denver, CO",0,26,,1.0,12/18/2017,"Everything was going good in the beginning. We had a large group, and they seated all of us in a timely matter, which was great. Our server Rosie was nice, but we waited for our beers for about 20 minutes which was a little frustrating, but we were patient because they were busy. Food was good, other than my hamburger was a little pink and I asked for Super well done. I go to pay, and she comes around to get which items were on my ticket. I told her which ones, there were about 5 orders, I asked if my discount was applied, and made sure she got them entered correctly, which she says yup I have it all here. Then my balance comes up which is all she showed me on the screen, I pay, she added in her gratuity tip, and she tells me please take this survey for me, which I did. And we were done. I had my receipt emailed to me, and after looking it over that night at home, I was charged for things I didn't order. Kinda upset me because I repeated to her my items and she said yes I got it. I should have looked it over myself before paying, but she was so quick to get her survey, and check us out, I assumed everything was correct since she said it was 2 times. I ended up paying almost $20.00 more than what I ordered. Either someone in my group had a less amount due, or she pocketed it. Not very happy, I work in the Marketplace and eat here a lot for lunch, but I think I'm good here for a while....",https://www.yelp.com/biz/red-robin-gourmet-burgers-arvada
