Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Caleb M.,"Litchfield, ME",54,54,149,4.0,7/30/2017,"Yes, this is just another chain restaurant but you can't go wrong with this particular one. Since its opening awhile back I have been coming here over the years. I have yet to have any major complaint in my many visits here. Have had the occasional slow or not attentive enough waitress but was solved as other workers brought the food to the table quickly even if my actual waiter was too busy or slow. Now onto the important aspect of the food they have to offer. While you won't get the greatest burger in the world you'll get plenty of options of toppings or style of burgers here. I like coming here to try out a new burger I haven't had before with a beer on tap and multiple orders of the bottomless steak fries. Some of their burgers they even pair with a specific beer in their menu. Not a fan of ordinary burgers or have allergies, Red Robin has got you covered with the variety of options. Not feeling the steak fries, they have plenty of other options for bottomless sides, such as broccoli, sweet potato fries, and other bottomless sides you can substitute. I enjoy this place for what it is, a burger chain restaurant that offers variety and a good place to hang with friends or family for food and drinks.",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Pam C.,"Greene, ME",1,23,19,4.0,4/9/2017,"This was my first time at Red Robin and I thoroughly enjoyed it!  I do not frequent restaurants known for their meat entree's as I am a vegetarian, but my bff who is also a vegetarian told me that this place has a really good garden burger.  That is what her and her daughter ordered and I got the Four Cheese Melt with tomato.  I eat a lot of salad and veggies and this was a pleasant change.  Not healthy by any means, but it was very tasty!  The place was packed but we were seated in a reasonable amount of time.  All of the staff were very friendly and attentive.  The sauces that came with our apps were the bomb!  The O'Ring Shorty with the campfire sauce and the Baja Dip n Chips with the zesty Baja Ranch are definite reasons to return!  AND they have Gold Peak Tea!!!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Scott C.,"Portland, ME",1,24,8,2.0,7/1/2017,"It's a standard chain restaurant. Our waitress (Michelle) was great. Those helping her serve food were rude and knew the definition of ""slinging"" food. Fries has some weird seasoning on them. Burger was not too bad but not great either. I'd do one star but like I said, our waitress was nice. There are other burger places with better food in the area.",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Jamie K.,"Naples, FL",72,614,5,4.0,9/11/2016,"Very good Red Robin restaurant. Small wait and then we were seated. App, fries and drinks arrived fast. Fries were hot and delicious as were the fried cheese curds and jalapeño coins. Burgers took a while to arrive, it was busy though. Mushroom burger was good, not as tasty as usual though. I had it as a veggie burger too. Waitress was nice, but the experience took a long time. Restaurant could also use a cleaning, old fries under the table and around. Manager came over and asked how everything was. Overall a good experience and will probably be back. It is a very good chain and I eat at them all over.",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Dana K.,"Anchorage, AK",1,1,,2.0,7/17/2016,"Not sure if this is a bad day for the restaurant or what. We sat down immediately, however the restaurant filled up quickly. Took 30 minutes for non-water drinks and 50 minutes after we ordered the food for it to arrive. We would signal waitress and she would walk over to other tables in front of us. The ""bottomless"" refills would take greater than 20 minutes to arrive and only 1/3 of what we had ordered i.e. No bottomless fruit, only regular fries, etc. Multiple of our orders were wrong (dressings not on the side, no broccoli on the macaroni and cheese for the kids, etc. If the food weren't good and great milkshakes this definitely would have been only a one star experience. Turned a pleasant day and favorite restaurant into more frustrating.",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Justin H.,"Salem, MA",0,7,,2.0,9/10/2016,"Stopped in around 7:30pm on a Saturday, eager to eat here due to excellent service in the past. Boy, was I wrong. After an acceptably-short wait given the time we came in, we were seated and our waitress took our drink orders. A few minutes later, two of us had our drink, our third was still waiting on his milkshake. A milkshake that took twenty minutes and two reminders to the waitress to get. Our food came out pretty quickly and was great, at least. But after the food arrived, our waitress disappeared, at least from our table - we watched her leaning against the back wall texting for the next 20-30 minutes. We finally got her attention and ordered a refill on an alcoholic drink - this one took nearly 30 minutes to arrive (and only after loudly complaining while another waitress served the table next to us), again due to the waitress apparently being too busy texting. We finally give up on seeing her again and start to pay using the Ziosk terminal. Understandably, we're unhappy and tip an appropriately-small amount. She is, of course, over to the table immediately once the red light comes on, and starts giving us an attitude about the tip amount. After a minute she realizes we're done and aren't going to talk bout it, so she walks off to another table AND STARTS THROWING SALT AND PEPPER SHAKERS ON THE FLOOR while barely holding herself together. All while the manager and another waitress or two are standing by the terminal watching her. Not a word from her as we walk out, nothing from the manager, nothing from anyone as we leave... The only saving grace for this trip was the food, my burger (smoke & pepper burger) was excellent, and amazingly actually had some pink in it when I asked for medium rare - I haven't been to a restaurant who knew what that means in ages!",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Gary D.,"Augusta, ME",11,1,,2.0,6/5/2016,Our waitress took too long and the restaurant was not busy at all and she had gotten our orders wrong and on top of that we had to go to the bar to order our refills and once we got our refills from the bar the waitress came to the table and was pushing us out the door by asking if we were done and wanted the check. The manager and the bar tender was very nice,https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Deb G.,"Augusta, ME",17,13,10,1.0,9/3/2016,I ordered the fish and chips and there was so much grease the fish was floating in a sea of grease and I had to use one piece of fish just to mop up the grease to make the rest somewhat edible. Later that night I was very sick. I will never visit this restaurant again.,https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
L R.,"Embden, ME",8,8,1,4.0,8/29/2015,"Service was quick and friendly. Wife's teriyaki chicken burger was cooked to perfection and it tasted great. She opted for the garlic fries which came out a little dry but we're nonetheless OK. I had the pretzel bites of beer cheese and they were predictably good. They just updated each table with an automated ordering system. A mini kiosk allows you to order desserts and appetizers from her table as well as paying for your bill, every handy feature.",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
Robert G.,"Gardiner, ME",1,32,,5.0,2/21/2016,"We used to be regulars here until manager Derek left a few years ago. They finally hired a customer-oriented manager named Howard who visited all the tables and made me feel welcome again. It's always had good food, and has many substitution options for folks on special diets.",https://www.yelp.com/biz/red-robin-gourmet-burgers-augusta
