Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Kristin Y.,"Bolingbrook, IL",0,1,,4.0,1/2/2018,This is a great place to go out to eat with your family.  It's not to expensive but not also a fast food kind of place.  I really enjoy my experience everytime I go.  Most servers are friendly and very attentive.  The managers are always walking around checking up on customers and helping out in every way possible to make the Red Robin a great pace! I recommend this place highly,https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
MoMo K.,"University Village, Chicago, IL",462,389,2173,3.0,8/19/2016,"It's okay, not too good but not horrible either. The onion rings were delicious. The portion size seems small for the price. I got the platter for $15 which I thought would be enough to share with my sister but it was only for one person and I didn't even feel full. You can see the picture I took of my platter. It's not like it tastes bad, but thought I could have got more food for $15 especially bc it's not a fancy restaurant or anything.  The service is typical, the waiter was polite and fast. You can pay at the table on an iPad thing and even order from the table as well. No wifi!",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Samy A.,"Bensenville, IL",4,29,2,1.0,9/26/2017,Wat a disappointment we barly moved into area and had the shittiest service my waitress took for ever on evrything literally had finished our food before I got another refill and my kids shakes took like half an hour last time coming here to this location,https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Noel J.,"Wheaton, IL",4,9,9,3.0,7/19/2017,"- great choices and options for burgers - decent choices of fries - burgers were generally decent, nothing too spectacular  - i was underwhelmed by the steak fries - the onion ring appetizers was perfect. No flour, onions cooked, crispy outside - sauces were okay, barbeque seemed to be tangy and housemade, ranch didnt seem so",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Davulcha S.,"Chicago, IL",49,78,1,4.0,9/18/2017,"the Sunday bartender is very friendly and enjoyable!  Went here because of a gift card (hate to say that I would probably never walk into this place unless I had one)  Nachos were pretty good appetizer, the Absolute freckled lemonade was a good deal at under 5 bucks, definitely worth it!  If ever up in this direction, I'd swing by for a drink and app again!",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Karen K.,"Lockport, IL",77,169,1931,3.0,7/27/2016,"I havent been to  a Red robin in almost 10 years.  My son and i did a date night and he wanted a burger so red robin it was.  The service was very friendly, helpful and timely.  We ordered the boneless wings with terriyaki sauce as an appetizer.  My son loved them.  I wasnt crazy about the sauce it had a strong taste of salt or something i couldnt put my finger on but didnt care for.  My son got a bacon cheeseburger he loved it. I thought it was pretty good. I ordered a california chicken sandwich that had bacon cheese tomatoe and avocado.  It was good but I felt like the chicken could of been seasoned a little more.  The fries were standard steak fries and the fruit was pretty good.  It was mostly apples.  I wouldnt mind coming here again but dont think I will be craving it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
A L.,"Lockport, IL",1,86,23,4.0,5/22/2017,"I like red Robin because of the great selection of burgers,  And that you can substitute, unlimited side salad, Coleslaw, or steamed vegetables in place of unlimited fries  I've always been happy with the service here And a nice selection of beers is a plus Nice atmosphere here and family friendly too Their rewards program is an added bonus",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
David S.,"Melrose Park, IL",0,2,1,5.0,5/23/2017,I would like to say that the service at this Red Robin is exceptional. The manager Candice went above and beyond for me and my wife. I would highly recommend this location to anyone in the area. Great staff and even better management.,https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Daniel Y.,"Chicago, IL",425,311,2254,2.0,3/7/2016,"I used to like Red Robin many years ago when I was younger and was indifferent about ingredients and quality. Now that I look back and visiting this establishment over the weekend, I'm disappointed at what Red Robin has turned into. Tablets on every table. An entertainment fee ($1.99) tacked on to the bill as soon as your kids start tapping away at games on the tablet that no one mentions. I'm an attentive parent, but come on... it's way too easy and fast for this extra charge to be activated. Lesson learned. The burgers have gotten smaller since I last visited (over 5 years ago.) Competition from places like Wendy's and Five Guys doesn't seem to have put any pressure on this place. If you want a good burger that's not frozen, check out those places. While Red Robin caters to families, offers some nice deals, and has plenty of space for patrons, I would much rather suggest you spend your money at other establishments that pay more attention to your food than this place. Service was fine and friendly, but it comes back to the food, doesn't it?",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Bob S.,"Bolingbrook, IL",0,25,7,3.0,6/17/2017,"The last few times I have been there were disappointing.  Both times I ordered the red Robin tavern double burger.  Both times, they sucked.  Perhaps next time I'll try a regular burger again.   I actually didn't finish my last meal from there because I couldn't stomach them.  Restaurant is always clean and food presentation is decent.  My family was ok with their meals, though.",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
Kelly K.,"New Lenox, IL",61,165,7,3.0,2/17/2016,"This place is just like every other Red Robin I've visited-so they get points for consistency if nothing else. I did like that this location was much less crowded than Orland, and I'd be willing to drive a bit further in order to have a slightly less hectic meal.  We ordered the pretzel bites appetizer and they were perfect. Burgers were made to order, and arrived promptly. Our server was fine, but not the best. We ordered a refill of the bottomless fries and by the time they arrived we were ready for the check. Drink refills were slow going as well, even though there were maybe 8 full tables at the time. The price is high, which is one reason why we don't come here all that often. You can get just as good of a burger at Smashburger for less.",https://www.yelp.com/biz/red-robin-gourmet-burgers-bolingbrook
