Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Steph D.,"Houston, TX",26,108,6,4.0,1/13/2018,"I've been going to Red Robin since I first discovered one in Oregon about 12 years ago. The thing that really struck me is I wandered in 10 minutes before closing. They not only seated and served me, they were just so cool about it. Since then I've been going to the one on Richmond & Rogerdale way back when the cinema was still there. We have a favorite bartender, Jorge, who always treats us great. And I can still walk in 10 minutes before closing and they will still cheerfully seat me and serve me (to the extent the kitchen is open). Then tragedy strikes! (sort of). Turns out the food allergy that I suspected was to dairy turns out to be (dum dum dum) to gluten. The good news is I can eat ice cream! The bad news is, well, will I ever be able to eat out again? Can I haz Cheezburger? Then I read not only does RR have a gluten free bun, it's the best gluten free bun on the planet! And since their burgers are already par excellence, off we go to RR. And you know what? They're wonderful and I can eat burgers and they're sensitive to celiacs and I can get fries and salad and fruit and all is good in the world. The burger I got was a limited edition, the Chimi Fresco. It was awesome. I can't get beer, but whatever. I'll have ice cream.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Emma M.,"Houston, TX",0,5,6,5.0,1/7/2018,I must say the staff were beyond superb. The really know how to make you feel comfortable. The menu is extensive  but they helped you work around what is just right for you . The zucchini appetizer is delicious and their fires were absolutely fantastic. We had a lot of laughs with the staff and recommend it to anyone who want a scrumptious burger and a great atmosphere.,https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Sarah A.,"Westside, Houston, TX",0,1,,2.0,1/5/2018,"Their food is good but their to-go service is terrible. I probably order from them about once a month and do curbside pickup. I truly cannot think of one time they have gotten my order perfect. Missing ranch, no plastic ware, wrong burger toppings... They are also sooo slow. I will select pickup for noon, come in at 12:15, and then still be waiting 10+ minutes. And they're not even busy.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Clint M.,"Houston, TX",391,509,188,3.0,5/25/2016,"I don't swing by here as often as I used to ever since the Tinseltown closed, but this is still a great place to grab a burger on a lunch break, or to hang out with friends.  They've revamped their menu to include premium burgers and ""Tavern Doubles"" (smaller, cheaper options), but at their core they're still a diner with good classic burgers, fries, and milkshakes, plus a bar. The last couple of times I've swung by, I've gone straight to the bar area and ordered there.  The bartender is usually busy with multiple customers, but is quick to take care of everyone.  They're always friendly, and service is usually quick.  The only knock on this place is that they seem to serve a smaller amount of fries every time I come.  I mean, I get that it's unlimited and I can get more, but why use that as an excuse to serve me less up front? There are better burgers in Houston, but if you want a classic place where you can go with a group and also grab an alcoholic beverage (besides a beer), there are few better options in town.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Stacy W.,"Westside, Houston, TX",0,15,,3.0,10/25/2017,"Red Robin is hit or miss.  One week they will be spot on, food perfect great customer service.  Then the next time it takes 30 minutes to get a burger that is undercooked. The new curbside pickup is unorganized and you might as well go inside if you want your food hot (still a 10 minute wait)",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Jocelyne M.,"Houston, TX",0,2,,3.0,7/30/2017,"This was my first time trying it out, I actually really enjoyed our food. But the service was horrible, the waiter would not come around.  At one point one of the managers I believe since he was wearing a dress shirt had to come and help us with the order. I had to also go to the bar and ask for napkins since they never gave us any. I would recommend the restaurant but at a different location, maybe the service there would be better. Overall the food was great, they serve bottomless fries with your order, even though we weren't able to get more since no one was around. It was delicious, hopefully if I ever come again the service will be better.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Ema E.,"Houston, TX",177,82,4,1.0,9/13/2016,"i have  TRIED to give this place the benefit of the doubt BUT......THE BURGERS HERE ARE DISGUSTINGGGGG. OMG. i have 3 different ones at work for lunch, but.....all is lost. the burgers are either not cooked well or properly...or they give you AN OLD BURGER. also...the steak fries are HORRENDOUS....and are usually cold.  yuck yuck yuckkkkkk. forget it. I can't try anymore. I have officially given up on Red Robin. ewwww.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Jt F.,"Carriere, MS",0,15,16,4.0,12/9/2017,"I ordered a black and bleu burger with a Guiness but got told they were out, of Guineas until the bartender found a lone bottle.  The burger was good and the beer nice and cold",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Latonya N.,"Sugar Land, TX",70,33,120,4.0,2/12/2017,"This is one of my quick lunch spots for a good burger. I tried their new Smoky Jack Tavern Double Burger which was very good. It was two fire grilled patties with smoky campfire sauce, bourbon-infused whiskey river BBQ sauce, melted pepper jack cheese, pickles, red onions and lettuce all on a sesame seed bun! Nuff said.... I got mine minus the lettuce..... this burger was GREAT. Full of flavor. A must try.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Marilyn A.,"Houston, TX",0,7,2,5.0,3/11/2017,"I have never eaten here before. It Was awesome. The general manager Chris was a top of everything. The other manager hosted us. Our server was knowledgeable, friendly and attentive. Food: We ordered grilled cheese, Prime Rib dip, Blue Cheese burger...garlic cheese fries, sweet potatoes fries...all Great. Ranch dip was yummy.  Our fries & drinks were bottomless. An amazing.  I have to recommend it and I will be back!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Bianca N.,"Houston, TX",6,122,87,4.0,3/28/2017,"I went twice this week, basically had the same thing. Appetizers were very good and reasonable. I had a good $3 side salad wedge, with 2 changes no ranch but honey mustard, no blue cheese but cheddar. Had wings. My quest had a cheese burger and fries, and enjoyed it. Went again with kids, burgers tavern and turkey with avocado with purple lemonades - both kids said way too sweet. I had my salad and wings again. This time the waiter did not ask boneless or bone in? I got boneless which I really don't like, kids ate them I got a second side salad. So, 1st time 4 stars second time 3!",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Lisa J.,"Houston, TX",12,80,19,4.0,7/1/2017,I've eaten there a few times and each time the food has been good as was the service.  I really enjoy their Guacamole Bacon burger as well as their Avo-Cobb-O salad. :),https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
Tammy S.,"Decatur, MS",40,5,3,4.0,9/30/2016,"Our server wAs so great!!  Thank you so much, Andrell.  It was pleasure having you as our server!!!! Great smile and so very helpful.   Food, excellent (as expected ). The new ordering device was still working out the ""kinks"" Four stars due to the new devices.",https://www.yelp.com/biz/red-robin-gourmet-burgers-houston
