Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Chuck M.,"Fort Worth, TX",1282,673,344,5.0,7/4/2017,"Each and every time we visit Red Robin, it seems to get better and better. What a surprise we had today when we walked into the NE Mall location, they had remodeled! What a beautiful job was done. The new chairs at the new tables are SO comfortable. My wife had the Tavern Double Burger and I opted for the Sirachi Tavern Double Burger. Of course, we had to have Red Robin's bottomless steak fries. I totally love the Red Robin Seasoning Salt and their spicy ketchup. Our burgers were wonderful and prepared perfectly. Mike, our server, took excellent care of us. The Purple Popping Lemonade was just tart enough to quench my thirst on a HOT July 4th. Thank you, Red Robin, for an awesome time and a bright newly remodeled location, you ROCK!",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Lone R.,"Hurst, TX",0,5,2,2.0,9/30/2017,"Used to my favorite burger joint, best burgers around... until last night - Sept 28, 2017. The restaurant has remodeled and apparently threw out the good cooks with the old furniture.  Burgers were dry, over cooked and not near as tasty as before.  My wife's meal came out in two servings, with the main course being 20 minutes afterwards.  It was overcooked and not the same good quality meal as before. The waitress ran her tail off trying to make things right and even had the manager get involved.  Sure they took off a bit for my wife's meal but that's not what's important - we wanted a nice, peaceful and enjoyable meal but it's not the same Red Robin we used to enjoy. Not sure if we'll be back anytime soon.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Ashley P.,"Frisco, TX",117,90,186,2.0,9/5/2017,If you're looking for a good burger from a chilis-like chain this is a fine place to go. They cook the burgers well and their choice of bun is great.  Steak fries are my favorite but that may be because I loved them in my childhood and am hanging on to that (??). And their campfire sauce with it is yummy. Bonus points that they're bottomless. Make sure you shake some of their seasoning on it though.  Freckled lemonade - bland.  If you want a want a safe place (in terms of food) that's kid friendly it's a good option.,https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Nicole S.,"Keller, TX",196,224,301,5.0,12/10/2017,"I've been coming to this location for years and always get great service. The food is always fresh and hot, the staff is friendly, the food is really good, and I just love coming here. I really love the bottomless fries!",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Matt R.,"Fort Worth, TX",12,15,,4.0,12/23/2017,"Last night, we split an order of Fish and Chips, along with a mini tower of onion rings. All of it tasted good.  This morning, I am sore and achy. I think I shouldn't be eating so much greasy food.  RR was fine. Service was great-Abby, I think? We just have to curb the grease...",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Dru T.,"Denton, TX",41,101,104,4.0,10/11/2017,"I ate here for lunch the other day and had a pretty great experience!  I did not get my waitress' name unfortunately, but she was friendly and attentive.  The burger I had was delicious.  I did not like the mayonnaise that came default on the bacon burger, but I will ask them to leave it off next time.  I am not a huge fan of their fries either, because they are more like thick cut potato wedges, and I like thinner, crispier fries.  That is more my personal preference though, and for potato wedges they were done well.  The burger meat and buns were perfect though, plus the restaurant was clean, and the service quick and friendly.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Holly C.,"Fort Worth, TX",36,95,3,1.0,6/2/2017,"I was really not thrilled with my first visit to Red Robin. We decided to come here since they had gluten-free buns and a lot of people I know are big fans of the place. Maybe I just got an off night, but my overall experience was not great. For one thing, I am apparently not the brightest, because I didn't realize that aioli = mayonnaise. I'm not a fan of dipping fries in mayo, so that's probably my mistake. I also didn't really enjoy being charged extra for gross mayo that I didn't even use (only 75 cents, but still, it's the principle.)  The atmosphere was kind of loud, like a sports bar. Our server was friendly enough but she told us some gross story about eating until you puke, so you can then go back and eat more. The burger and fries were fine, but not memorable enough in contrast to being charged for flavored mayo to dip my fries in and a server with unpleasant and inappropriate conversation. Red Robin is now shorthand between me and my husband for ""bad restaurant experience,"" so needless to say, I don't plan on coming back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Ted R.,"Colleyville, TX",3,19,,1.0,10/13/2017,The service here is horribly slow.  No one is here.  We've been waiting 30 minutes for first round of drinks.  Well over 50 minutes for food.,https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Andrew W.,"Fort Worth, TX",188,75,198,2.0,6/25/2016,"Mediocre food, mediocre service. From the hostess to the waiters to the confused staff standing around, our service was pretty poor. Everything kind of felt like a flustered mess. It was often difficult to get any attention from our waiter. Once we finally got food, it was pretty underwhelming. I was surprised because I had always heard pretty good things about Red Robin. I'll update this of I go back, but, there's a lot of burger places out there. I doubt it will be anytime soon.",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
Jamie Y.,"Arlington, TX",10,4,6,1.0,10/10/2017,"Well we just tried have lunch and got walked all over the restaurant to sit, because they didn't know where to sit us. Then gave some excuse as the busser left. Horrible service, we even waited and had to get someone's attention to even be acknowledged. We didn't even eat we left! Very hangry now!",https://www.yelp.com/biz/red-robin-gourmet-burgers-hurst
