Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Robert R.,"Sugar Land, TX",95,81,32,5.0,9/5/2017,"I had the Sriracha burger, fries and some ice tea.  What a surprise when they said that my meal was on them and that they wish Houston well! The burger was juicy and full of what I love - tomato, lettuce, fried onions.  The fries are always good.  Thank you Melissa!",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Joseph P.,"Madison, WI",36,27,37,4.0,8/14/2017,"First - Love Red Robin. Ordered to go and meal was ready, accurate and easy to get in and out. Could use a ""pick up to go at bar"" sign or something like that. Meal was ready - asked for an add on when I picked up and the server quickly grabbed the extra side plus one of the campfire/fry sauces (which is a MUST have if you get fries). Good was well prepared and good packaging kept it ""fresh"" or ""hot and ready"" when I got back to the Hampton. Good location and easy to get to and from if you're staying at a hotel in the area.",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Amber V.,"Fall River, WI",39,160,306,5.0,1/13/2018,Food never disappoints. Service is always quick and the wait staff is always friendly. They're always very accommodating when you want to switch things up. And the kids love going here. The prices are reasonable too.,https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Jenee J.,"Madison, WI",26,30,59,3.0,12/15/2017,I went with a large group after a Badger came a couple of weeks ago (they put your name on the list when you call ahead--very convenient).  They were accommodating and the service was attentive and the food solid as usual.  It is all so rich that I always feel like I over-eat but they certainly live up to their name for burgers.  Lots of choices for the burgers and lots of yummy non and alcoholic drinks to go with the meal.   They also have screens up around the bar area so those in my party  who wanted to keep up to date on other games that evening could check in while we ate.  When it is busy the atmosphere is loud and so it really isn't someplace I'm inclined to go usually but with a group it fits for a large group who have diverse tastes (if they all like American that is!).,https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
William M.,"Bacliff, TX",100,2,,1.0,12/23/2017,"Waitress Kaitlyn took my order but when I went to tell her what NOT to put on my burger she walked off took twenty minutes and me finally screaming at another waiter to get help! As well the Managers Have a sick employee walking around coughing toward people's food, without covering HIS mouth! When I say cover you mouth he looks at me like I'm the issue, very BAD experience here and crappy service from waitress! As well as Diry Tables!",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Elizabeth R.,"Madison, WI",289,541,118,3.0,7/5/2017,"Red Robin is a solid choice.  Simple, burgers, sides, simple.  You can get bottomless fries or exchange it for a salad.  My only complaint?  I don't feel like there is much service.  The business model is to seat you, get you a drink and then wait for food.  Great, but my beverage is running low?  Something wrong with my food?  I get one check back.  And it is not that it is bad service, it is just corporate.   Also - appetizer sixes tend to be a little small.  Actually, really small.  Never really worth it.",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Vilay W.,"Windsor, WI",55,195,339,3.0,8/4/2017,"Took my daughter here. She had grilled cheese and I had a grilled chicken burger. The grilled cheese was really salty. I don't know if they added salted butter or what. But wow! It was really salty. The place was busy, service was pleasant and I have no big complaints. Just a really salty grilled cheese sandwich for my daughter. She nibbled at the cheese and ate her broccoli and that was about it. I think it's cool that they had tablets available to serve as a distraction for kids while we wait for food. They gave my daughter a balloon, which was really nice. The margarita was good. We rarely come here but have always had a pretty good dining experience.",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Ashwin A.,"Chicago, IL",8,20,12,1.0,9/11/2017,"definitely not going to come back here here again. I ordered the prime chophouse burger which I hoped would be good but was very disappointing. It didn't have any hint of horseradish, very less onion strings, the patty was very thin and the coleslaw side didn't have any seasoning. if you are going to spend 11$ on a burger, there are far better options.",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Jacob M.,"Madison, WI",7,56,32,4.0,8/26/2017,"We don't come here often, but when we do, it doesn't disappoint. The service is okay. It seems a little hands off, but at least it's friendly. The place is straightforward. The burgers aren't super elaborate, but their options are good. Bottomless fries are simple but seasoned well. Easy check out with the tablet system.",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
Tamara B.,"Beaver Dam, WI",18,79,39,2.0,7/26/2016,"I haven't been here in awhile. I remember it being better. I had the Royal Robin burger and it was about average. Fries were okay. Decent seasoning. My 14yo had the fish and chips which he enjoyed. I had a bite of his fish and thought it was pretty good. My husband ordered the nacho burger and we are pretty sure he did not actually receive the nacho burger. Shame on us I guess for not saying something, but it ended up being okay, whatever kind of burger it was. When ""and brews"" is on your sign, I guess I'm expecting some better options. Very few, what I would consider craft, options on draft. Had some okay craft bottle options, but not many. I don't think their beer menu is much more than it was when they didn't have ""and brews"" on the sign.  Overall it was okay, but there are so many better options in Madison, I think we'll check those out instead from now on.",https://www.yelp.com/biz/red-robin-gourmet-burgers-madison
