Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Sparky Jr. D.,"San Jose, CA",2,42,133,3.0,1/4/2018,"Sorry I have to do this, Red Robin. I've been a pretty consistent fan of this restaurant for the last three years for its cheap prices and friendly staff. The food has always been okay; no complaints there. Not too long ago, the staff was very attentive and bottomless fries still existed! Now, good luck tracking down your server for napkins or a refill on those ""bottomless"" fries and root beer floats you paid for.  I appreciate the efforts our server made today to at least acknowledge our presence after 10 minutes of being seated, but the fact that it took him 20 minutes since we were seated to actually put in our order shows how understaffed this restaurant is. Our server was running around to so many other tables I couldn't even keep track. I don't blame him, but I do hope that this restaurant gets him some more help and other employees on the floor. Additional stars given for Daphne, Tiffany and Steven. I've never seen such enthusiastic workers and despite the wait time that comes frequently when dining here, I've always enjoyed their service and appreciate their hard work. Hope to see some improvements and some new staff members to help out!",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Shannen R.,"San Jose, CA",267,400,228,3.0,12/27/2017,"I've been to a few Red Robin locations in the past. I'm going to have to say this again: ""Red Robbiiiiinnnn....yuuuuum."" S/O and I were looking for something to eat before we head into REI. Came around 2:30 and the place wasn't packed. We had to wait about 10 min to get seated. We waited another 10 minutes for someone to take our order.  Our waitress was really nice though, so that's a plus. S/O ordered the Burnin' Love Burger with onion rings. He finished his meal quick so it's safe to say that he likes it. I ordered the chicken burger with garlic fries. I liked the garlic fries more than my burger, so that says something. Each table has it's own mini tablet where you are able to order games and pay for your meal with a card. It's easy peasy to use if you will. Otherwise, bring enough cash + tip so you can walk out quick. Not a big fan of Red Robin but it sure fills you up quick.",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Brandon Y.,"San Jose, CA",827,615,1134,2.0,12/13/2017,"Solid 2.5 stars - went here for ma's b-day because she loves the bottomless fries, though overall nothing really stood out too much. At over $11 for a burger, even though they are 1/2 pound burgers, I expected a bit more. We got the chips and guac appetizer, which didn't really feature that many chips or that much salsa/guac, and it took a while to get more fries and pay, despite the digital menu device blinking. Overall, I feel like Red Robin has potential, but there would need to be an improvement in quantity of food and service that would make me more inclined to visit more often.",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
an l.,"San Jose, CA",90,188,283,1.0,12/12/2017,"I don't even know how this place remains opens. The staff seemed more concerned with socializing with the cooks than serving the customers. We were seated at 835pm. Had to click ask for server on their touch screen at 845. At 850 she came and said sorry. Ordered and since we were starving, we asked if we could have our fries first. It's 905 and we still have not had any food delivered to our table especially the fries that we asked for first. When our food was finally brought to us, we were given no utensils, no napkins, no ketchup. Our waitress stated she would bring it right to us and we watched her go take another order to the bar, check on two other tables before she brought us anything.  There were only four other tables in the restaurant at the time we were there. Onto the food. Our fries were cold and the burgers were soggy from too much sauce. It wasn't the burgers I was used to eating at Red Robin years ago. I've never been so disappointed in a burger ever. This was worst than a Carl's Jr. burger.  Sure enough she never checked back in on us. We paid on the little kiosk they have at the table which takes away the whole food ""service"" aspect of working in a restaurant. I guess the up side of being able to pay at the table is we didn't have to flag down the waitress who didn't do anything other than bring our food to us. She did not deserve a tip and Red Robin did not deserve us as patrons. One star is more than what this place deserves. Last but not least, I checked my email receipt and was charged 1.99 for entertainment center which we did no use for any sort of entertainment other than paying. This place is a scam.",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Heather R.,"San Jose, CA",11,65,110,2.0,8/28/2017,"This place can be a hit or miss, and Saturday's dinner was definitely a MISS. We got there around 4:45, so I wasn't expecting service to be slow. Took about 10 minutes for our server to greet us after being sat. I ordered a simple chicken, lettuces wrap sandwich. Delicious. No problems there. But hubby's food on the other hand, unacceptable. He ordered a bacon cheeseburger from the gourmet section, and that's where things went very wrong. His patty was BURNt!! Wtf. Shame on you cooks for having the balls to serve it. Then they had the brilliant idea to have the burned part of the patty turned over because you know, we wouldn't be able to taste the burnt-ness that way.  We let our server know right away (which took another 3 minutes or so because I flagged her down), and she swapped it out for us.  Will we be back? Probably. Only because we live close by.",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Melanie S.,"Seven Trees, San Jose, CA",176,131,297,3.0,11/20/2017,"We were seated right away. The server was very friendly and extremely attentive. His name was Elliot. My friend enjoys coming to this particular Red Robin because it was the place of her first date  with her boyfriend. She recommended the pretzel bites because of the beer cheese it comes with. She was right, it was delicious! We ordered the bbq chicken wrap to share and they were accommodating because one of us wanted chicken and one of us didn't. We added avocado and this also was delicious! I did notice other tables were having difficulty with their orders being brought out. One table offered to pay $5 for their drink and wanted to cancel their order because of the long wait. Either my friend and I were not aware of the long wait or our server was just on top it! I had a pleasant experience and will probably come back.",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Dante T.,"West Palm Beach, FL",0,8,1,1.0,1/6/2018,"Under staffed. I was told our server ""John"" would be with us shortly, our server was some chick. Not John. Weird. Silverware had a booger lookin thing on it. Bleh",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Melissa M.,"Campbell, CA",0,30,4,1.0,12/19/2017,"Burgers are usually pretty good. The rest of it, not impressed. Arrived around 11:15 to an empty restaurant and a 15 minute wait. Not a good start. Was starving, so ordered quickly, and added a salad so we could have something to munch on while we waited. That was a waste, as it showed up with the rest of our meal. Couldn't get our waiter's attention to save my life. Good luck getting bottomless fries. Asked for medium well burger, it was raw.  I understand s*#! happens, but this has been the experience I've had for at least the past few visits and I'm over it. Didn't bother mentioning anything to the manager because I did during my last visit and he was defensive, rude and dismissive. There are way too many restaurants around here to bother with this one, spend your money elsewhere.",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Amanda P.,"San Jose, CA",76,46,54,5.0,7/26/2017,"Phenomenal service from our waitress Tiffany, if she hasn't been given a raise yet, she definitely deserves it. Came with two of my friends around 7:30-8:00, hoping for a good bite. We ordered two appetizers being the onion rings and the chips and dip. Both came out fairly quick and was super satisfying. About my meal, I had the french onion soup as well as the Garden Burger (got the veggie patty but you can opt out for the vegan boca). Can't say I remember the prices of my meal but it was phenomenal. The French onion was super creamy with the amounts of melted cheese that was on top and the veggie burger tasted healthier than I expected. Woo-hoo! I also ended up signing up for the Red Robin's rewards system which seemed to have great perks as you build up your criteria. Plus a free burger on your birthday month! Overall, super satisfied with the restaurant's hospitality, the steamin' food and the open environment to just enjoy a meal with friends. Second time at this location and both 5/5 stars, great job guys!",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
Mark O.,"Bellingham, WA",163,239,737,4.0,4/16/2017,"This is a busy location, but we were seated fairly promptly and received excellent service. Although it was a little noisy, the food was excellent. I ordered a Blue Ribbon Burger which was prepared exactly to my specifications. My three companions and I shared a guacamole, salsa and chips appetizer and the waiter brought us additional tortilla chips quite promptly. My companions seemed quite pleased with their meals (Salmon Caesar Wrap, Whiskey BBQ Burger and Mac-n-Cheese + a cup of Red's fabulous French Onion Soup). I was pleased and surprised with the efficiency of the kitchen and the quality of the service we received which enabled us to get to the theater at West Valley College before curtain time! Bravo!",https://www.yelp.com/biz/red-robin-gourmet-burgers-san-jose
