Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Marilia M.,"Burnaby, Canada",35,22,37,4.0,8/19/2017,I LOVE red robin for many reasons. They have a wide selection of items so you're definitely going to find something that sounds appetizing.  They offer bottomless fries which is always great.  Their burgers are DELICIOUS! I always try a different one when I go and it's a great place to bring friends and family. Their salted caramel milkshake blew my mind. Their onion rings appetizer is really great for sharing and so are their Chinese ribs (I think that's what they were called).  If you visit red robin a lot make sure to sign up for their loyalty program to take advantage of their great offers,https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Vitor L.,"New Haven, CT",7,52,17,3.0,11/4/2017,"We've been here two times, the good was good in one of them and quite bad in the other.  Service and the atmosphere were always good. I really enjoyed the Smoke and pepper burger. On the other hand, the mushroom burger was very soggy and unappealing. My wife ate the gluten-free burger, which was just ok. Their GF bun is not too bad, but it's difficult to find a GF burger sauce.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Nancy H.,"Vancouver, Canada",323,1272,,5.0,8/17/2017,"Our family's experience at this Red Robin site was terrific! We just moved here from the Seattle area and are used to our local RR (in Redmond, WA). I was skeptical that this downtown site would be as good as our old hometown site that we know and love. We were pleasantly surprised: this RR was definitely as good or perhaps even better than our old hang-out in the States! We opted to walk the stairs to the outdoor patio deck, as it was a hot and sunny day. What a great outdoor venue up here! And our server was the nicest guy EVER (damn if I can remember his name, though. He was from Bellingham, WA, though, so we chatted a bit about  Seattle and Washington state).  We loved how our American RR rewards card (and all our points) were transferable/usable here in Canada, too. Much of the menu was the same (which is a good thing!), including their bottomless fries and refillable freckled lemonade. There was a lovely girl who kept bringing my kid more fries and lemonade before we even asked her. The server staff here was incredibly on the ball. (The only difference I recall on the menu was the addition of poutine here. My kids thought that SO cool! We didn't order it, though; it will have to wait for next time). Love the fact that they still offer the free birthday burgers here. Oh, and I opted to have a salad which was definitely larger and, dare I say it, better than the RR salads back in the States. (Our American RR restaurants ""updated"" their interiors and their menus the past few years and the salads were changed - not for the better, IMO. But here they were as they used to be back home: larger, fresh, delicious. Easily shared by two people).  Great place for families. Great menu. Great patio. Great service (super nice servers). Great reward program. Great location downtown. Just.....great!",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Simon S.,"Burnaby, Canada",114,384,1553,4.0,7/18/2017,"Went with a friend to redeem my Red Robin Royalty free birthday burger (comes with the usual bottomless fries!). As I was feeling like I had had too much meat recently, I went for the Garden Burger which, sad to say, is just OK, and that's if you immediately take out the pickles so you don't just taste pickles. Do NOT come to Red Robin for their veggie burger even if you do a patty swap. For approximately the same price (sometimes LESS) you can get a way more interesting and tasty burger (but with a meat patty). Contrary to my way-back-when experience, to redeem my birthday burger all I needed to do was give them the phone number attached to my account and confirm which burgers were part of the promo. No fuss at all. However, my friend got the Veggie Fajita, and OMG it was totally not what we were expecting -- in a good way. Generous almost for-two portion for $14.99, and although they start you off with about 4 wraps, it is clearly not enough and you can get free refills. Veggies are cheap (it looked like mostly onions) and clearly they don't skimp on it maybe because they can. NON-alcoholic drinks are big-portioned and cheap! My Coconut Pineapple Smoothie was just $4.69 and pretty tall. Heck, even the water is jumbo sized so they don't even have to come around and refill it because you are unlikely to drink it down to even half. Cronuts are OK, though sweet and a bit oily-feeling so personally I don't like them much. The main thing about them though is they are light and airy. If you are thinking of trying them but feeling full, just get the short 4-stack and you'll be fine as there's no way they are gonna fill you up. Friendly service, great value",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Sammy Y.,"North Vancouver, Canada",53,42,98,4.0,9/22/2017,"#BringBackChainRestaurants!!!! Considering VanCity is very hippie-dippie with its obsession with organic, 'gluten-free', picture-friendly foods, good chain restaurants like RedRobin is dying out. Their burgers are great! The bottomless fries are thick & well-done! The bottomless FreckledLemonade is a classic! This used to be THE spot to go... now their burgers seem slightly smaller with an interior that's not properly maintained... sticky tables & unclean cutlery etc... But I have hope! The SriRachaDouble was excellent!!!! The service was friendly & the price is always decent!",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Priscilla Y.,"Vancouver, Canada",104,497,1708,3.0,12/26/2016,"Came back for free burgers! and thats really the only reason why...but we got the chicken california burger and the whiskey river burger! shared between the two of us and it was tasty, service was pretty quick (it was kind of empty) and we received our free ice cream sundaes too! the california chicken was my favourite because the avocado and chicken made for a great combo while the bbq sauce wasn't too obvious in the whiskey river and onion strings got lumpy fast!  Got the caesar salad side (standard, kind of boring) and bottomless fries of course.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Gayan P.,"Yaletown, Vancouver, Canada",98,132,285,4.0,7/15/2017,"Good burgers. Their new line up of burgers are not as good as their classic ones. I'd stick to the classics. The place is a bit stuck in a time gone by, but I think it still has a faithful following. I hope they don't go away. The Broadway location shutdown.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Stephy Y.,"Richmond, Canada",103,515,1238,4.0,11/25/2016,"This is my second time at this location. The service was amazing this time around. Our drinks were refilled at a timely manner. Our food did take a bit long but it tasted better than the last and possibly better than the first time I tried RB. We came for the Tavern Tuesday which is buy two beverages and a burger, entree or entree salad and get a double double tavern burger free.  We ordered: Popping purple lemonade (3/5-$4.69): They use their famous tornado glass to serve this drink and it was pretty. I'm not a huge lemonade fan but it'll do. It's more on the sweet side than sour. Raspberry syrup is used, hence the purple. Raspberry cream soda (3.5/5-$4.69): A bit sweet but it liked that they actually add some whipped cream with a cherry on top.  The big sky (4/5-$17.69): A bit pricey but it tasted   was served in a ciabatta bun, had an onion ring, bacon, the patty and goat cheese. Not sure if I missed anything else that was in there. It's a bit smaller than I expected too.  Bleu Ribbon (4/5-$12.69): My go to burger at RB. Didn't know blue cheese would go so well in a burger. But I remember requesting for blue cheese in my burger elsewhere and it was awful so RB it is if I want this kinda burger.  Double Double Tavern (3/5): Reminds of a McD cheeseburger but then again I haven't had McD since I was a kid so.....this is how far my memory goes. Not a bad burger. You do get double patties. Not sure if it's worth the deal though. You might as well get this if you plan to order drinks and you don't mind simplicity.  --- First time: Onion Ring Tower (3/5): I know a lot of people raved about this but other than it's served in a tower, I didn't see or taste anything different from the onion rings at another place.  Mad Love Burger (2.5/5): Can't quite remember what was in this but it was limited edition and my friend decided to get this. All I remember was it didn't taste good and was on the dry side. Don't see this on the menu anymore.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Lisa Marie M.,"Vancouver, Canada",1510,502,4163,2.0,2/13/2017,"Very disappointing.  After having a great experience in Bellingham, we went in expecting the same. Sadly it wasn't meant to be.  The elevator up to this location is dirty and sketchy, although the location is great. We just had to wait a few minutes before being seated.  The server was quick to offer us drinks. They were out of the beer special. So they offered another kind, and my husband decided to go with that. My cocktail was overly sweet, and couldn't really taste any alcohol.  I ordered the steak fajitas. I asked for no onions, and was told that it might not be possible. I said if not I would pick them out. My husband ordered the Bonzai burger with the bottomless fries.  The fajitas came and they were over 60% onions ! The green peppers were actually grey, and the steak was awful. I could totally tell this came out of some sort of frozen package, it was defiantly not fresh - I guess this is the reason they couldn't take the onions out. When I told the server, she asked I I wanted to order something else. I did - and that too contained onions as well ! I was so mad at this point. A manager came over. She ended up taking both items off the cheque and comping my drink, but I left still hungry and completely frustrated !  I don't know how or why this place went downhill so bad. #neveragain",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
Belinda J.,"Calgary, Canada",39,149,1120,5.0,6/29/2017,"I have gone to Red Robin for dinner with my friends and co-worker couple times. We had dinners in different locations every time but most were the downtown branch.  It was always super busy and had to wait for a table. I remembered we had to wait about one hour to get a table one time. So, you should go there early before the lunch/dinner time. Once we sat down, service was pretty good and fast. The restaurant is large and has lots of space inside. Once we sat down, service was pretty good and fast. The menu looks very fancy and easier to order food by looking at the colorful image on the menu. The food came very fast. They were fresh and tasty with large portions.  Prices are reasonable. Their Burgers were my favorite and they were very juicy. The French fries were great too. You can free fill anytime you want.Very enjoy my dinner at Red Robin.",https://www.yelp.com/biz/red-robin-gourmet-burgers-vancouver
