Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Jana B.,"Naperville, IL",7,21,5,4.0,2/3/2015,"It was the first time I went there after they remodelled it. And I have to say I really like it. I have been there many times and I really like their burgers and fries. The staff there is super friendly and helpful and they have great customer service. I went there with a couple of friends once and my friend orderd a burger, but got a different one served. He only noticed it half way through (actually more than that :-)) and then mentioned it. They were so kind to give him his actual order for free to go, even though he basically ate the whole other dish. That was very nice. The only thing that would make it a 5 star rating for me is, if they had a different supplier for their guten-free buns. They are not so tasty and usually I get my burgers lettuce wrapped instead.",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Derek P.,"Chicago, IL",92,99,60,3.0,10/16/2017,"For some reason, whenever my girlfriend and I are starving on a Saturday, every place nearby is busy except Red Robin's. We appreciate that it never seems to be truly busy. We got seated quickly, ordered quickly, and our food came at a reasonable time. Although, I ordered a shake and the waitress forgot it. Both my girlfriend and I enjoyed our food, but said that we would want try new things next time. I had the Mac and cheese burger, and my girlfriend got some salad, u forget which one. One thing that irked me is that the waitress never asked me if I wanted a refill of bottomless fries. You already gave me a small amount, and of course I want to use this service! That kind of gets me angry.. I'd come here again, but I would hope the service would be better.",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Christina A.,"Atlanta, GA",208,175,101,3.0,6/14/2017,"I don't eat burgers as I'm a vegetarian but I liked it here! Our server, Alyson, was really nice and sped things along when we told her we were going to a movie at the Regal nearby. The spinach and artichoke dip was not that good, but the Mac and cheese was great. They split the entree for us without us asking which was nice. Bottomless fries but they're like steak fries (the thick kind) which isn't my favorite.",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Asim R.,"Lombard, IL",0,112,12,3.0,8/14/2017,"If you want to try different type of burgers, this is the place. It's definitely a once try and then you determine. I just never got the urge to go more than the second time, when I didn't have a taste for a burger here again. Nice setup and environment. Fair to good service.",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Leah L.,"Vernon, WI",25,121,133,1.0,4/8/2017,An Overpriced Burger King.... with better fries.... I know some people that go here weekly and I I think they need their head examined!  The good thing was their onion rings were delicious.... and the kids seem to like it... But then again they don't pay the $100 bill!,https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Trina K.,"Chicagoland, IL",99,920,2433,3.0,12/21/2015,"This is a rounded up review.  Food - 3 stars  Service - 2 stars  When teens ask for burgers and fries after a long day of shopping, Red Robin was on the brain so we made a beeline to the closest one. Needless to say, they knew their order before we sat down or before we pulled into the parking lot. So, we ordered quickly.  One of them was relatively thirsty which means the lemonade was drank in no time. Our server said she bring another and never did. And we never received any water. The burgers arrived and I then noticed we were without a knife and napkins. Additionally, the person who dropped off the food noticed my sweet potato fries looked as if someone had eaten most before they were dropped off.  It took a bit longer for the lemonade refill, a while for a normal serving of fries. I ultimately walked over to the bar to get napkins and silverware on my own. After all, the food was getting cold.  You can use the screen at your table to pay for your meal which explains why service is sort of DIY. .... Perhaps a self fountain drink machine and utensil station are things to come.",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Jennifer O.,"Champaign, IL",49,37,20,5.0,3/25/2017,"You can never go wrong with a Red Robin burger. The other night I took my parents here because they have never been to this restaurant. They really enjoyed their burgers and fries. But, when my Mom's sweet potato fries came out cold...our waiter Dan jumped to make her happy. He brought her out a big basket of hot sweet potato fries that was shareable for the whole table. Way to go, Red Robin! You rock at customer service!!",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
Jim C.,"Lisle, IL",11,11,,5.0,10/22/2016,Great food and fast friendly service! This is easily my favorite Red Robin Burgers restaurant.  The server at the bar was attentive and prompt and made my visit enjoyable.   Great job!,https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
F B.,"Oak Park, IL",1,12,1,1.0,8/16/2017,"It's been awhile since I've eaten at Red Robin. It usually is our go-to place when my kids go with me to work. Today, I was fortunate to have a lunch date with my hubby and youngest son. We arrived at Red Robin at 12:20 pm to eat. The nice server got our order right away. Fast forward to 1:10 pm, and we still don't have our meal. 1:15 pm comes, my husband gets his meal. My order is not done correctly, my son's meal is not ready...AND it's chicken nuggets.  How hard is it to fry up some chicken nuggets.  I'm on my lunch from work.  I'm usually very patient because I use to be a server. But this is so ridiculous. At 1:20 pm, I just tell the server that we need to take it to go. 1:30 pm, still no chicken nuggets for my son, but my meal to go. We decide to leave. I know it was not the server's fault. The manager finally gets my son's nuggets. Our meal is comp'ed and he gives us a $25 gift card. What happened to this place? Thank goodness my oldest son wasn't with us, or I would've had to deal with an hangrier person. Never again.",https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
David C.,"Tucson, AZ",37,8,5,5.0,6/19/2016,Fantastic service from Lauren and perfectly timed food delivery. Everyone enjoyed their burgers fries and onion rings. Highly recommend for fast good food at a reasonable price.,https://www.yelp.com/biz/red-robin-gourmet-burgers-warrenville
