Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Toria D.,"Canton, MI",327,9,,4.0,10/21/2017,This is a pretty good Friday's restaurant. Service is always good and the food is always hot.,https://www.yelp.com/biz/tgi-fridays-canton
Nina M.,"Detroit, MI",315,428,244,1.0,9/24/2017,"After several dine in visits and a couple of carry outs I can say that the service has become inconsistent whether busy or not.  Bartenders: there are 2 regular bartenders that are very attentive. A young lady and a guy named Rob. Anybody else and it's hit or miss.  Dine-in: servers have always been attentive when I have dined in regularly with family.  Carry out/online: check you order throughly before leaving. Neither of the 2 orders I've placed were accurate and I don't understand how it's possible to mess a standard sandwich with deletions and a change of cheese.  Still better than Dearborn or Southfield, but stellar. I'd still come to this location to have a cocktail in the bar area. However, after mindlessly not checking my online order, getting home to is being wrong and having to make a drive back I'm not impressed with the back of the house. Only reason I would dine here would be to use the remainder of my points that I have for free food. Friday's across Metro Detroit are becoming sub-par:(",https://www.yelp.com/biz/tgi-fridays-canton
Aaron A.,"Canton, MI",62,122,2,1.0,3/2/2017,"One of the worst experiences, if not THE worst, of any time I've been at this location. The food (steaks) was sent back not once, but twice, then the 3rd time (sizzling chicken), one of the breasts was scorched burnt. Rachel, the manager, took only 20% off the bill, even after I asked her to remove it fully. (Chicken is the most expensive item on that plate and half was burnt up...tell me how this makes sense.) Rachel has been there for awhile, her employees are already not fond of her, and now, her managerial skills are falling apart....she needs to go. I come in here more than most ppl (once or twice a week, on average), and this lack of customer service is unacceptable. This was to the point of blatant disrespect. The servers and bartenders have ALWAYS shown great service for me. This review is NOT about any of them. I tipped above 20% on the pre-discounted bill so this was not some money issue.",https://www.yelp.com/biz/tgi-fridays-canton
Ryan W.,"Westland, MI",1,8,,1.0,11/16/2017,Horrible horrible horrible! The worst service I've ever had!!!  Food was cold and over done. I'll never be back here again! Should have stuck with chillis where the food and service is always good.,https://www.yelp.com/biz/tgi-fridays-canton
Kellie C.,"Dearborn, MI",79,143,165,4.0,2/3/2017,"This review gets four stars for its consistency in food taste and offering a trendy variety of menu options.  Just a go to for an after shopping treat or some takeout. In this visit, the server was efficient and the regional winner in TGI Fridays mixologist contest. He show off some expert flipping of the shaker and tossing drink moves. Come to canton and check him out sometime.  Got the jack Daniels wings (traditional style) even though I believe they are no longer listed in the menu, they are a long time fav pick. My drink was a margarita with a refreshing Popsicle added. Kewl.",https://www.yelp.com/biz/tgi-fridays-canton
Alley S.,"Canton, MI",0,4,,1.0,3/4/2017,"The service here is literally terrible.  Ordered something and it came with toppings not listed on the menu-- one of which I'm deathly allergic to. Sent it back stating I would have ordered it without had it stated so on the menu only to have the chef come out and act extremely inconvenienced and inform me it DOES say it on the menu. I went and got one. It didn't. No apology. Nothing. Just attitude.  Tried again a few months later asked for a booth. Was told I couldn't have one because the person whose turn it was didn't have a booth in his area. Tons of empty tables, including booths. We left without eating.",https://www.yelp.com/biz/tgi-fridays-canton
Jasmine N.,"Belleville, MI",0,3,,2.0,3/9/2017,"I was excited to have this unexpected night out with my honey, but things quickly went south.  The hostess was very friendly, however the friendly, welcoming attitude ended with her.  Our waitresses were not only very slow and unconcerned for such a slow night, they also seemed a little rude.  One waitress forgot my drink, the other dropped my husband's food off at our table without saying a word.  We both ordered endless apps, and twice my husband had a pretty long wait to even be asked if he would like to try another dish. We will not be back to this location!  This is the second time I've felt their customer service could use some work!",https://www.yelp.com/biz/tgi-fridays-canton
Tim T.,"Canton, MI",0,1,,1.0,5/26/2017,This place is shit. Took me 35 minutes to get a beer. Fuck you people I'm going to Mongolian BD's where they know how to treat people right. With Mongolian magic!,https://www.yelp.com/biz/tgi-fridays-canton
Soleil K.,"Olympia Fields, IL",110,209,705,5.0,9/17/2016,"Came here late night on a Monday after a movie. Didn't get much but appetizers. All the food came out in time.  The boneless wings were fresh, hot, and delicious. The waitress was lovely. I have no complaints. Great experience.",https://www.yelp.com/biz/tgi-fridays-canton
Olivia Z.,"West Bloomfield Township, MI",348,5,,1.0,8/15/2017,"If you have four hours to kill this is a great restaurant to go to for dinner. The food is OK. We had a long wait from the start. Bring a sweatshirt because it's really cold here too. There's also plenty of really big butt cracks to look at while you eat. What a great sight. I don't want to totally blame our waiter, I know how it is in the restaurant industry. However, the manager should've been around doing a lot more damage control then I saw her doing. On the plus side, the takeout containers are microwavable and dishwasher safe. All in all, I would not recommend this restaurant to my friends... I would however recommend this place to all people I don't like.",https://www.yelp.com/biz/tgi-fridays-canton
Laura C.,"Milwaukee, WI",55,264,10,5.0,6/18/2016,My goodness.  I had a great experience here!!  I ordered one of the lunch specials with soup and a half sandwich AND a side.  SO tasty and so affordable!  The waitress was so kind and professional.  They were extra helpful and accommodating since I had my baby with me.  I really enjoyed myself and went to a different TGIFridays location a week later!,https://www.yelp.com/biz/tgi-fridays-canton
Kathy P.,"Wayne, MI",9,110,74,3.0,2/15/2016,"Had a great time.  Food was moderate chain restaurant food.  Our waitress Dominique was very attentive to us and our order.  She worked in the bar area. I didn't care much for the hostess as we entered.   Actually there was no one to greet us.  We stood there maybe 5 minutes before this lady came from the bar area.  I asked if the tables open in the bar area is first come first serve and she said no.  There were 4 open tables yet a wait for dining area of 45 minutes.  She asked 2 couples if they wanted wanted to sit at those tables instead of wait for a table in the dining area and of course they said yes.  I proceeded to the bar for a glass of wine and asked the bartender if we could have the empty table that seated 6 cause we were a party of 4 and he said ABSOLUTELY.  He didnt understand why the greeter lady was making us wait for a dining room table.  All the others who were waiting for a table were couples.  After all it was V Day. The establishment itself could use more organization and a complete cleaning.  The first thing you smell when you walk into the bar is bleach.  I hate that.  Makes me think they are hiding a funky odor.   Neither of us used the restaurant restroom so I'm not sure of its cleanliness. I would visit this location again when I'm in the mood for my sizzling chicken and shrimp.  It's in my neighborhood.  The service isn't that bad whereas I would drive long distance to go to another Friday's. Food average, and 2 thumbs up to Dominique and the bartender who offered us seating.",https://www.yelp.com/biz/tgi-fridays-canton
Patrick D.,"Westland, MI",0,21,2,1.0,8/11/2017,"Well, I think I am done going here. I enjoy the endless apps and they are pretty good. Well, apparently their success means they shouldn't be around anymore.  Tgif employs a great new strategy to make people not go anymore. First, shrink the portions down to below child-size. Next, make you wait *forever* for your next refill. After that, make it so cold in the restaurant that you don't wait for those refills. Finally, charge $2 more for all of these great features. Add in a snotty waiter who barely comes around to get plates and refill drinks and you have TGIF in a half full restaurant on a Friday night.",https://www.yelp.com/biz/tgi-fridays-canton
Yvette A.,"Ypsilanti, MI",0,23,69,3.0,3/5/2016,Canton TGIF is a great place to eat. Stopped in and had the Jack Daniel's Burger and man was that burger great! I don't eat beef burgers often but when I do I'll definitely be ordering this again!  If you like burgers and have never tried this you gotta stop in at TGIF and try this.  This is a fun place for food & drinks and the prices are moderate.,https://www.yelp.com/biz/tgi-fridays-canton
Krysten D.,"Houghton County, MI",18,7,2,5.0,2/23/2017,"Love Friday's, especially this one! Drinks are ALWAYS on point. Food quality has declined, but that could just be corporate, though I had the Chipotle Tucan salad and it was BOMB. Also best bartenders of any fridays I've ever gone to!",https://www.yelp.com/biz/tgi-fridays-canton
Andrew S.,"Ypsilanti, MI",174,4,2,5.0,2/23/2017,"Went here for after work drinks. Bartender made 10/10 mojito, felt like I was in the Bahamas. Angela's the !",https://www.yelp.com/biz/tgi-fridays-canton
I G.,"Holland, MI",0,5,,1.0,7/13/2017,"It was the first time that I left TGIF sad and still hungry.  Old, crusty menus, slow service.  Both my husband and I had the ribs, with fries and coleslaw... it was more like fries with a side of bones with little meat on them... the salad had no flavor... it used to be my favorite place...  so so sad..",https://www.yelp.com/biz/tgi-fridays-canton
Raymond D.,"Westland, MI",0,23,1,1.0,6/16/2017,Horrible service!!!! Smelled like they cleaned up with a dirty mop and I take that back about the service there was NO SERVICE! will never go back even if it was free! I just got up and walked out after waiting over 10 min for a water and a menu. And it wasn't even busy,https://www.yelp.com/biz/tgi-fridays-canton
