Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Kathe K.,"Carlsbad, CA",169,197,54,3.0,5/11/2015,"I went there to meet a business associate at 3pm on a Monday.  We had drinks and discussion. I thought that the wait staff were perfect in the amount of times they came to the table.  They were not obtrusive, yet when we needed refills they were there. They also did not make us feel guilty that we did not order any food.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Theresa N.,"San Diego, CA",628,410,813,1.0,8/25/2015,"I remember the times while in college,  my friends and I were big fans of TGIF. Alas, their glory days appear to be setting into to a dismal sunset. We went here to try to catch some happy hour after shopping at the outlets.  (FYI - they are the only ones in that little center that have happy hour on Sundays...  3-6pm yo).  We were seated promptly and ordered a couple of drinks and a few HH food items... So...the one star in this review is for our server.  He was a sweetheart and genuinely offered good service, to the best of his ability. The food though,  I have yet to figure out what the heck was up with it.  I ordered a baked potato, which was great with the sour cream and chives. The drinks (Zombies) were good too, and priced well at $7. But the shrimp cocktails...we struggled to finish them!  I've ordered it at TGIF before,  but this time they tasted old and defrosted (kinda rubbery) and the ahi chips were old too... stale chips and fishy tasting ahi (oxymoron, I know).  It was terrible.  My fiancé and I felt sick until the next morning!  Definitely a final nail in the coffin for me and my TGIF days.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Heidi I.,"Oceanside, CA",373,515,1161,3.0,4/11/2015,"It's a TGI Fridays, I was not expecting the most fabulous dining experience of my life.  We were ""camping"" down the street overnight and rode our bikes up for a late dinner.  We thought we'd hit Fridays since they advertise a Late Night Happy Hour.  We got there a bit after 9pm.  That Late Night HH starts at 10pm. Was sort of disappointed in the service in general to start out, it got better by the end of the night, maybe because I got buzzed and stopped caring.  But the first bartender was kind of....bitchy?  Maybe just trying to be ""sassy"" and it came off wrong.  The other one was nicer.   We ordered wings....traditional.  Off the bar menu.  Would have been super sweet for them to NOT hide the ""endless appetizer"" menus from us...because had we known, we'd have gotten the boneless wings rather than the traditional ones, which would have been a way better deal, as we could have gotten a few more of them and skipped one of the other things we ended up ordering later. And when my boyfriend (who does not pay as much attention to these things as I do) goes to order a beer at 9:55pm, how about be cool and say, hey, wait 5 minutes and it'll be on Happy Hour!  Just kind of lame, on top of the not giving us the other menu for the wings...seemed like they were steering us away from the offered deals, to get a higher check total...well that doesn't guarantee a bigger tip.  It actually guarantees an average tip.  Because if you were trying to be helpful and cool and point us in the right direction to save a few bucks, then you'd have gotten a better than average tip.   The food is consistent, they have a full bar, etc.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Christina L.,"Fallbrook, CA",45,25,21,1.0,3/8/2015,"I want to start this review by saying TGI Friday's is my absolute favorite restaurant and I begged my date to take me here. With that being said I want to explain my one star review.  Honestly, if zero stars was an option I would have easily given them zero. My date and I ordered chips and salsa as an appetizer, petite sirloin (medium rare) as his and Jack Daniels chicken as mine. We were there over 45 minutes, and only saw our waitress once (who didn't tell us her name), before we got our food. Which 45 minutes for the main course is fine but we never received our chips and salsa or silverware. His ""medium rare"" sirloin came and he poked it and it started gushing blood. Don't know why he poked it but he did. He had his food for maybe a minute and the waitress was already out of sight so he eats his side's, which were ok. Waitress finally comes back and he shows her that the food is not medium rare and asks for it to be cooked longer. Comes back 10 minutes later and it is solid brown. Also not medium rare... Chips were stale. Salsa was fine.  My chicken was dry but my salad and potatoes were fine. Side note: the couple beside us ordered endless appetizers as her meal and he ordered a salad and a Jack Daniels burger. She (same waitress) brings out his burger and he told her to take the salad off the bill since he never received it.  Another side note: there was a blonde (long hair pulled back in a pony tail with curl to it), skinny waitress working the same section we were in (sadly not our waitress) who was working her butt off, making sure her customers were happy and attended to. Not gonna lie, she made me jealous.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Spencer P.,"Vista, CA",0,2,1,1.0,12/21/2014,"So I went here on a Sunday afternoon after helping my friend move and I wanted to relax with my friends and have a beer. We saw the great happy hour deals online and said, lezzz gooo.  Soo I really don't feel like writing a long review, but to sum it up, we went in, tried to get a $4 domestic beer and wanted to split the appetizer sampler (both on special menu). It turned out that, even though on the menu it saids the beer is made in Colorado, that it was not technically domestic, and that I choose one of the appetizer that wasn't on the special. So at the point I realized these specials weren't very special. It seemed like you were paying so much just for the environment, so I looked on yelp for somewhere else and found this gem tip top meats.  Tip top meats is right across the street and is one of the best places I've been to. Its an underrated hole in the wall with cheap beer, and huge serving of German meats and sides for under $10. I got roast beef cooked in pork with a salad, French fries, potato salad, a dinner roll and a third of a pitcher of beer for about $13. It was so much I couldn't finish and that's not like me at all. And my god was the meat so so good. Ahh it was amazing. I got the Holsteiner Schnitzel and let's just say it was soo good I decided to write my first yelp review.  Anyways I'm getting bored of typing, but TGIF is over priced and your paying for the atmosphere where you can get basically just as good atmosphere and amazing food form a non-chain delicious hole in the wall right across the street. Thanks for reading. -Spencer",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Ashley M.,"Phoenix, AZ",311,121,78,2.0,1/29/2016,"Not the Friday's experience that I hoped for. Yes the food was good but this place was so depressing I couldn't get out fast enough. Typical Friday's menu, steak was great. I never order anything without the delicious JackDaniels sauce.  This is located in the Carlsbad by the Sea Resort. If the atmosphere in the hotel is anything like this restaurant, I wouldn't recommend that either.  On a Friday night this place was a ghost town. No hostess, and the employees were just there to get by. No smiles, hardly any music. It was all just bland and depressing.  They either need to relocate or remodel.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Mike K.,"San Diego, CA",105,34,5,1.0,10/1/2016,No I know why this place has 2.5 stars terrible service not our waiter but the fact the management can't schedule enough staff for a large party! Waited 45 mins for drinks and an hour for 1/3 of the meals so we couldn't eat together!,https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Dimples C.,"Carlsbad, CA",2,18,25,2.0,10/2/2015,"I've been here weekends, weeknights, lunch, dinner, happy hour, etc... you name it. Service has always been crappy! They take forever to send a waiter to greet you and even longer to bring your drinks and food out. Even when the restaurant is empty service is horrible! I can think of one time I got a great waitress. Food is bland and almost always over cooked. No flavor and burnt equals no fun! Happy hour drinks barely have any alcohol and too much ice! What the hell?! After a few being sent back, I got tired of telling them what was wrong. Tables are dirty, sticky and so are the seats. I always feel I have to clean them myself before I sit down.  Why do I keep coming back you ask? The Jack Daniels sauce! Thus the 2 stars. This is the only restaurant that I know serves it and I love it! LOL This used to be my happy hour spot with the girls since we love our JD's sauce but after giving them PLENTY of chances to improve, we're moving on. For the price of their food and drinks there are plenty of other restaurants that have better quality food and great service.  Btw, since my last visit there's a new manager and let's just say she's something that rhymes with ""witch!"" I can see why her employees don't seem to care about customer service. Bye bye favorite dipping sauce!",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Elvis T.,"Long Beach, CA",105,185,198,1.0,9/17/2015,"So we decided to come in tonight. No one in the front to welcome or seat us, and I remembered them having a sign to seat ourselves one time so we did. Made eye contact with one of the servers while we selected a booth so we sat and waited for our menus. He never said ""Hi"" or smiled at us. 10 minutes go by and we never got out menus while he's walking around and talking to his coworker. Seeing that, we upped and walked out to go where customers were welcomed. If you decide to come to this place, go during the day.. maybe there will be more welcoming and positive servers then. After seeing the reviews and experiencing the rude staff. I suggest this place to undergo new management.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
D B.,"Oceanside, CA",2,110,7,2.0,7/26/2015,"Ate here during happy hour yesterday. We were seated right away, and the place was almost empty. Ashley was our server. I ordered A Dos XX and double shot of Grand Mariner neat. My fiancé ordered a mixed drink which also has GM in it. She brought me my beer and informed me they were out of GM and offered to get me something else. I declined, so she left and came back after she discovered the drink my fiancé ordered could not be made because they were out of GM. So she ordered something else.   I noticed they were offering Cuervo Gold shots for $3ea so I ordered 2 of them. She said she didn't think I could order that because it was happy hour, and should get a well drink instead. I asked what she meant by that.....again she had to go ask. So I asked when I could order the $3 shots. She asked me to show here where I saw that price. I pointed to the huge poster on their wall advertising it. So she went to talk to the bar tender and returned saying the offer is good all day whether or not its happy hour. So I ordered them, and she delivered them with a male with some limes.  She was nice, checked on us often, but not knowledgeable about the bar and promotions.  I had a rib eye steak(I like Filet Migon, but is not on the menu) and it was chewy. The mashed potatoes and seasoned fries were good. Fiance had a chicken dish and she liked it.  All in all, we probably wont be back.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Kaitlyn W.,"Carlsbad, CA",148,69,42,5.0,10/10/2014,"I have no idea why this place only has 3 stars?!?! so my 21st birthday was August 2nd 2014 and I took my mom, boyfriend and about 12 of my friends to BJs at midnight so I could get a shot when I turned 21. apparently they have some ridiculous rule that they couldn't serve me right at 12 so I took the whole crew to fridays! amazing choice by the way. I had two bartenders that helped to make my birthday especially memorable, well kinda;) they were Jason and a girl with shortish brown hair, I believe her name started with a j. they were amazing, super fun and very accommodating to all my friends and me on my 21st. Jason is now my favorite bartender and I LOVEEE going to fridays. it's a fun atmosphere with friendly wait staff, casual place and a great late night happy hour!!!  5 stars for my favorite bar and bartender!",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Andrea M.,"Orange, CA",322,1,,1.0,12/4/2015,Worst experience ever! Came in at 11pm with 6 teenagers. Hardly anyone there. Ordered sides. Was told it would be 35 minutes...then 45 minutes...maybe more.  Restaurant was hard to find. Service was ridiculous. Left. Got food elsewhere in under ten minutes. And the In and Out was far cleaner! Avoid at all costs! If I could give this no star I would!!!!,https://www.yelp.com/biz/tgi-fridays-carlsbad-3
Richard M.,"Oceanside, San Diego, CA",4,66,6,1.0,7/28/2015,"Haven't been here in a few years, and dinner tonight made me remember why. Saw the TV add for $10 all you can eat appetizers. Which we found out you pick one and have to stay with that. Or $12 and you could pick from 5 things and switch off whenever you want. It was me and my girl, so we each got an appetizer, The food they brought us after 15-20 min of waiting was wrong, no problem we were hungry and planning to get one of everything anyways. Second round some random waitress brought us some wrong wings, ended up being for a different table, 20 min later finally got the right food. 3rd round was the correct food also but had to wait another 15-20 min to get it. Out of everything the only thing I thought was good was the cheese sticks. Waitress wasn't the best service I've ever had but she was nice and despite disappearing a few times wasn't too bad.  We went on a Monday night at like 8pm I could understand the wait time if it was the weekend but seriously on a Monday? Won't be going back For the same price I would have been much happier at BJs or Karl Strauss which are a very very short drive from tgi.",https://www.yelp.com/biz/tgi-fridays-carlsbad-3
