Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Lawrence D.,"Champaign, IL",10,16,7,5.0,9/20/2014,"Well I forgot I had posted that it was closed. I managed to get them to come back to Champaign, IL They are now located up by the Market Place Mall. The store is a lot bigger, and their new crew is fantastic ! The  food is. Well... What can you say......ITS FRIDAYS........Order the Jack Daniels ribs. You won't be disappointed !",https://www.yelp.com/biz/tgi-fridays-champaign
Ashley B.,"Urbana, IL",475,597,743,3.0,3/22/2012,Solid.,https://www.yelp.com/biz/tgi-fridays-champaign
Lisa B.,"Champaign, IL",140,320,64,1.0,4/11/2012,Closed.,https://www.yelp.com/biz/tgi-fridays-champaign
Kelly M.,"Bloomington, IL",102,548,73,2.0,5/5/2011,"Disappointed.  Normally things here are ok - nothing fantastic. Yesterday, I ordered carryout Chipotle Yucatan salad for lunch.  The menu said the salad included cilantro and avocado.  The salad was pretty small compared to what I have gotten in the restaurant in the past.  I got exactly 3 TINY chunks of avocado and ZERO cilantro.  For $10, I expected a bigger salad and it should have plenty of ingredients. In addition, it was a hot MESS.  Looked like it was originally put into the 'dine in restaurant' bowl and someone realized it was carryout and then just scraped it into the styrofoam box.",https://www.yelp.com/biz/tgi-fridays-champaign
Lauren L.,"Gurnee, IL",9,97,11,1.0,2/17/2012,"Horrible, horrible, horrible.  Do not go here.  The service was bad and the food was worse.  I know it is to be expected that chain food is not going to blow my mind, but I truly am not a picky eater.  I love chain food but this place is awful.  I doubt I will ever go back to a TGI Fridays at any location. We got the 2 for $10 deal.  The appetizers were large, but nothing special, clearly just frozen and thrown in a deep fryer. I ordered some sort of pasta Alfredo with chicken.  It was one of the smallest portions I've ever gotten in a  restaurant.  The pasta was so overcooked it was mushy.  The Alfredo was caked onto the bottom of the plate, to the point were most of it would not come off.  The chicken was so overcooked I could barely cut into it. Not the mention the place is constantly crawling with college kids, making ti so loud you can barely have a conversation. Save yourself the time and money and avoid this place.",https://www.yelp.com/biz/tgi-fridays-champaign
I F.,"Champaign, IL",8,13,1,5.0,11/24/2010,"I can't believe I'd give this place a 5-star rating, but I have to share a great experience. ...so I ended up with a $50 gift card for TGIF and was a bit hesitant to take my 6-person family there during a Friday evening (since U of I was on break at the time, we went for it). Service was PHENOMENAL.  Yes, even from a Friday's!  They gave all the kids 2-3 balloons and gave us just the right amount of attention to be comfortable.  We celebrated my kid's birthday, so they gave her an extra big sundae with plenty of spoons... perfect! Food is what we expected and all around tasty.  The kids' menu ribs, mac & cheese, and burgers were gobbled up very quickly even by the picky eaters.  This review might be influenced by us having a gift card and being there during a break, but I'm giving this a thumbs up.",https://www.yelp.com/biz/tgi-fridays-champaign
Grace C.,"Champaign, IL",17,48,1,1.0,3/16/2011,"I refuse to go to TGI Friday's in Champaign anymore. I've been here around 4 times, and it's just not worth it. For the price, there are lots of other places to get a good meal in the area. I'm very forgiving when it comes to service. I know that servers and waitstaff have a demanding job, and I tip well even for mediocre service. However, truly bad service is inexcusable. I came with a couple of friends and ordered a frozen margarita. When my drink was brought out, the server spilled the entire drink all over me. This isn't what bothers me. At another restaurant I'd be totally willing to forgive and forget. It happens. Her reaction was what soured the experience. She gave me a half-hearted, insincere apology and brought me out two extra napkins. Mind you, the full drink was all over my lap and running down my leg - not a two-napkin fix. I asked for more napkins, and it took a couple minutes, but she did come back. She offered to make a new drink, but I told her to forget it and bring me an iced tea. She did, and the meal was fine. The food is alright, but nothing spectacular. I had a cheeseburger and fries, and it was pretty good. I liked the fried green bean appetizer with wasabi ranch sauce quite a bit. The real shock came at the end of the meal. We had separate checks, and not only was I never offered a discount or compensation for the server's mistake, but she tried to charge me for the margarita! I've had waiters slip up elsewhere, and while I don't think it's necessary to offer a discount, it sure is appreciated, especially when I've spent nearly an hour eating my meal and covered in sticky, cold margarita, through no fault of my own. A manager eventually came over to speak with me about the bill, and he ended up comping our appetizer and my iced tea. Still, the server's poor attitude ruined what could have been a pleasant evening out. I won't be back.",https://www.yelp.com/biz/tgi-fridays-champaign
Les P.,"Mahomet, IL",76,197,,4.0,3/7/2012,The food at Friday's is a much better quality than the other similar type chains.,https://www.yelp.com/biz/tgi-fridays-champaign
Eric B.,"Champaign, IL",60,133,93,4.0,6/8/2011,very little to complain about with TGI Fridays.  i am always able to get an item that is no longer on the menu (blackened Cajun chicken sandwich) and the menu is constantly changing.  Always worth a visit a few times a month.,https://www.yelp.com/biz/tgi-fridays-champaign
Jack F.,"Champaign, IL",0,26,,5.0,5/29/2011,"I have been to this TGIF at least 10 times with my wife, and I will be coming back. The waiters are always attentive, the food is really delicious, especially their sirloins. The prices are also very reasonable. I like the atmosphere of this restaurant a lot, and the wall decorations are very cool. I would recommend it to my friends.",https://www.yelp.com/biz/tgi-fridays-champaign
Chaz B.,"Champaign, IL",0,30,,5.0,9/15/2010,"Absolutely the best fried chicken in town.  The only problem is that they serve it only on Sunday.  We have very limited places in Champaign that serve good fried chicken.  No Popeye's, no Church's and the chicken they serve at KFC is really fried pigeon, just the worst.  The wait staff is extremely friendly and the place is always clean.  This place has real good food.",https://www.yelp.com/biz/tgi-fridays-champaign
Bess R.,"Farmington, MI",72,378,,3.0,2/9/2010,"Fridays is Fridays.  We had to wait a bit on a Saturday night, but service was very good and fast.  I don't know what people expect of the food.  It's a chain restaurant, not gourmet.  I was just excited that my side salad wasn't all iceberg - bonus!",https://www.yelp.com/biz/tgi-fridays-champaign
