Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Catherine H.,"Frankfort, IN",30,2,,5.0,1/10/2018,"I haven't been to TGI Friday's in years but when i heard they now have the vegan Beyond Meat burger, i had to go and try it! I'm so glad i did! It was amazing, and i know for sure I'll be going back!",https://www.yelp.com/biz/tgi-fridays-lafayette
Melissa L.,"Seattle, WA",184,125,167,4.0,12/4/2017,"Great experience here! We were seated right away, our servicer was nice and checked in on us. The food was also pretty good. We wish the potato skins had a bit more toppings on them though :/ Nothing to really rave about but I appreciate the good service.",https://www.yelp.com/biz/tgi-fridays-lafayette
Jessica H.,"Lafayette, IN",3,32,97,4.0,8/28/2017,"I love the Endless Apps and most times this is why I choose to go to Friday's :-) The salads and burgers are good, as well as the chicken pasta dishes. I've never had anything here i didn't like!",https://www.yelp.com/biz/tgi-fridays-lafayette
Debbie B.,"Fort Wayne, IN",105,20,5,2.0,4/6/2017,"I guess you have to be a regular or not be a solitary woman to get decent service from Robin at the bar. From not acknowledging me, making me wait to order, smiling at everyone but me, being disgusted when I pointed out that my order was wrong, to ignoring the universal sign of an empty glass at the edge of the bar - this was a less than stellar experience. The GM did come to ask on food preparation before serving my second entree and did ask about the conversation I attempted to have to clear the air with the server - I appreciate that. I travel for business, I count on TGIF to be a reliable chain experience when local pickings are slim - I will take this location off my list. Addition: Apparently, the bartender decided (or was told) to cease interaction with me. The GM cashed me out. She did receive the standard tip, including the tip on a comped drink, but only because I once walked in her shoes. I hope I did it better.",https://www.yelp.com/biz/tgi-fridays-lafayette
Christina S.,"West Lafayette, IN",17,26,2,2.0,3/31/2017,"Not good tonight. There were seven of us and we got there before the crowd on a Friday night. Most of our dishes were cold and the waitress didn't check in with us after we got our food.  Sadly, this is what we expect to get from a chain restaurant anymore....",https://www.yelp.com/biz/tgi-fridays-lafayette
Alyssa C.,"Fort Wayne, IN",28,95,74,4.0,6/24/2016,"They say us in a corner and didn't tell the waiter they had been seated so no one came to our table for over ten mins until I started looking around at the other waiter walking back and forth by us. I don't know if our wait was new or what but he didn't know what salad dressing they have, he didn't give us straws with our drinks (had to ask). I mean nothing major but a ton of small things add up... He was nice and we told him we were crunched on time and he did take care of us quickly. It was kind of annoying to be put in the back corner of the restaurant at a table when plenty of booths were open but I understand being a waitress before that they have sections but they should be splitting up the booths better then... Good food and clean place.",https://www.yelp.com/biz/tgi-fridays-lafayette
Madeline V.,"Hamburg, NY",2,5,9,5.0,8/18/2015,The gluten free food was extremely tasty! All the food was prepared perfect. I had a freshly made lemonade that was great! Our server was also excellent and very friendly! Can't wait to come back!,https://www.yelp.com/biz/tgi-fridays-lafayette
Angela S.,"Chicago, IL",45,46,29,2.0,5/31/2016,"Sat at the bar twice with coworkers, different weeks, different days. Service was slow, but the server was friendly. Probably won't be sitting in the bar section again.",https://www.yelp.com/biz/tgi-fridays-lafayette
Brandon K.,"Schaumburg, IL",57,16,,4.0,2/2/2016,Good service. Fun staff. What you'd expect from tgi Fridays. Food is always good and the jack Daniels sauce is the best.,https://www.yelp.com/biz/tgi-fridays-lafayette
Barry M.,"Crawfordsville, IN",9,128,45,3.0,7/14/2014,I like TGIF. The quality of the food is consistent.  Try fried green beans for app,https://www.yelp.com/biz/tgi-fridays-lafayette
Donna S.,"West Lafayette, IN",0,14,4,2.0,10/19/2015,"We went there on a Saturday, it was not busy but it took over an hour to get our food and one of the entrees was wrong.  We had to ask for a condiment several times before we finally got it.  It was not a good experience but the manager did take the messed up entree off of the bill and made a new one.  He offered a dessert as well so he tried to make it right but when you are with a child, that was too much time to wait. I will go back but I hope they are staffed better.",https://www.yelp.com/biz/tgi-fridays-lafayette
Rick W.,"Lafayette, IN",0,2,,4.0,5/15/2016,Eat at Fridays' weekly and love it.  Sit in bar and service is super.  Food is good and price is reasonable.  Cute girl working bar makes it fun!!,https://www.yelp.com/biz/tgi-fridays-lafayette
Gabrielle C.,"Carmel, IN",25,40,1,3.0,1/31/2015,"For date night, we were seated within 20 minutes during Friday dinner rush. The staff was friendly and nice. However, the waitress despite her kindness didn't check on us a lot. I was really excited for the loaded potato skins, but I felt they were lacking. They weren't super cheesy and not a while lot of bacon, which was disappointing. However, our main course was perfect. We had the California Club, definitely recommend, and the champagne was good for an American food chain.",https://www.yelp.com/biz/tgi-fridays-lafayette
Kent M.,"Kearney, NE",56,1936,261,4.0,7/23/2012,"3 of our group here for lunch today. One had a chicken pizza (was nice crust and just ok remaining parts), one a chicken sandwich which looked very good. I had a rueben triple deck and it was great. We sat in bar area and had very good service for all our needs. Thanks folks. Well done.",https://www.yelp.com/biz/tgi-fridays-lafayette
