Username,location,friend_count,review_count,photo_count,rating,date,review,Url
John H.,"Caldwell, ID",14,120,2,4.0,9/30/2017,"According to Wikipedia, TGI Friday's was founded in NYC in 1965. That's 52 years ago. Wow! They must be doing something right. I had not been in a TGI Friday's for probably 30 years or so. The last one was in Santa Monica, CA. So, I was in Nampa, and hungry for a burger, went in. I ordered the ""Really Good Cheeseburger"" and, guess what? It was really good. The extra-crispy fries I ordered were just that, extra crispy. (I just don't like soggy fries.) The really good cheeseburger was washed-down with a strawberry lemonade, very good too. The order was taken by one waitress and another waitress delivered the plate to my table. Both of these women were quite pleasant, friendly, but not obsequious. You know, not ""trolling for tips.""  The atmosphere is corporate burger joint, if you've seen one, you've seen 'em all. By the time I got out of there, leaving a $3.00 tip, the bill was over $17.00, which is why I don't frequent these places. Yes, the cheeseburger was good. Yes, the fries were good. Yes, the lemonade was good. But over fourteen bucks for a comparatively simple meal is just too much, in my humble opinion, of course.",https://www.yelp.com/biz/tgi-fridays-nampa
Steve M.,"Boise, ID",30,189,61,1.0,9/23/2017,"I try to avoid most chain restaurants. Because I feel like their menus have been dumbed down for the masses. However, it was a friend's birthday and she wanted to celebrate to TGIF.  I am not going to drone on about how bad the experience was but suffice it to say that 100% of the food was tepid and almost cold. The slaw was so bad that I sent it back in liue of a salad which I had to remind her to bring. I almost never send food back.  Truly one of the worst dining experiences I've ever had.",https://www.yelp.com/biz/tgi-fridays-nampa
Sarah S.,"Meridian, ID",2,50,66,4.0,6/10/2017,Better than expected. Restaurant is clean and a nice space. Server was a little awkward but good nonetheless. Endless apps are a great way to try out several things and repeat the favorites with a group. Can't really beat the price. Great experience for what it is.,https://www.yelp.com/biz/tgi-fridays-nampa
Jeanne C.,"Henrico, VA",29,10,1,3.0,3/25/2017,"For a few months, we went in every Wednesday night and sat in the bar. I had a couple cocktails with my meal and we loved the happy hour specials on appetizers. The last two times were unpleasant enough to make us ignore the 1,000+ points we've accumulated.  The first time we had a problem, my steak was a mangled mess. You could just look at it and see it wasn't right. The manager comped us and we shrugged it off as a bad night.  The next time we went in, we had to remind our server about the chips and salsa and we each ordered endless apps as well as our two entrees (the new burgers). The quality of the potato skins for our endless apps was ridiculous. I tweeted a picture to the official TGIFridays account and they actually wrote ""Yikes! That's not cool.""  The burgers were amazing compared to their old ones. The problem here was that, when I placed my order, I asked for mayo and mustard. When our server brought the burgers, I had to ask again for the mayo and mustard. Instead of going to get them immediately, she disappeared. Seven minutes later, I asked someone else to bring it to me. I got it right away. Too bad my delicious burger was cold by then :/ Maybe the server didn't like us since she was the same one when I got the bad steak. Our other meals were fantastic. The manager (Mason) is super nice, the greeters are great, and the waitstaff (especially Jolene) and the bald bartender are pretty cool.  It's too bad we had poor service and food quality the last two times we were there :/",https://www.yelp.com/biz/tgi-fridays-nampa
Cinde W.,"Brighton, CO",6,28,8,4.0,5/21/2017,"Hadn't been to TGIF's in years because past experiences weren't great but they have upped their game!  I had the hot wing burger and it was good!  Hubby had the fried chicken sandwich and loved it!  Also, the endless apps for $10 was a great deal!  Very impressed!!",https://www.yelp.com/biz/tgi-fridays-nampa
Blake T.,"Caldwell, ID",105,50,233,5.0,2/25/2017,Bang for the buck the all you can eat appetizers awesome deal you get to try a wide variety of excellent food for $10 highly recommended.  The staff is always friendly and energetic and the Long Island Ice-T is out of this world,https://www.yelp.com/biz/tgi-fridays-nampa
Logan M.,"Kuna, ID",10,1,,1.0,4/15/2017,"Wife's steak was overcooked and almost inedible with too much gristle, and so under-seasoned it was tasteless.  Broccoli was so old it was turning brown. Got ignored by 3 waiters trying to get napkins and drinks refilled. Both of my sons burgers had burnt cheese on them.",https://www.yelp.com/biz/tgi-fridays-nampa
David H.,"Emmett, ID",0,29,,3.0,10/29/2017,"Split samon way over priced, nothing there got our order wrong.  Wasn't enough for one person forv$25",https://www.yelp.com/biz/tgi-fridays-nampa
Jack W.,"Caldwell, ID",0,8,1,1.0,5/14/2017,"This place is horrible!  I always come back thinking it'll be better, but Not!  First, a couple of months ago I came in to get my favorite dish, which is the Cajun Chicken and Shrimp Pasta to find they changed the recipe. It was not good at all.  Mothers Day we come in and I order a Cadillac Margarita and they're out of Grand Marnier.  Get to table and they're out of potato skins and Ribeye steaks.  Really?  They need a change in management!  The manager here could not manage a case of hemroids! Update!  Now they're out of pot stickers.  This place sucks!",https://www.yelp.com/biz/tgi-fridays-nampa
Matthew G.,"Nampa, ID",11,9,,1.0,3/31/2017,I was very disappointed with their endless apps deal I had a coupon 20% off our entrée the manager said I couldn't use the coupon. He said you can either order endless apps or use the coupon appetizers not both. If I'm paying for the 2 extra dollars for Endless appetizers I should be able to get the endless appetizers. They really suck I will never eat there again.,https://www.yelp.com/biz/tgi-fridays-nampa
Alison L.,"Puyallup, WA",120,5,,5.0,3/28/2017,"Went here for dinner a couple weeks ago and I don't remember who the waiter was but he was so awesome. I was eating alone, with a baby and was difficult so he accommodated everything to try to make things easier on me. He went completely above and beyond and was so grateful for him! Great experience and great good!",https://www.yelp.com/biz/tgi-fridays-nampa
Jill A.,"Meridian, ID",7,1,,5.0,4/15/2017,"Let me say, despite a small issue, the service was fantastic, and as always, their burgers were great! After getting part way through my burger, I discovered that one of the paper separaters for the cheese hadn't been removed and was still in my burger. No big deal, easy mistake to make, I pointed it out and they made me a fresh burger. The manager even took the time to make it himself. I figured that was the end of it, but the manager then proceeded to offer me a free dessert for the trouble. I feel it wasn't necessary but I still appreciate it and enjoyed the free dessert. Our waiter was also enjoyable and pretty funny. Overall a great experience.",https://www.yelp.com/biz/tgi-fridays-nampa
