Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Alex F.,"Stillwater, OK",50,11,10,5.0,10/3/2015,"The manager, DeAndre, was one of the nicest people I've ever met. He was kind and cared about what we needed. The staff was amazing and the food was EPIC! I'll definitely be coming back.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
A S.,"Fort Worth, TX",2,18,,1.0,8/3/2014,"Pretty awkward from the moment we stepped in the door.  As we were shown to our table, one waitress confronted another on how we could not sit at the designated table as it was being saved.  Do we sit, do we not sit?  I also found it strange that while the restaurant had a large line, the managers friends could get right in....not s good sign.  An usual substitution in Texas seemed to yield additional charges in a Oklahoma....hmm weird.   Food was served cold and we shouldn't have to ask that the food be microwaved.  Waitress was nice but she seemed Too much in a hurry to rush us out the door.   Overall it was the least impressed I have ever been sitting in a IHOP.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Melinda D.,"Edmond, OK",20,7,,5.0,1/1/2016,"My husband and I prefer to eat at home but dislike fast food.. New Year's Eve we ordered from TGIF (Memorial Rd.) for the 1st time. Deandre took our order on the phone & it was exactly as we ordered. So glad we did! The jalapeño poppers are awesome. I ordered the flat iron , it was a little too rare for my taste but it was good. The mashed potatoes were delicious & the spinach was really good. Today we ordered again for dinner - the baby back ribs were delicious & hubby loved the cheddar Mac n cheese. The jalapeño poppers are a must!!",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Adam S.,"Oklahoma City, OK",11,17,6,5.0,3/8/2015,"This place is terrific, I go here all the time. As a matter of fact, I think I've actually tasted everything on the menu at lease once. The food is always seasoned extremely well and served at an excellent temperature. My only complaint is that they don't serve the pot stickers at breakfast!",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Grant R.,"Oklahoma City, OK",3,1,1,1.0,3/6/2015,I don't know how to give zero stars... But I would if I could.  This place fucking sucks. My friend had to send back his food bc the waiter (frank) doesn't know the menu. Got his 2nd meal 20 minutes before the rest of the table.  My food looks like David Hasselhoff after setting under the heat lamp for an hour.  It's not even crowded.,https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Will E.,"Saint Clair Shores, MI",7,11,,1.0,5/31/2014,"This is the last place in OKC I'd go to eat. You'd be wise to read on. I've been to this Friday's twice. On the first visit, we waited well over 15 minutes to be asked for our drink order. We waited over an hour for food that was cold and tasteless. On the second visit, we left after the 15 minutes spent waiting for a drink order.  Don't waste your time. There are plenty of other options nearby.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Robert W.,"Edmond, OK",11,150,38,3.0,12/25/2012,"Coffee at ANY TGIFridays is horrible and almost undrinkable.  Even wnen it is hot and fresh.  Somehot it tastes like bad instant coffee, tis is true at any TGIFriday's. Food and service and normally good, prices are excellent. This is for the location at NW Expressway and OKC, which actally doesn't show up on Yelp.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Carl A.,"Bartlesville, OK",3,14,2,5.0,8/1/2015,Omg this is the bestplace i have eaten in awhile. The steaks are amazing. Customer service is great.,https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Joy M.,"Laguna Hills, CA",456,821,577,4.0,1/19/2013,"I don't know what's up with the one star reviews, but I had a heck of a good time at Friday's on ... HA, FRIDAY! The place was packed and had a 20-30 minute wait. The Celtics vs Bulls game was on so we walked to the bar to see if there were any open seats. A server walked past us and said that there should be seats available in about 3 minutes. Sweet! I told the hostess at the door that we'll be staying at the bar. Our server was on point, super friendly and accommodating. Our drinks were never left empty and our food came out pretty fast. We ordered the Loaded Nachos, Flat Iron Steak and Yucatan Chicken salad all to share. Everything was good- typical Friday's flair. I must admit that the steak was perfected cooked to a bloody MR and the salad dressing was yummy. Skimped on the tomatoes, but that was about all I could find wrong! Oh and btw- the hostess at the door is adorably cute! She remembered my name when we left! :D",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Jennifer B.,"Federal Way, WA",85,166,7,1.0,10/31/2012,"My husband and I ate there and if you like liking a salt lick, then this is the place for you.  My plate was cooked twice and both times everything tasted like a salt lick.  My lips were turning red like they were being burned by the salt on the food,. If you like salt, TGIF is your place.  But if you like lightly seasoned food that is tasty and enjoyable, then this place is not for you.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Crystal M.,"Port Huron, MI",17,12,,1.0,5/31/2014,"A few months ago my date and I waited 20 minutes for a glass of water and another HOUR for the food. We thought it just might have been a busy friday night, and were annoyed, but we shrugged it off as a busy night until we got our food. It was cold. It had to have been waiting the entire hour in the pass. We waited a few months and tonight decided to try again. Went in and we were seated immediately. Lots of empty tables and waitstaff walking everwhere. We sat...and sat....and sat. At least ten waiters walked by and none would even make eye contact. 15 minutes later and not even a nod in our direction, we realized that it was shaping to be a repeat performance and we were hungry. We left to a chorus of have a great evenings and a bored insincere did you want the manager? from the hostess. No, thanks, we will eat somewhere else.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Malori W.,"Oklahoma City, OK",0,6,7,1.0,6/30/2014,The last time I went there was a little over 6 months ago. It was a horrible experience. My friend and I were quickly greeted when we walked in but it seemed like the hostess was confused at what she was supposed to be doing. We were led to an area where a few people were dining but most of the tables around them were all dirty. So we asked to be seated at the bar area. Once seated it took at least 15 minutes for a waiter to come by and ask us what we wanted to drink. In the meantime we saw what we think was the manager walking in and out of the back. It was obvious that there was a tremendous lack of supervision. Far too many staff personnel walking around or chatting and far too many dirty tables. My friend ask to speak to the manager and we waited another 10 to 15 minutes without ever seeing a manager and ended up just leaving and going to Chili's. It was a complete disappointment.,https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Cara O.,"Oklahoma City, OK",69,211,5,5.0,3/23/2013,"Um, hello, I LOVE TGIFRIDAYS!!  I can't believe I haven't reviewed on this place yet.  I could drink Jack Daniels sauce by the gallon with multiple straws.  I have never had something here that I don't like.   I have also never had a problem with the service, food quality or cleanliness issues.  There is really nothing that I can think of that I don't like about this place!",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
John M.,"Oklahoma City, OK",0,20,26,1.0,11/14/2014,"First drink delivered in a glass covered, and I mean covered, in dried spaghetti sauce. Showed it to the waiter and the next glass had what appeared to be a nose hair with a booger on it stuck to the rim of the glass.  Classy joint.  Yes, we did get up and leave.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
David S.,"Edmond, OK",16,4,1,2.0,8/24/2014,"Took my family here for lunch on a Sunday afternoon after church service. The food was good, but the service was just so so.  This was our third time eating here and the service is always the same, which is mediocre at best.  The waitstaff really dont seem to care and the place always seems empty - probably a good sign to go somewhere else.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Cynthia S.,"Gardner, KS",22,10,,1.0,6/16/2015,"We LOVE TGI Fridays but it appears the brand has gone down hill.  Sat in the bar area and finally after being there 10 minutes asked the bartender who walked by us at least 10 times if we needed to go to the bar to order drinks and he was like - oh sorry, thought you had been helped already.  Really, by whom?  Drinks were wrong the 1st time out but were corrected with the second round.  We always order the Seasame Jack Strips and you end up paying about $1 per small piece of chicken.  We won't be back.  Yes, I sent an email to the company on their site about the 2 locations in OKC and have not heard back so it seems they don't care either.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Mike C.,"Oklahoma City, OK",32,4,,1.0,7/25/2015,"Worst restaurant visit in years. Horrible service for average food and nothing but excuses. 75 minutes to order, receive, eat and get my bill and all we had was 1 appetizer and 2 salads. Had to ask 5 times for my bill. Never going back to a bad restaurant when there are so many good ones all around this location.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
David R.,"Crescent, OK",5,23,1,1.0,1/25/2015,"We went in for the first time in 4 years after a bad experience at this location and decided to give them another try.  we went in at 5 p.m. on a Tuesday and it was really slow.  Our waiter (Styles) a nickname I hope took our order and as we were waiting he was overheard talking to the table next to us that a 22% gratuity would do and even let it be known that 22% would come to $11.04.  This annoyed the table to the other side enough that they left before even getting their drinks.(we should have followed)  when our order arrived mine was fine but my wife got something totally different than what she ordered.  I mentioned it and he tried to tell me I ordered wrong.  When that didn't work he said ""well I can redo it but you are looking at another 20-25 minutes"".  The wife did not want to wait so she settled for the chicken in front of her instead of the shrimp she ordered as we had somewhere to be at 6:30 and it was now 5:40.  We got the bill and he had the audacity to charge us six bucks more for her meal than what the shrimp would have been.  After having to get the manager involved the charge was removed, but all in all it reminded me of why we choose not to dine here.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Steve B.,"Prosper, TX",32,49,22,1.0,3/25/2013,Poor service and the managers just don't care at all.....I'm not going to give them any more of my money!,https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
April D.,"Oklahoma City, OK",79,21,11,2.0,4/7/2013,"The staff here is always friendly and the drinks are good. However, the food isn't the best and this place could definitely use a deep clean.  My feet stuck to the floor in the bathroom and sitting at the bar you could smell the dirty bar sink :(",https://www.yelp.com/biz/tgi-fridays-oklahoma-city?start=20
Justin B.,"Bedford, TX",161,5,,5.0,9/10/2017,Sierra took care of me and did an awesome job. She is an important piece to this location!,https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Kelli D.,"Oklahoma City, OK",62,224,251,5.0,5/26/2017,"$10 unlimited appetizers. Good sports bar. Rotating Drink specials. Had a really good time on a late Thursday night at the bar top with three friends. Our bar tender was super lively and fun. She kept it real with us on best deals, food, and cocktails. I ordered an LIT and premo marg on the rocks, for approx $6 ea. I was able to order one plate of each option on the $10 unlimited appetizer-- so 7 appetizers for 10 bucks!! My order of preference: Pot stickers, boneless wings with JD glaze, mozzarella sticks, meatballs, potato skins, bbq chicken flatbread, and fried pickles. I might be missing one, but you get the idea! Great deal and tasty.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Jimmie B.,"Oklahoma City, OK",0,22,9,2.0,11/30/2017,"Keith was our server and he did a great job. Other than that, the experience was less than stellar. A management type person was rude to two people who were filling out an application. He also sat next to a server at the bar and they discussed another employee using profanity during the conversation. There was an odor like a strong air freshener that interfered with the taste of the food.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Mohamed H.,"Edmond, OK",0,35,100,5.0,12/25/2016,"TGI deserves a 5 star just for being open today (Christmas day). But seriously, I'm giving them 5 stars because food was consistent as usual and taste the exact same as any other TGI branch. Not saying food was delicious, it's just consistent. Place was obviously busy (since it's the only open restaurant today), so I would say service was OK for such a busy place.  TGI earned the 5 stars just for what I mentioned above, I'm not sure why their ratings is averaging 2.5 stars on YELP, but seems like yelpers have some kind of grudge against franchises.  Good job TGI, keep the good work ;)",https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Damaris L.,"Central Oklahoma City, Oklahoma City, OK",0,1,,1.0,11/14/2017,I've worked in the restaurant business long enough to know what bad customer service is... Stood at the front waiting to be seated for about 15 or 20 minutes. Server walked in on her phone and looked us and processed to walk over and text at the bar. Server walked by and avoided eye contact. Hostess walked up to the host stand opened a drawer and left and also did not acknowledging us. Eventually decided to walk up to the bar and ask about seating only to be told it was open seating. Would have appreciated a sign telling us about open seating since usually it's not or someone acknowledging that we were just standing there.,https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Real P.,"Choctaw, OK",91,4,,1.0,7/28/2017,"All and all TGIFridays has gone down hill, the memorial location blows. First I eat the endless apps and get sick before I even leave the restaurant. But then I also had my identity stolen and credit card fraud as well. I went home and found an additional 70 dollar charge and a charge on Amazon as well. Someone stole my identity. Management doesn't seem to care to fix this issue and as far as they're concerned my bank denied those transactions so the issue is solved??? No repercussions??? What a joke please don't eat here go somewhere else down the road I promise it will be worth it. Rather then eating here with horrible staff and management and food that makes you sick. Look up more reviews on Facebook this place sucks.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Paul H.,"Newalla, OK",0,8,,2.0,3/23/2017,"I'll keep this simple: the food was very good, the service was poor.  We've eaten here less than half a dozen times in the last year, and every time it's the same thing: poor service and good food. We waited 10 minutes to get our drink order, and that's because the hostess noticed me looking around for someone. Once we had a server he was polite but he didn't come by often. Then the table next to us had their dinners first although they arrived 15 minutes after us. When I flagged down one of the people who just delivered that table's food I had to complain to them. They went and immediately brought our food. It was obviously done but no one paid attention.  So they get two stars only because the food was good. I like the Cajun chicken pasta and the pot stickers. My wife's salad was good too. But it was work getting the food. No, I do not have anything against franchises - just poor service.",https://www.yelp.com/biz/tgi-fridays-oklahoma-city
Nancy H.,"Edmond, OK",29,22,29,4.0,3/10/2016,"The only reason why I gave this place only 4 stars is because of the service. We came here during lunch time, and it wasn't as busy as we thought it would be. We probably only saw our waitress once the whole time we were eating there. When we were done eating, our waitress was no where to be found. We had to grab a different waitress to call our waitress to get our ticket..  Other than that, the food was pretty great! The atmosphere was very nice, clean, and quiet. Decent food, might come back just for the Cajun shrimp and chicken pasta though!!",https://www.yelp.com/biz/tgi-fridays-oklahoma-city
