Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Mike M.,"Lafayette, IN",0,31,,4.0,7/8/2017,"The food was good but the highlight was our server Elevio. He had such a pleasant manner, great attitude and never forgot anything. He should be the manager/trainer. Breath if fresh air.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Beata B.,"Elk Grove Village, IL",2,12,,5.0,7/14/2017,"FIY the price for endless wings change :(. Any how want to write about this restaurant I really love coming here very nice people working here. The waitress and waiters were working their b.....s off walking back and forth like little ants, cleaning bring food, taking orders I must say they were tired. I was after I eat this delicious burger that was so juicy and well done. What can I write I'm coming back to eat this delicious food. The end. Lol.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Mikana B.,"Glenview, IL",52,3,,1.0,7/9/2017,"If I could I'd rate this location a 0. Poor customer service from walking in the door. As we walked in no one greeted us. The manager was standing at the stand with the hostess and another server, her back was turned to us the entire time. When we asked for a booth they denied us our choice of seating even though there were a few booths open. There was very little interaction and just poorly executed customer service. We left before we ordered. I'd rather give my money to someone who actually wants our business. No wonder this place was dead compared to all the other restaurants in the area.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Sally O.,"Mount Prospect, IL",0,2,,1.0,10/9/2017,"STAY AWAY.  Filthy restaurant, horrible old food, high prices, inept staff and management.  Complete waste of time.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Cris P.,"Des Plaines, IL",105,1,,5.0,11/13/2016,"Had awesome service! Natalie did a great job introducing all the specials. Also, the manager did a great job going around asking about service. He was also helping all the servers deliver food. As a customer, I felt a good vibe just watching him help his employees.  Check number was 1239",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Chris K.,"Algonquin, IL",0,64,,1.0,10/6/2017,"Standing here at the bar. Ten minutes to get noticed, and another ten to get the drink we asked for. It isn't really that busy in here either. No wonder there places close down.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Shirin K.,"Mount Prospect, IL",0,2,4,1.0,6/11/2017,I really don't recommend this restaurant if you are looking for a food burger and appetizer the quality isn't really good. It needs a huge upgrade for the place and the menu. You just don't have that much of options!,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Sandra Y.,"Chicago, IL",292,146,349,1.0,3/7/2016,"Don't go here. Slow service and crappy food. I used to come here when they do endless apps just to try the new apps. Each time they do it, it gets worse and worse.  The service was so slow even with an almost empty restaurant. After we ordered the app, it took forever and every new time we got our apps, it got saltier and saltier. They are skimpy on the meat too. Basically they want you to get full on the carbs (bread, tostada, wonton skins, etc). The potstickers had very little filling. The ""new"" tostadas were mostly some weird salty, sweet white sauce and wilted cilantro. There was barely any braised bbq beef. Like a tiny piece on each. My flatbread barely had chicken on it... mostly bread. The last time I ordered the flatbread, there was NO chicken. I mean, they barely put chicken as it is.... but still! This used to be one of the best endless apps, but they ruined it! I brought it to attention from my server but he just apologized. He didn't offer to fix it or anything. All he did was ask if we wanted to order dessert... Nice. I'm pretty sure the manager brought us our flatbread and I'm sure he could see there was no chicken but he still brought it. Idk what that says about the service there. You can tell the servers don't want you to order more. They act like it! They weren't like that before.. idk what happened. So disappointing because their endless apps used to be good! It's only $12/person but I still feel like I was ripped off. It used to be $10/person and they raised the price. That's understandable, but what isn't is the quality of the food and service getting worse and worse. I most definitely will not be coming back and I hope you don't either. Save your money and your appetite.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Branden B.,"Racine, WI",0,5,,4.0,9/25/2017,I like TGI Fridays a lot. This location provides good service and it's very convenient. I absolutely love the menu and their appetizers. The drinks are very good as well.,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Juanita Z.,"Schaumburg, IL",0,9,2,2.0,8/26/2017,Customer service needs improvement. Second time I've been there. The first time I went was for advertised special dine-in only. So I had them serve me two meals I took one bite and had them package the rest. The second time the people working there didn't have a clue of the menu or what to do. I mean really I asked for chicken fingers and they said they didn't have any then I looked at the menu and realized it was chicken tenders. One consolation the food is good.,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Megan A.,"Schaumburg, IL",145,1,,5.0,9/9/2017,Love this place.  Best staff ever.  Really polite and attentive. They really took care of me and my family from start to finish. Id highly recommend it to a friend. Way better than the bloomingdale location.,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Pam F.,"Addison, IL",41,51,2,1.0,7/24/2017,"My husband and I decided to go there on a Monday evening after some shopping. We started by ordering pop. We got the impression the waitress was disappointed we did not order alcoholic beverages. I ordered a french dip sandwich. The sandwich came without the au jus. The au jus is what makes it a french dip! Unfortunately, the person who brought us our food gave it to us and left right away. This meant I had to flag down our waitress to tell her it was missing the au jus. The chef must have forgotten about to get prepare it, because it took awhile for the waitress to return. She quickly left after she gave it to me so we had to flag her down again because my husband wanted a refill on his pop. She never asked how things were and she never asked if we needed anything.  After the meal, I went to the washroom. The lock on the stall I went into would not lock. I could tell the person in the stall next too me had the same problem. The sink splashed water everywhere and I could not get the paper towel dispenser to work. A very disappointing experience.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
T.j. J.,"Elgin, IL",82,4,,4.0,2/23/2017,"Great place for after work deals. Service seems to always be great, and my friends (co-workers) and I love to visit.",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Maggie M.,"Roselle, IL",29,33,282,5.0,1/15/2016,"Review Update: TGIF is a GREAT place to meet up with friends or family!! My sister and I were there last week and had a GREAT server!!! We had the Loaded Potatoes as an appetizer, Two Classic Cheeseburgers as our meals, and the CREAMY & DELICIOUS Vanilla Bean Cheesecake!!! Probably one of the best we've ever had!!! Better than any other!! We'll be back for more GREAT food TGIF!!",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Bruce A.,"Rolling Meadows, IL",0,4,1,2.0,3/3/2017,The food is good but the service is glacially slow. I was have way through my meal before my daughter got her ores of mozzarella sticks. And the wait for the refill was even longer!  When they say endless apps they mean the wait to actually get them!!,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Jake M.,"Chicago, IL",37,15,,1.0,4/4/2016,"I went here with a bunch of friends to have a nice meal and discuss the political motives behind law enforcement, as well as the strategic use of squad car positioning to effectively ticket dangerous motorists! I was wholeheartedly let down when our waitress told us she wasn't going to fill up our drinks every fifteen minutes. Fifteen minutes is a substantial as well as appropriate amount of time to finish a Dr Pepper. This act of pure communism has not and will not go unnoticed. I recommend that unless you voted for Stalin last election you don't attend this disgraceful establishment. Not to mention the Jack Daniels burger tasted more like the whisky bottle than meat. Worst service ever...-100 out of 5",https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Ari N.,"Streamwood, IL",0,9,12,2.0,2/19/2017,I came here tonight for a late dinner with my sister and it was horrible! My sister ordered a drink and we never got a straw we ordered our food around 1035 and didn't recieve it till almost 11:30 and it wasnt even hot! the service tonight was just terrible I didn't even bother to complain I was just ready to get out of there and forget the experience,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
Lauren P.,"Steger, IL",0,2,,1.0,3/28/2017,This is our first time here and our service has been the least bit satisfying. We were sat and it took the server 15 minutes to even acknowledge us. The girl he was training had to address our table and take our order & it was her first day!!  My boyfriend and I thought it was our servers first day & she was training him!!! To say the least our server Josh was horrible and it'll be awhile until we return. & I'll make sure he is not our server.,https://www.yelp.com/biz/tgi-fridays-schaumburg?start=20
