Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Cathy W.,"Lakefront, Syracuse, NY",27,5,,5.0,9/15/2017,"Finally they got it right, we had a great meal. Our food came out quickly. It was delicious and the staff was excellent. We enjoyed our meal and time together. The restaurant was clean and packed.",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Naomi C.,"Lakefront, Syracuse, NY",55,57,126,3.0,10/12/2017,This Friday's consistently has either good service or good food. I feel like you don't see the combo platter of good service and food on the same visit. Before the foodies get all up in arms about me calling Fridays good food I am speaking about good mediocre chain restaurant food. I'm not comparing it to a fresh farm to table type of restaurant.  Our last visit had okay service. Because it was mediocre service my meal kind of suffered. I ordered what Dave considers the meal of a child and got chicken tenders and fries. It came with the tiniest of tubs of honey mustard. When we were checked on I asked for more but it never came. The chicken was too dry to eat without anything to dip it in so I was unable to finish my meal.  All in all it's not a bad choice for something quick but filling on a budget when you're at the mall. I'll be back I'm sure and much sooner than going back to GB downstairs.,https://www.yelp.com/biz/tgi-fridays-syracuse-3
Fox E.,"Buffalo, NY",3672,4883,17415,2.0,8/2/2017,"If you tell me that I was conceived in one of these I will tell you it is TMI Fridays.  I quite liked some of the non-alcy drinks but they're too expensive. The food is average by Chain standards but really bad in general. The prices are way too high and it pisses me off that people are so obsessed with this place. I believe it's mostly because of the alcohol. If you want really good noms in Syracuse, go to Strong Hearts instead - get a Blueberry Cupcake and a Cesar Chavez Milkshake. But if you're stuck here in the old Carousel, then after your TGIF meal, go get a bubble tea from KFT.",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Guy R.,"Syracuse, NY",1,67,78,3.0,6/7/2017,"Service was very good, our waitress was very attentive, and checked on the table frequently.  We ordered the appetizer combo which had wings, skins and mozz sticks. Food was ok, nothing spectacular, the potato skins were slightly under cooked. I had the Cobb Salad, good portion size, tasted fine.  Its not gonna WOW you, but its decent food",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Tonya L.,"Syracuse, NY",0,3,,1.0,1/11/2018,"Our last experience here was horrible. My husband said he has never felt so unsatisfied after eating a meal out. First, it took over 20 minutes for our waitress to come to our table for drink orders, we had to ask for utensils, our food was brought out by a different server and there were several things wrong with the order. Our waitress didn't come to check on us until we were we'll into our meal. We had to ask for refills and missing condiments several times from different servers. The manager did come over and apologize for the food order being wrong and did not charge us for that item, which was nice. We will probably never visit this place again.",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Bryan G.,"Corona, CA",1,24,54,1.0,12/10/2017,"Can you leave less than one star? Hopefully Yelp can fix this. The annual KROCK Santa Con was yesterday and while I realize that being inundated with Santa clad customers wasn't ideal they should have been better prepared. To the credit of the bar staff they were trying to get drinks out but they really could have stepped up the staffing for the event. The reason for the 1 star (and less if I could give it) was the manager that was a real jerk to everyone, I've included a photo... We tried to get his attention since he was just kind of hovering over the bar staff but was hardly doing anything. He ignored us along with a lot of others that were attempting to get his attention. The KROCK Santa Con called for us to purchase a Sam Adams Lager ($4 for a pint, good price) it wasn't a requirement to get your card signed off however this guy missed this announcement. Running around with the group I was in the designated driver was having sodas or water at the bars and while the manager at TGI Fridays did instruct the staff to singn her card he told the bartender to (keep it on the downlow as he was requiring others to purchase the lager) - one of the gals overheard this I didn't hear it directly. Wouldn't surprise me given the way this manager was acting all night.",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Malory L.,"Rochester, NY",0,4,,1.0,11/28/2017,Not the best experience. First out appetizer came before our bar beverages. Then when my boyfriends meal came out it had the wrong side. Then me and my friends salad was literally missing ingredients. And the only thing the manager could say was that the portioning was off. There was no restitution whatsoever and out party paid over $100 on top of that! Poor service as well as the waitress forgot several things throughout our experience. It started with waiting a half hour for our beverages. Meanwhile the host was like a zombie an apparently couldn't speak when he mistakingly brought us to another couples table to sit. Would not recommend this Friday's to anyone. .,https://www.yelp.com/biz/tgi-fridays-syracuse-3
Jaznea B.,"Manhattan, New York, NY",87,15,8,1.0,5/17/2017,"No bartenders at the bar. All glasses are empty at the bar. All the employees are gathered in one section talking even the rude manager. The bar was dirty when we got here. When we asked the ""manager"" for help he dismissed us.  We have been waiting over 10 mins for a server to even ask us if we need anything.  When we first walked in it was just horrible experience from jump. Get it the fuck together!  I will be calling to complain ‍",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Tiph G.,"Oswego, NY",33,114,131,4.0,9/8/2016,"Nothing special about this Friday's . It's a Friday's. Cleans restaurant, nice center bar area. It's on the top floor of Destiny USA. Our food was good, and the waitress was friendly. Service was a little slow and the place wasn't busy. Still, not a bad experience.",https://www.yelp.com/biz/tgi-fridays-syracuse-3
Sam L.,"Fort Lauderdale, FL",37,10,3,1.0,6/21/2017,I usually always get terrible service at Fridays and it was no different today. Walked in for my lunch break and after five minutes no one had even come by to my table. I got up and walked right out. I'm done giving this franchise any more chances. Fridays you suck.,https://www.yelp.com/biz/tgi-fridays-syracuse-3
