Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Carmen P.,"Bronx, New York, NY",28,1,,2.0,1/14/2018,"Let me start by saying, that it was freezing in this establishment. When I bring it to the attention of staff, it was told to me that has been this way for the past 3 weeks. Then , I order appetizers... pop stickers always come with some sort of roughage such as salad and because it was half price it came without it. I ordered a cup of coffee, and I actually stuck my finger inside of it , that's how cold it was. When my order was brung to the table, the waiter did not remove the appetizer plates leaving us cramped up with our platters and empty dishes. Overall service was horrible. I felt like I was having dinner in the North Pole. Strongly would not suggest this location.",https://www.yelp.com/biz/tgi-fridays-yonkers
Juan G.,"Yonkers, NY",4,2,,1.0,11/19/2017,"This place is falling apart, bathroom is broken  The staff is trying their best, but you can tell they are poorly trained, today Saturday lunch time almost empty  Nobody is watching o taken charge Food ok  My son dropped his soda, nobody is mopping the soda  Horrible",https://www.yelp.com/biz/tgi-fridays-yonkers
Laura D.,"Bronxville, NY",185,15,3,1.0,7/26/2017,"This is probably the most disgusting place I have ever been to. I understand if there had been a rush that just left and the place was a bit disorganized but it seemed like there was no one there for a while and the place had not been cleaned since they opened in the morning. No issues with service because we didn't even get to that point. The host pointed us to a booth, there was ketchup on the booth and food residue from the previous table where he place the menus.  The floor had so much dirt in it it was hard to walk by and not notice how disgusting everything was. As we walked towards our booth we looked at all the tables, everything so disgustingly dirty OMG. How has the health department not closed this down???",https://www.yelp.com/biz/tgi-fridays-yonkers
Rob G.,"Yonkers, NY",104,7,1,2.0,1/5/2018,Came for lunch with my boyfriend . Listen I wasn't expecting classy place but cmon . I never felt more like a bother in my life . Won't come back,https://www.yelp.com/biz/tgi-fridays-yonkers
Tenisha D.,"Queens, NY",52,49,189,2.0,10/29/2017,"I came here with a business colleague this evening for dinner. It was rainy Sunday late afternoon and not that busy. Although we were seated quickly it took someone from the waitstaff 15 minutes to come and take our order. When the waiter finally came he took our drink and food orders at the same time. It took forever to bring our drinks and water. The appetizer I ordered was good (green bean fries) but then it took a while to get our food and when we finally got it it was barely warm. While waiting we notice some questionable things; ice buckets sitting out in the open for dust and hair or whatever else to fall into; waitstaff talking and checking their phones while supposed to be working; another table next to us the waiter got their order wrong and they were complaining; then someone came in and was asking for the manager because he was waiting almost 30 minutes for a pick up order he placed over the phone. He asked to speak to the manager and was very upset. On top of our observations, our waiter neglected to ask us if we were ok or if we wanted more water and when he asked if we wanted a second round of drinks he asked for ID, but never got it from us when we ordered our first round of drinks, smh. I love Friday's but this was a bad experience. Maybe today was a bad day to go but I won't be going to this location again, ever.",https://www.yelp.com/biz/tgi-fridays-yonkers
Letier S.,"Bronx, NY",2,4,5,1.0,12/26/2017,This was the worst experience I have ever had in a restaurant. The waiters were nasty and taking forever. They dropped other people's plates when giving the customer's their food. The waitress had a nasty attitude. She sneezed on my mom. The last straw was when the waitress carried 4 of our cups without a tray holding them against her breasts. Worst service ever. I felt like i was going to eat in a homeless shelter. We picked up and left because we were afraid of how the food would arrive seeing how nasty and uncleanly the staff was. Never going here again.,https://www.yelp.com/biz/tgi-fridays-yonkers
Terrence B.,"West Bronx, NY",0,21,19,3.0,11/8/2017,"The food was ok for the price! Ample parking, plenty of seating, and the food came quickly! Eat at the bar!",https://www.yelp.com/biz/tgi-fridays-yonkers
Jose D.,"Yonkers, NY",0,16,3,1.0,12/18/2017,"Ordered delivery 3 times now, and 3 times food was so late it arrived ice cold. Delivery estimate was for an hour at the time of ordering.  Then it increased to an hour, 10 minutes.  Food finally arrived an hour and a half later. Unfortunately, it was all so cold, it wasn't enjoyable at all.",https://www.yelp.com/biz/tgi-fridays-yonkers
Alexis P.,"Manhattan, New York, NY",47,2,,1.0,1/11/2018,My waiter was so rude and unprofessional. All the employees were hanging around talking with one another instead of attending to the guest. TGI Fridays needs to start hiring professional employees instead of hood rats off the street. Wont be here AGAIN!,https://www.yelp.com/biz/tgi-fridays-yonkers
Musarrat A.,"Bronx, NY",12,9,17,3.0,11/4/2017,"Our server is george, and i think he should get awarded for employee of the month, he is so polite, his customer service skill is simply excellent. Food was delicious as usual.",https://www.yelp.com/biz/tgi-fridays-yonkers
