Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Red’s Old 395 Grill,https://www.yelp.com/adredir?ad_business_id=aqqf7UmKTzQgdLpFR07Ydw&campaign_id=-T2qn17sVgo3ltkPUmh1qQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Freds-old-395-grill-carson-city&request_id=addeaf81202c2b59&signature=8d8dfe35bbb7627d8786ac04a9eea58957e66a9bf16337e85c849cb0d636938c&slot=0,Chili’s,https://www.yelp.com/biz/chilis-carson-city-2?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Flat Earth Pizza,https://www.yelp.com/adredir?ad_business_id=d6E6mdlFebnrJiuclZjtIA&campaign_id=7DjI0_aJAjCj39UK-4q0Hg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fflat-earth-pizza-carson-city-2&request_id=addeaf81202c2b59&signature=0e1cf812b9f8a8eaeb11ee690b249f5def14537c5880ccf1a4b69e5dfd08c617&slot=1,The Fox,https://www.yelp.com/biz/the-fox-carson-city-2?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Living The Good Life,https://www.yelp.com/biz/living-the-good-life-carson-city?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Accepts Android Pay,No,,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 12:00 am,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Best Nights,Mon,,,,
,,Coat Check,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
,,Gender Neutral Restrooms,Yes,,,,
