Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Arcada Theatre,https://www.yelp.com/adredir?ad_business_id=iwK_pFhGIX4nXY2xm2hsAQ&campaign_id=JypBdra_Id3-JIpdz1XhCw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Farcada-theatre-saint-charles&request_id=8db7581aa52969e7&signature=d46951611497174bb9a8a6b886be47fa33d1f46a995923a00713055da70369e2&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-sycamore-2?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,McDonald’s,https://www.yelp.com/adredir?ad_business_id=6bW-wfjMjn4J90TvSrA3Iw&campaign_id=atB9ZUH-SRGTKQkFNALLxA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmcdonalds-sycamore&request_id=8db7581aa52969e7&signature=27a1d1615b0385dd449485916860b1ede1bb5bcf7f9e6fd69c950dcc4bf9d541&slot=1,Ellwood Steak And Fish House,https://www.yelp.com/biz/ellwood-steak-and-fish-house-dekalb?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Pj’s Courthouse Tavern & Grille,https://www.yelp.com/biz/pjs-courthouse-tavern-and-grille-sycamore?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,"Lunch, Dinner, Dessert",,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 12:00 am,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Has Pool Table,No,,,,
