Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,No,Sweet Tea Restaurant,https://www.yelp.com/adredir?ad_business_id=AB72-DWTE41NUgRlF20dGA&campaign_id=tuvKKdqmFnbjwXmGlPeXMQ&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsweet-tea-restaurant-birmingham-2&request_id=f290063205d7c11f&signature=b5a692a7afb69e566be75fa4935a9a64b04e5e21067d14f41ff1b3e18cdf1a95&slot=0,Twin Peaks,https://www.yelp.com/biz/twin-peaks-hoover?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,On Tap Sports Cafe,https://www.yelp.com/adredir?ad_business_id=RV1qdV0iGDNUeRJ5u-l29w&campaign_id=qGq0Sjcz4HvfeJDqilgO5w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fon-tap-sports-cafe-birmingham-7&request_id=f290063205d7c11f&signature=03c6f0564f096e45cdd0d00717bb78172eb15777d7e00609395b658fa3a77705&slot=1,J. Alexander’s Redlands Grill,https://www.yelp.com/biz/j-alexanders-redlands-grill-hoover?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,On Tap Sports Cafe,https://www.yelp.com/biz/on-tap-sports-cafe-birmingham-7?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Good For,"Brunch, Dessert",,,,
Sat,11:00 am - 1:00 am,Bike Parking,No,,,,
Sun,11:00 am - 11:00 pm,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Coat Check,No,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,No,,,,
,,Has Pool Table,No,,,,
,,Gender Neutral Restrooms,Yes,,,,
