Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 1:00 am,Takes Reservations,No,Tuscany Bistro Bar & Grill,https://www.yelp.com/adredir?ad_business_id=dFDltzp-Z1sJf96_gLurCw&campaign_id=GKzmeBecdSO_PXh45jaa7g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftuscany-bistro-bar-and-grill-kenosha&request_id=319162698e2ffbbc&signature=e7d4c16773d9e5ed89ac21c852203681c2ecbb4505d052728ece784993433c57&slot=0,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-kenosha?page_src=related_bizes
Tue,11:00 am - 1:00 am,Delivery,No,Mi Tierra,https://www.yelp.com/adredir?ad_business_id=PMc-N5W5_OkGvRbJsVhIzw&campaign_id=ex_qiK11VuNYxrJWNz-fSA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmi-tierra-racine-2&request_id=319162698e2ffbbc&signature=cbc0a991ac3a3fb9027184234d018df9f12e2bee285b2bdfb501cd6741ea7f9f&slot=1,Cheddar’s Scratch Kitchen,https://www.yelp.com/biz/cheddars-scratch-kitchen-pleasant-prairie?page_src=related_bizes
Wed,11:00 am - 1:00 am,Take-out,Yes,,,Chili’s,https://www.yelp.com/biz/chilis-kenosha-2?page_src=related_bizes
Thu,11:00 am - 1:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Parking,Private Lot,,,,
Sat,11:00 am - 2:00 am,Bike Parking,Yes,,,,
Sun,11:00 am - 1:00 am,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
