Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,No,Bread Alone,https://www.yelp.com/adredir?ad_business_id=-YN5Evc10aDGpcflKRwYHg&campaign_id=uTKHBcHoCiR6KfDpt40ljA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbread-alone-lake-katrine&request_id=5799854ef1efe96a&signature=f639c48efbaca71fa102f6e814e2fbd8d90bd20f3dc141fb6948a73aa016f46a&slot=0,99 Restaurants,https://www.yelp.com/biz/99-restaurants-kingston?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Texas Roadhouse,https://www.yelp.com/adredir?ad_business_id=edvgrb_E4p4kR519o88owQ&campaign_id=AAfCcgvzCFPNL2wFKxP58A&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftexas-roadhouse-kingston&request_id=5799854ef1efe96a&signature=d19415a4e0862f4fe799202b9bd1f3c186490532ea710f9e38cde2eda7cec794&slot=1,Texas Roadhouse,https://www.yelp.com/biz/texas-roadhouse-kingston?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,The Corner Bar & Grill,https://www.yelp.com/biz/the-corner-bar-and-grill-kingston?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Good For,"Lunch, Dinner",,,,
Sat,11:00 am - 1:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 12:00 am,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Loud,,,,
,,Good For Dancing,No,,,,
,,Alcohol,Full Bar,,,,
,,Coat Check,No,,,,
,,Smoking,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Drive-Thru,No,,,,
,,Has Pool Table,No,,,,
