Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,Yes,Bethany Cafe,https://www.yelp.com/adredir?ad_business_id=zvVCrcJ7785Y3gkNzEm7vw&campaign_id=b6KVI1YTytvXEZonSduKLw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbethany-cafe-lincoln-3&request_id=2ea110fcd2f3ce6d&signature=26a790a7d00793e48513375fed35dd956aba7a3ef2b25a705d8c4b16349d745c&slot=0,The Eatery,https://www.yelp.com/biz/the-eatery-lincoln?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,Ichiban Sichuan,https://www.yelp.com/adredir?ad_business_id=DGgCXOkvsfw78v9Q-8l6pg&campaign_id=YRPTASYaPygPLIuuPxyYcg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fichiban-sichuan-lincoln&request_id=2ea110fcd2f3ce6d&signature=55f83e62cfcbd8282df17fc3074e5184f25c8bb63c0733523359eb8c9091b570&slot=1,Cheddar’s Scratch Kitchen,https://www.yelp.com/biz/cheddars-scratch-kitchen-lincoln?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,9 South Chargrill,https://www.yelp.com/biz/9-south-chargrill-lincoln?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Bike Parking,Yes,,,,
Sat,11:00 am - 12:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 11:00 pm,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
