Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,Godfather’s Pizza,https://www.yelp.com/adredir?ad_business_id=fakmaHj_pweAB5OL4pUOTA&campaign_id=TVJmifJSyeqs6XHPYLMJ4w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgodfathers-pizza-merrillville&request_id=b7fc8e7f30fdacd8&signature=46d4e6545c91664b8c6f4d3e61c493e731f88e1444505a5d9c3fdb96f8420c31&slot=0,Sheffield’s Restaurant,https://www.yelp.com/biz/sheffields-restaurant-merrillville?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,House of Kobe,https://www.yelp.com/adredir?ad_business_id=7JP2AoCD0OqwFKRBrWmb9g&campaign_id=zEnNXTMtq_ME6Bmb6DORAA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhouse-of-kobe-merrillville&request_id=b7fc8e7f30fdacd8&signature=2deb7cb4707346b11ec05595924c9afab6474016c076323c41a160503ce3987a&slot=1,Portillo’s Hot Dogs,https://www.yelp.com/biz/portillos-hot-dogs-merrillville?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Texas Corral,https://www.yelp.com/biz/texas-corral-merrillville-2?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Bike Parking,No,,,,
Sat,11:00 am - 12:00 am,Good for Kids,Yes,,,,
Sun,11:00 am - 11:00 pm,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
