Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 12:00 am,Takes Reservations,Yes,Catarina’s Italian Village,https://www.yelp.com/adredir?ad_business_id=XMmFAt83NDMHDMRZV9Xf-A&campaign_id=AfybCx2rXMlRkON0B1RvPg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcatarinas-italian-village-narragansett-3&request_id=871d1c102231a8f1&signature=39d17e82da332c1ff669a0c42b86882b61d652ac89122c32937b627d25600533&slot=0,Mission,https://www.yelp.com/biz/mission-newport?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,No,Brix Restaurant,https://www.yelp.com/adredir?ad_business_id=v6rJOyL3IOBtPn9TvAU9Jg&campaign_id=cjGas-wPDiJyPWLVtVLkog&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbrix-restaurant-middletown-2&request_id=871d1c102231a8f1&signature=d7614418a1f39977511f38fbc65589c15717d16b6e9676c5bcbf554a454274c9&slot=1,Rhea’s Kitchen,https://www.yelp.com/biz/rheas-kitchen-middletown?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take-out,Yes,,,Newport Creamery,https://www.yelp.com/biz/newport-creamery-newport?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 1:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 12:00 am,Bike Parking,Yes,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Has Pool Table,No,,,,
