Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 11:00 pm,Takes Reservations,No,,,Wings Etc.,https://www.yelp.com/biz/wings-etc-plymouth?page_src=related_bizes
Tue,11:00 am - 11:00 pm,Delivery,No,,,Castaways Family Diner,https://www.yelp.com/biz/castaways-family-diner-plymouth-2?page_src=related_bizes
Wed,11:00 am - 11:00 pm,Take-out,Yes,,,Bob Evans,https://www.yelp.com/biz/bob-evans-plymouth?page_src=related_bizes
Thu,11:00 am - 11:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 12:00 am,Good For,"Dinner, Dessert",,,,
Sat,11:00 am - 12:00 am,Parking,Private Lot,,,,
Sun,11:00 am - 11:00 pm,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Happy Hour,Yes,,,,
,,Coat Check,No,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Drive-Thru,No,,,,
,,Caters,Yes,,,,
,,Has Pool Table,No,,,,
